verse_reference,strong,surface,morph_code,question_code,node_cluster_code,obs_cluster_code,observation_id,status,created_at
1Tim.5.13,G0692,idlers,A-NPF,M0.7.5,M67,M67,8078,draft,2026-09-21T18:11:37Z
1Tim.5.13,G0692,idlers,A-NPF,M0.7.6,M67,M67,8079,draft,2026-09-21T18:11:37Z
1Tim.5.13,G0692,idlers,A-NPF,M0.7.7,M67,M67,8080,draft,2026-09-21T18:11:37Z
1Tim.5.13,G0692,idlers,A-NPF,M0.7.8,M67,M67,8081,draft,2026-09-21T18:11:37Z
1Tim.5.13,G0692,idlers,A-NPF,M0.7.9,M67,M67,8082,draft,2026-09-21T18:11:37Z
1Tim.5.13,G0692,idlers,A-NPF,X0.1.1,M67,M67,706,draft,2026-09-18T03:52:56Z
1Tim.5.13,G0692,idlers,A-NPF,X0.1.2,M67,M67,707,draft,2026-09-18T03:52:56Z
1Tim.5.13,G0692,idlers,A-NPF,X0.2.1,M67,M67,708,draft,2026-09-18T03:52:56Z
1Tim.5.13,G0692,idlers,A-NPF,X0.2.2,M67,M67,709,draft,2026-09-18T03:52:56Z
1Tim.5.13,G0692,idlers,A-NPF,X0.3.1,M67,M67,710,draft,2026-09-18T03:52:56Z
1Tim.5.13,G0692,idlers,A-NPF,X0.3.2,M67,M67,711,draft,2026-09-18T03:52:56Z
2Cor.7.11,G0024,indignation,N-ASF,M0.1.1,M02,M02,7346,draft,2026-09-21T17:45:01Z
2Cor.7.11,G0024,indignation,N-ASF,M0.1.2,M02,M02,7347,draft,2026-09-21T17:45:01Z
2Cor.7.11,G0024,indignation,N-ASF,M0.1.3,M02,M02,7348,draft,2026-09-21T17:45:01Z
2Cor.7.11,G0024,indignation,N-ASF,M0.5.1,M02,M02,7349,draft,2026-09-21T17:45:01Z
2Cor.7.11,G0024,indignation,N-ASF,M0.5.2,M02,M02,7350,draft,2026-09-21T17:45:01Z
2Cor.7.11,G0024,indignation,N-ASF,M0.5.3,M02,M02,7351,draft,2026-09-21T17:45:01Z
2Cor.7.11,G0024,indignation,N-ASF,M0.7.1,M67,M67,7419,draft,2026-09-21T17:45:01Z
2Cor.7.11,G0024,indignation,N-ASF,M0.7.1,M67,M67,7891,draft,2026-09-21T18:07:20Z
2Cor.7.11,G0024,indignation,N-ASF,M0.7.10,M67,M67,7420,draft,2026-09-21T17:45:01Z
2Cor.7.11,G0053,innocent,A-APM,M0.1.1,M12,M12,7364,draft,2026-09-21T17:45:01Z
2Cor.7.11,G0053,innocent,A-APM,M0.1.2,M12,M12,7365,draft,2026-09-21T17:45:01Z
2Cor.7.11,G0053,innocent,A-APM,M0.1.3,M12,M12,7366,draft,2026-09-21T17:45:01Z
2Cor.7.11,G0053,innocent,A-APM,M0.5.1,M12,M12,7367,draft,2026-09-21T17:45:01Z
2Cor.7.11,G0053,innocent,A-APM,M0.5.2,M12,M12,7368,draft,2026-09-21T17:45:01Z
2Cor.7.11,G0053,innocent,A-APM,M0.5.3,M12,M12,7369,draft,2026-09-21T17:45:01Z
2Cor.7.11,G0053,innocent,A-APM,M0.7.1,M67,M67,7429,draft,2026-09-21T17:45:01Z
2Cor.7.11,G0053,innocent,A-APM,M0.7.1,M67,M67,7896,draft,2026-09-21T18:07:20Z
2Cor.7.11,G0053,innocent,A-APM,M0.7.4,M67,M67,7430,draft,2026-09-21T17:45:01Z
2Cor.7.11,G1557,punishment,N-ASF,M0.1.1,M26,M26,7358,draft,2026-09-21T17:45:01Z
2Cor.7.11,G1557,punishment,N-ASF,M0.1.2,M26,M26,7359,draft,2026-09-21T17:45:01Z
2Cor.7.11,G1557,punishment,N-ASF,M0.1.3,M26,M26,7360,draft,2026-09-21T17:45:01Z
2Cor.7.11,G1557,punishment,N-ASF,M0.5.1,M26,M26,7361,draft,2026-09-21T17:45:01Z
2Cor.7.11,G1557,punishment,N-ASF,M0.5.2,M26,M26,7362,draft,2026-09-21T17:45:01Z
2Cor.7.11,G1557,punishment,N-ASF,M0.5.3,M26,M26,7363,draft,2026-09-21T17:45:01Z
2Cor.7.11,G1557,punishment,N-ASF,M0.7.1,M67,M67,7427,draft,2026-09-21T17:45:01Z
2Cor.7.11,G1557,punishment,N-ASF,M0.7.1,M67,M67,7895,draft,2026-09-21T18:07:20Z
2Cor.7.11,G1557,punishment,N-ASF,M0.7.10,M67,M67,7428,draft,2026-09-21T17:45:01Z
2Cor.7.11,G1972,longing,N-ASF,M0.1.1,M18,M18,7333,draft,2026-09-21T17:45:01Z
2Cor.7.11,G1972,longing,N-ASF,M0.1.2,M18,M18,7334,draft,2026-09-21T17:45:01Z
2Cor.7.11,G1972,longing,N-ASF,M0.1.3,M18,M18,7335,draft,2026-09-21T17:45:01Z
2Cor.7.11,G1972,longing,N-ASF,M0.5.1,M18,M18,7336,draft,2026-09-21T17:45:01Z
2Cor.7.11,G1972,longing,N-ASF,M0.5.2,M18,M18,7337,draft,2026-09-21T17:45:01Z
2Cor.7.11,G1972,longing,N-ASF,M0.5.3,M18,M18,7338,draft,2026-09-21T17:45:01Z
2Cor.7.11,G1972,longing,N-ASF,M0.7.1,M67,M67,7421,draft,2026-09-21T17:45:01Z
2Cor.7.11,G1972,longing,N-ASF,M0.7.1,M67,M67,7893,draft,2026-09-21T18:07:20Z
2Cor.7.11,G1972,longing,N-ASF,M0.7.10,M67,M67,7422,draft,2026-09-21T17:45:01Z
2Cor.7.11,G2205,zeal,N-ASM,M0.1.1,M18,M18,7339,draft,2026-09-21T17:45:01Z
2Cor.7.11,G2205,zeal,N-ASM,M0.1.2,M18,M18,7340,draft,2026-09-21T17:45:01Z
2Cor.7.11,G2205,zeal,N-ASM,M0.1.3,M18,M18,7341,draft,2026-09-21T17:45:01Z
2Cor.7.11,G2205,zeal,N-ASM,M0.5.1,M18,M18,7342,draft,2026-09-21T17:45:01Z
2Cor.7.11,G2205,zeal,N-ASM,M0.5.2,M18,M18,7343,draft,2026-09-21T17:45:01Z
2Cor.7.11,G2205,zeal,N-ASM,M0.5.3,M18,M18,7344,draft,2026-09-21T17:45:01Z
2Cor.7.11,G2205,zeal,N-ASM,M0.5.5,M18,M18,7345,draft,2026-09-21T17:45:01Z
2Cor.7.11,G2205,zeal,N-ASM,M0.7.1,M67,M67,7423,draft,2026-09-21T17:45:01Z
2Cor.7.11,G2205,zeal,N-ASM,M0.7.1,M67,M67,7894,draft,2026-09-21T18:07:20Z
2Cor.7.11,G2205,zeal,N-ASM,M0.7.10,M67,M67,7424,draft,2026-09-21T17:45:01Z
2Cor.7.11,G3076,grief,V-APN,M0.1.1,M03,M03,7370,draft,2026-09-21T17:45:01Z
2Cor.7.11,G3076,grief,V-APN,M0.1.2,M03,M03,7371,draft,2026-09-21T17:45:01Z
2Cor.7.11,G3076,grief,V-APN,M0.1.3,M03,M03,7372,draft,2026-09-21T17:45:01Z
2Cor.7.11,G3076,grief,V-APN,M0.5.1,M03,M03,7373,draft,2026-09-21T17:45:01Z
2Cor.7.11,G3076,grief,V-APN,M0.5.2,M03,M03,7374,draft,2026-09-21T17:45:01Z
2Cor.7.11,G3076,grief,V-APN,M0.5.3,M03,M03,7375,draft,2026-09-21T17:45:01Z
2Cor.7.11,G3076,grief,V-APN,M0.7.1,M67,M67,7416,draft,2026-09-21T17:45:01Z
2Cor.7.11,G3076,grief,V-APN,M0.7.1,M67,M67,7889,draft,2026-09-21T18:07:20Z
2Cor.7.11,G3076,grief,V-APN,M0.7.16,M67,M67,7418,draft,2026-09-21T17:45:01Z
2Cor.7.11,G3076,grief,V-APN,M0.7.6,M67,M67,7417,draft,2026-09-21T17:45:01Z
2Cor.7.11,G3076,grief,V-APN,M0.7.6,M67,M67,7890,draft,2026-09-21T18:07:20Z
2Cor.7.11,G4710,earnestness,N-ASF,,M67,M67,608,draft,2026-09-18T03:32:09Z
2Cor.7.11,G4710,earnestness,N-ASF,,M67,M67,609,draft,2026-09-18T03:32:09Z
2Cor.7.11,G4710,earnestness,N-ASF,D1.1.2,M67,M67,772,draft,2026-09-18T03:57:44Z
2Cor.7.11,G4710,earnestness,N-ASF,D2.1.1,M67,M67,780,draft,2026-09-18T03:57:44Z
2Cor.7.11,G4710,earnestness,N-ASF,D7.7.1,M67,M67,7387,draft,2026-09-21T17:45:01Z
2Cor.7.11,G4710,earnestness,N-ASF,D7.7.1,M67,M67,7870,draft,2026-09-21T18:07:20Z
2Cor.7.11,G4710,earnestness,N-ASF,M0.1.1,M67,M67,220,draft,2026-09-17T16:26:59Z
2Cor.7.11,G4710,earnestness,N-ASF,M0.1.3,M67,M67,222,draft,2026-09-17T16:26:59Z
2Cor.7.11,G4710,earnestness,N-ASF,M0.5.1,M67,M67,223,draft,2026-09-17T16:26:59Z
2Cor.7.11,G4710,earnestness,N-ASF,M0.5.10,M67,M67,230,draft,2026-09-17T16:26:59Z
2Cor.7.11,G4710,earnestness,N-ASF,M0.5.11,M67,M67,231,draft,2026-09-17T16:26:59Z
2Cor.7.11,G4710,earnestness,N-ASF,M0.5.2,M67,M67,224,draft,2026-09-17T16:26:59Z
2Cor.7.11,G4710,earnestness,N-ASF,M0.5.3,M67,M67,225,draft,2026-09-17T16:26:59Z
2Cor.7.11,G4710,earnestness,N-ASF,M0.5.6,M67,M67,227,draft,2026-09-17T16:26:59Z
2Cor.7.11,G4710,earnestness,N-ASF,M0.5.8,M67,M67,228,draft,2026-09-17T16:26:59Z
