span_id,role,chapter,verse_ref,surface,strongs,morph,stem,sense,linked_char_spans,linked_char_refs,verse_text
277408,standalone,35,Psa 35:23,cause,H7379 H9020,HNcmsc HSp1bs,,cause,,,"Psa 35:23 Awake and rouse yourself for my vindication , for my cause , my God and my Lord !"
277411,qualifier,35,Psa 35:24,Vindicate,H8199,HVqv2ms,Qal,vindicate me,,,"Psa 35:24 Vindicate me, O Lord , my God , according to your righteousness , and let them not rejoice over me !"
277415,standalone,35,Psa 35:24,righteousness,H6664G H9030,HNcmsc HSp1bs,,righteousness,,,"Psa 35:24 Vindicate me, O Lord , my God , according to your righteousness , and let them not rejoice over me !"
277417,standalone,35,Psa 35:24,rejoice,H8055,HVqj3mp,Qal,rejoice,,,"Psa 35:24 Vindicate me, O Lord , my God , according to your righteousness , and let them not rejoice over me !"
277421,standalone,35,Psa 35:25,hearts,H3820A H9003,HNcmsc HR,,hearts,,,"Psa 35:25 Let them not say in their hearts , “ Aha , our heart’s desire !” Let them not say , “We have swallowed him up .”"
277423,standalone,35,Psa 35:25,heart’s desire,H5315G,HNcfsc,,heart’s desire,,,"Psa 35:25 Let them not say in their hearts , “ Aha , our heart’s desire !” Let them not say , “We have swallowed him up .”"
277426,standalone,35,Psa 35:25,swallowed him up,H1104 H9033,HVpp1cp HSp3ms,Piel,swallowed him up,,,"Psa 35:25 Let them not say in their hearts , “ Aha , our heart’s desire !” Let them not say , “We have swallowed him up .”"
277427,standalone,35,Psa 35:26,put to shame,H0954,HVqi3mp,Qal,put to shame,,,Psa 35:26 Let them be put to shame and disappointed altogether who rejoice at my calamity ! Let them be clothed with shame and dishonor who magnify themselves against me !
277428,standalone,35,Psa 35:26,disappointed,H2659,HVqu3mp,Qal,disappointed,,,Psa 35:26 Let them be put to shame and disappointed altogether who rejoice at my calamity ! Let them be clothed with shame and dishonor who magnify themselves against me !
277430,standalone,35,Psa 35:26,rejoice,H8056,HAampc,,rejoice,,,Psa 35:26 Let them be put to shame and disappointed altogether who rejoice at my calamity ! Let them be clothed with shame and dishonor who magnify themselves against me !
277431,standalone,35,Psa 35:26,calamity,H7451C,HNcfsc,,calamity,,,Psa 35:26 Let them be put to shame and disappointed altogether who rejoice at my calamity ! Let them be clothed with shame and dishonor who magnify themselves against me !
277432,standalone,35,Psa 35:26,clothed,H3847 H9020,HVqi3mp HSp1bs,Qal,clothed,,,Psa 35:26 Let them be put to shame and disappointed altogether who rejoice at my calamity ! Let them be clothed with shame and dishonor who magnify themselves against me !
277433,standalone,35,Psa 35:26,shame,H1322,HNcfsa,,shame,,,Psa 35:26 Let them be put to shame and disappointed altogether who rejoice at my calamity ! Let them be clothed with shame and dishonor who magnify themselves against me !
277434,standalone,35,Psa 35:26,dishonor,H3639 H9002,HNcfsa HC,,dishonor,,,Psa 35:26 Let them be put to shame and disappointed altogether who rejoice at my calamity ! Let them be clothed with shame and dishonor who magnify themselves against me !
277435,standalone,35,Psa 35:26,magnify,H1431 H9009,HVhrmpa HTd,Hiphil,magnify,,,Psa 35:26 Let them be put to shame and disappointed altogether who rejoice at my calamity ! Let them be clothed with shame and dishonor who magnify themselves against me !
277439,standalone,35,Psa 35:27,righteousness,H6664G,HNcmsc,,righteousness,,,"Psa 35:27 Let those who delight in my righteousness shout for joy and be glad and say evermore , “ Great is the Lord , who delights in the welfare of his servant !”"
277440,standalone,35,Psa 35:27,joy,H7442B,HVqi3mp,Qal,joy,,,"Psa 35:27 Let those who delight in my righteousness shout for joy and be glad and say evermore , “ Great is the Lord , who delights in the welfare of his servant !”"
277441,standalone,35,Psa 35:27,glad,H8055,HVqu3mp,Qal,glad,,,"Psa 35:27 Let those who delight in my righteousness shout for joy and be glad and say evermore , “ Great is the Lord , who delights in the welfare of his servant !”"
277444,standalone,35,Psa 35:27,Great,H1431,HVqi3ms,Qal,Great,,,"Psa 35:27 Let those who delight in my righteousness shout for joy and be glad and say evermore , “ Great is the Lord , who delights in the welfare of his servant !”"
277446,standalone,35,Psa 35:27,delights,H2655 H9009,HAamsa HTd,,delights,,,"Psa 35:27 Let those who delight in my righteousness shout for joy and be glad and say evermore , “ Great is the Lord , who delights in the welfare of his servant !”"
277447,standalone,35,Psa 35:27,welfare,H7965I,HNcmsc,,welfare,,,"Psa 35:27 Let those who delight in my righteousness shout for joy and be glad and say evermore , “ Great is the Lord , who delights in the welfare of his servant !”"
277452,standalone,35,Psa 35:28,righteousness,H6664G,HNcmsc,,righteousness,,,Psa 35:28 Then my tongue shall tell of your righteousness and of your praise all the day long.
277453,standalone,35,Psa 35:28,praise,H8416 H9021,HNcfsc HSp2ms,,praise,,,Psa 35:28 Then my tongue shall tell of your righteousness and of your praise all the day long.
277492,standalone,36,Psa 36:1,Transgression,H6588,HNcmsa,,Transgression,,,"To the choirmaster . Of David , the servant of the Lord . Psa 36:1 Transgression speaks to the wicked deep in his heart ; there is no fear of God before his eyes ."
277494,standalone,36,Psa 36:1,wicked,H7563 H9005,HNcmsa HR,,wicked,,,"To the choirmaster . Of David , the servant of the Lord . Psa 36:1 Transgression speaks to the wicked deep in his heart ; there is no fear of God before his eyes ."
277498,standalone,36,Psa 36:1,fear,H6343,HNcmsc,,fear,,,"To the choirmaster . Of David , the servant of the Lord . Psa 36:1 Transgression speaks to the wicked deep in his heart ; there is no fear of God before his eyes ."
277522,standalone,36,Psa 36:2,iniquity,H5771G,HNcmsc,,iniquity,,,Psa 36:2 For he flatters himself in his own eyes that his iniquity cannot be found out and hated .
277523,standalone,36,Psa 36:2,found,H4672 H9005 H9023,HVqcc HR HSp3ms,Qal,found,,,Psa 36:2 For he flatters himself in his own eyes that his iniquity cannot be found out and hated .
277524,standalone,36,Psa 36:2,hated,H8130 H9005 H9023,HVqcc HR HSp3ms,Qal,hated,,,Psa 36:2 For he flatters himself in his own eyes that his iniquity cannot be found out and hated .
277527,standalone,36,Psa 36:3,trouble,H0205G H9023,HNcmsa HSp3ms,,trouble,,,Psa 36:3 The words of his mouth are trouble and deceit ; he has ceased to act wisely and do good .
277528,standalone,36,Psa 36:3,deceit,H4820 H9002,HNcfsa HC,,deceit,,,Psa 36:3 The words of his mouth are trouble and deceit ; he has ceased to act wisely and do good .
277530,standalone,36,Psa 36:3,wisely,H7919A H9005,HVhcc HR,Hiphil,wisely,,,Psa 36:3 The words of his mouth are trouble and deceit ; he has ceased to act wisely and do good .
277531,standalone,36,Psa 36:3,good,H3190 H9005,HVhcc HR,Hiphil,good,,,Psa 36:3 The words of his mouth are trouble and deceit ; he has ceased to act wisely and do good .
277533,standalone,36,Psa 36:4,trouble,H0205G,HNcmsa,,trouble,,,Psa 36:4 He plots trouble while on his bed ; he sets himself in a way that is not good ; he does not reject evil .
277537,standalone,36,Psa 36:4,sets,H3320,HVti3ms,Hithpael,sets,,,Psa 36:4 He plots trouble while on his bed ; he sets himself in a way that is not good ; he does not reject evil .
277540,standalone,36,Psa 36:4,good,H2896A,HAamsa,,good,,,Psa 36:4 He plots trouble while on his bed ; he sets himself in a way that is not good ; he does not reject evil .
277542,standalone,36,Psa 36:4,reject,H3988A,HVqi3ms,Qal,reject,,,Psa 36:4 He plots trouble while on his bed ; he sets himself in a way that is not good ; he does not reject evil .
277543,standalone,36,Psa 36:4,evil,H7451B,HAamsa,,evil,,,Psa 36:4 He plots trouble while on his bed ; he sets himself in a way that is not good ; he does not reject evil .
277544,standalone,36,Psa 36:5,steadfast love,H2617A,HNcmsc,,steadfast love,,,"Psa 36:5 Your steadfast love , O Lord , extends to the heavens , your faithfulness to the clouds ."
