run_id,chunk,model,input_tokens,output_tokens,cost_usd,called_at
RUN-20260918_102255_574-VERSE-READING,15/20,claude-sonnet-5,41609,10378,0.2805,2026-09-18T09:53:04Z
RUN-20260918_102255_574-VERSE-READING,16/20,claude-sonnet-5,51350,11282,0.3233,2026-09-18T09:54:42Z
RUN-20260918_102255_574-VERSE-READING,17/20,claude-sonnet-5,21453,18895,0.3478,2026-09-18T09:57:25Z
RUN-20260918_102255_574-VERSE-READING,18/20,claude-sonnet-5,13838,13612,0.2457,2026-09-18T09:59:19Z
RUN-20260918_102255_574-VERSE-READING,19/20,claude-sonnet-5,14150,10382,0.1982,2026-09-18T10:00:48Z
RUN-20260918_102255_574-VERSE-READING,20/20,claude-sonnet-5,8319,7313,0.1347,2026-09-18T10:01:56Z
RUN-20260918_110253_096-CLUSTER-SUBGROUP,1/1,claude-sonnet-5,198190,2066,0.6256,2026-09-18T10:03:29Z
RUN-20260918_110408_200-CLUSTER-READING,1/1,claude-sonnet-5,50058,4553,0.2185,2026-09-18T10:04:54Z
RUN-20260918_110504_530-CLUSTER-READING,1/1,claude-sonnet-5,23756,2946,0.1155,2026-09-18T10:05:32Z
RUN-20260918_110908_168-CLUSTER-READING,1/1,claude-sonnet-5,10512,1067,0.0475,2026-09-18T10:09:22Z
RUN-20260918_111101_336-CLUSTER-READING,1/1,claude-sonnet-5,43473,3972,0.1900,2026-09-18T10:11:40Z
RUN-20260918_111150_238-CLUSTER-ANSWER,1/1,claude-sonnet-5,54979,16406,0.4110,2026-09-18T10:14:08Z
RUN-20260918_111418_849-CLUSTER-ANSWER,1/1,claude-sonnet-5,27563,19294,0.3721,2026-09-18T10:16:46Z
RUN-20260918_111656_292-CLUSTER-ANSWER,1/1,claude-sonnet-5,13698,10693,0.2015,2026-09-18T10:18:26Z
RUN-20260918_111836_353-CLUSTER-ANSWER,1/1,claude-sonnet-5,47474,14057,0.3533,2026-09-18T10:20:39Z
RUN-20260918_113859_216-CLUSTER-READING,1/2,claude-sonnet-5,97583,4254,0.3566,2026-09-18T10:39:37Z
RUN-20260918_114010_303-CLUSTER-READING,1/2,claude-sonnet-5,97583,3460,0.3446,2026-09-18T10:40:45Z
RUN-20260918_114010_303-CLUSTER-READING,2/2,claude-sonnet-5,97907,4082,0.3550,2026-09-18T10:41:22Z
RUN-20260918_114134_473-CLUSTER-ANSWER,1/1,claude-sonnet-5,109279,16080,0.5690,2026-09-18T10:44:01Z
RUN-20260918_114957_191-VERSE-READING,1/50,claude-sonnet-5,50025,20908,0.4637,2026-09-18T10:52:46Z
RUN-20260918_114957_191-VERSE-READING,2/50,claude-sonnet-5,29532,15577,0.3223,2026-09-18T10:54:50Z
RUN-20260918_114957_191-VERSE-READING,3/50,claude-sonnet-5,22506,15603,0.3016,2026-09-18T10:56:59Z
RUN-20260918_114957_191-VERSE-READING,4/50,claude-sonnet-5,56408,15415,0.4004,2026-09-18T10:59:09Z
RUN-20260918_114957_191-VERSE-READING,5/50,claude-sonnet-5,30667,18444,0.3687,2026-09-18T11:01:44Z
RUN-20260918_114957_191-VERSE-READING,6/50,claude-sonnet-5,24293,18501,0.3504,2026-09-18T11:04:12Z
RUN-20260918_114957_191-VERSE-READING,7/50,claude-sonnet-5,61806,19408,0.4765,2026-09-18T11:06:49Z
RUN-20260918_114957_191-VERSE-READING,8/50,claude-sonnet-5,40789,20969,0.4369,2026-09-18T11:09:40Z
RUN-20260918_114957_191-VERSE-READING,9/50,claude-sonnet-5,71096,21921,0.5421,2026-09-18T11:12:41Z
RUN-20260918_114957_191-VERSE-READING,10/50,claude-sonnet-5,25573,13683,0.2820,2026-09-18T11:14:28Z
RUN-20260918_114957_191-VERSE-READING,11/50,claude-sonnet-5,28639,22164,0.4184,2026-09-18T11:17:30Z
RUN-20260918_114957_191-VERSE-READING,12/50,claude-sonnet-5,31216,14262,0.3076,2026-09-18T11:19:31Z
RUN-20260918_114957_191-VERSE-READING,13/50,claude-sonnet-5,25165,13842,0.2831,2026-09-18T11:21:24Z
RUN-20260918_114957_191-VERSE-READING,14/50,claude-sonnet-5,24285,15484,0.3051,2026-09-18T11:23:34Z
RUN-20260918_114957_191-VERSE-READING,15/50,claude-sonnet-5,66635,20698,0.5104,2026-09-18T11:26:26Z
RUN-20260918_114957_191-VERSE-READING,16/50,claude-sonnet-5,61530,10355,0.3399,2026-09-18T11:27:55Z
