"strong","mounce_parsed","row_type"
"G3004G","i.e. (figuratively) relate (in words (usually of systematic or set discourse; whereas G2036 and G5346 generally refer to an individual expression or speech respectively; while G4483 is properly to break silence merely, and G2980 means an extended or random harangue))","description"
"G3004G","by implication","lookup"
"G3004G","to mean","lookup"
"G3166","to boast","lookup"
"G4068","to boast","lookup"
"G4068","brag","lookup"
"G5111","to dare","lookup"
"G5111","be bold","lookup"
"G5111","courageous","lookup"
"G5246","boastful","lookup"
"G5246","bombastic","lookup"
"G6094","","not applicable"
"G7013","to boast of","lookup"
"G0662","to bring forth boldly","description"
"G2292","to have confidence","lookup"
"G2292","be bold be confident","description"
"G3954","boldness","lookup"
"G3954","confidence","lookup"
"G3954","frankness","lookup"
"G3954","public","lookup"
"G3954","openness (of speech)","lookup"
"G3955","to speak boldly","lookup"
"G3955","preach fearlessly","lookup"
"G4006","confidence","lookup"
"G4006","trust","lookup"
"G5112","bold","lookup"
"G5112","daring","lookup"
"G5112","audacious","lookup"
"G5112","(comp. adv.) quite boldly","description"
"G5113","bold man","lookup"
"G5113","daring man","lookup"
"G7683","boldness","lookup"
"G7684","bold-hearted","lookup"
"G7686","bold","lookup"
"G7686","rash","lookup"
"G0509","from above","lookup"
"G0509","from the beginning","lookup"
"G0509","again","lookup"
"G0509","anew","lookup"
"G1397","slavery","lookup"
"G1397","bondage","lookup"
"G1398","to serve (asbe a slave)","description"
"G1402","to enslave","lookup"
"G1402","to cause one to become a slave","description"
"G1402","(passive) to become enslaved","description"
"G2615","to make a slave","description"
"G2615","enslave","lookup"
"G1284","to tear","lookup"
"G1284","break","lookup"
"G1288","(passive) to be torn to piecesapart","description"
"G1358","to break in","lookup"
"G1575","(passive) to be broken off break","description"
"G1846","to dig through","lookup"
"G1846","tear out","lookup"
"G2801","broken piece","lookup"
"G2801","fragment","lookup"
"G2806","to break","lookup"
"G3089","to loose","lookup"
"G3089","release","lookup"
"G3089","untie","lookup"
"G3089","to break","lookup"
"G3089","destroy","lookup"
"G4917","(passive) to be broken to pieces shatter","description"
"G4937","to break","lookup"
"G4937","destroy","lookup"
"G4937","(passive) to be broken","description"
"G4937","bruised","lookup"
"G4937","dashed to pieces","lookup"
"G4977","to tear","lookup"
"G4977","divide","lookup"
"G4977","(passive) to be torn","description"
"G4977","divided","lookup"
"G4977","split (in opinion)","lookup"
"G5259G","by","lookup"
"G5259G","(gen.) by","lookup"
"G5259G","by means of","lookup"
"G5259G","(acc.)","not applicable"
"G5259G","under (in space as well as in status or authority)","description"
"G5259G","at (a time of day)","description"
"G6485","a broken branch","lookup"
"G0235","but","lookup"
"G0235","instead","lookup"
"G0235","yet","lookup"
