"strong","mounce_parsed","row_type"
"G4978","implying discord and damage to the unity of the original group","description"
"G5010","order","lookup"
"G5010","succession","lookup"
"G5010","kind","lookup"
"G5010","nature","lookup"
"G5015","to trouble","lookup"
"G0420","not resentful","lookup"
"G0420","patient","lookup"
"G0430","to put up with","description"
"G0430","endure","lookup"
"G0941","to carry","lookup"
"G0941","bear up","lookup"
"G0941","carry off","lookup"
"G0941","to tolerate","lookup"
"G0941","help","lookup"
"G0941","support","lookup"
"G1526","- they are","lookup"
"G2553","to suffer trouble","lookup"
"G2553","endure hardship","lookup"
"G2594","to persevere","lookup"
"G2594","endure","lookup"
"G3114","to have patience","lookup"
"G3114","to be patient","lookup"
"G3114","to exhibit internal and external control in a difficult circumstance","description"
"G3114","which control could exhibit itself by delaying an action","description"
"G3115","patience","lookup"
"G3115","forbearance","lookup"
"G3115","internal and external control in a difficult circumstance","description"
"G3115","which control could exhibit itself by delaying an action","description"
"G3306","to stay","lookup"
"G3306","remain","lookup"
"G3306","live","lookup"
"G3306","dwell","lookup"
"G3306","abide","lookup"
"G3306","to be in a state that begins and continues","description"
"G3306","yet may or may not end or stop. To abide in Christ is to follow his example of a life obedient to the will of God","description"
"G3958","to experience","lookup"
"G3958","suffer","lookup"
"G3958","endure (almost always in NT with reference to unpleasant experiences)","description"
"G3984","to try to do","description"
"G3984","attempt","lookup"
"G3984","to face","lookup"
"G3984","experience","lookup"
"G4722","to put up with","description"
"G4722","stand","lookup"
"G4722","endure","lookup"
"G4722","to protect","lookup"
"G4722","cover","lookup"
"G4778","(passive) to be mistreated with mistreat","description"
"G5159","to put up with","description"
"G5278","to stay behind","lookup"
"G5278","to stand firm","lookup"
"G5278","endure","lookup"
"G5278","persevere","lookup"
"G5281","perseverance","lookup"
"G5281","endurance","lookup"
"G5281","patience","lookup"
"G5297","to endure","lookup"
"G5297","bear up under","lookup"
"G5297","stand up under","lookup"
"G5342","to bring","lookup"
"G5342","bear","lookup"
"G5342","carry","lookup"
"G5342","lead","lookup"
"G2205","zeal","lookup"
"G2205","ardent concern","lookup"
"G2205","enthusiasm","lookup"
"G2205","an attitude or emotion of deep","description"
"G2205","earnest concern","lookup"
"G2205","jealousy","lookup"
"G2205","envy","lookup"
"G2205","rage","lookup"
"G2205","morally corrupt zealous ill will","description"
"G3788","eye","lookup"
"G3788","the organ of sight","description"
"G3788","by extension the faculty of mental perception and understanding","description"
"G5354","to envy","lookup"
"G5355","envy","lookup"
"G6041","to envy","lookup"
"G6041","be jealousto be full of zeal","description"
"G6041","zealous","lookup"
"G0093","wickedness","lookup"
"G0093","evil","lookup"
"G0093","wrongdoing","lookup"
"G0824","wrong","lookup"
"G0824","wicked","lookup"
"G0824","unusual","lookup"
"G0824","surprising","lookup"
"G1426","bad report","lookup"
"G1426","slander","lookup"
"G2551","to curse","lookup"
"G2551","malign","lookup"
"G2551","speak evil of","lookup"
"G2554","to do evil","lookup"
"G2554","do what is wrong","description"
"G2555","wrongdoing","lookup"
"G2556G","evil","lookup"
"G2556G","evil","lookup"
"G2556G","wicked","lookup"
"G2556G","wrong","lookup"
"G2556G","bad","lookup"
"G2556G","a perversion of what pertains to goodness","description"
"G2556G","as a noun","lookup"
"G2556G","an evil thing can refer to any crime","description"
"G2556G","harm","lookup"
"G2556G","or moral wrong","lookup"
"G2556H","evil","lookup"
"G2556H","evil","lookup"
"G2556H","wicked","lookup"
"G2556H","wrong","lookup"
"G2556H","bad","lookup"
"G2556H","a perversion of what pertains to goodness","description"
"G2556H","as a noun","lookup"
"G2556H","an evil thing can refer to any crime","description"
"G2556H","harm","lookup"
"G2556H","or moral wrong","lookup"
"G2557","criminal","lookup"
"G2557","evildoer","lookup"
"G2559","to harm","lookup"
"G2559","mistreat","lookup"
"G2559","oppress","lookup"
"G2559","persecute","lookup"
"G2559","poison","lookup"
"G2559","embitter","lookup"
"G2560","- badly (physically or morally)","description"
"G2636","slander","lookup"
"G2636","defamation","lookup"
"G2636","evil speech","lookup"
"G4190","bad","lookup"
"G4190","the negative quality of an object","description"
"G4190","evil","lookup"
"G4190","wicked","lookup"
"G4190","crime","lookup"
"G4190","the negative moral quality of a person or action opposed to God and his goodness","description"
"G4190","(n.) wicked deed","lookup"
"G4190","wicked thing","lookup"
"G4190","the Evil One","lookup"
"G4190","a title of Satan","description"
"G4191","- more evil","lookup"
"G5337","evil","lookup"
"G5337","bad","lookup"
"G7771","an evil deed","lookup"
"G7772","evil actions","lookup"
"G7773","evil thinking","lookup"
"G7774","evil-minded","lookup"
"G2334","to see","lookup"
"G2334","look at","lookup"
"G2334","watch closely","lookup"
"G2334","perceive","lookup"
"G2334","experience","lookup"
"G0569","to disbelieve","lookup"
"G0569","be faithless","lookup"
"G0569","unfaithful. In some contexts unbelief has no implication of faithlessness or hardheartedness (Lk 24 11)","description"
"G0569","in other contexts unbelief is a moral failure","description"
"G0569","not acting like a true follower (2Ti 2 13)","description"
"G0570","unbelief","lookup"
"G0570","lack of faith (often with the implication of stubbornly refusing to believe or act in accord with God’s will or law)","description"
"G1680","hope","lookup"
"G1680","expectation","lookup"
"G3640","of little faith","lookup"
"G3640","faithless","lookup"
"G4100","to believe","lookup"
"G4100","put one’s faith in","description"
"G4100","trust","lookup"
"G4100","with an implication that actions based on that trust may follow","description"
"G4100","(passive) entrust","lookup"
"G4102G","faith","lookup"
"G4102G","faith","lookup"
"G4102G","faithfulness","lookup"
"G4102G","belief","lookup"
"G4102G","trust","lookup"
"G4102G","with an implication that actions based on that trust may follow","description"
"G4102G","the faith often refers to the Christian system of belief and lifestyle","description"
"G4102H","faith","lookup"
"G4102H","faith","lookup"
"G4102H","faithfulness","lookup"
"G4102H","belief","lookup"
"G4102H","trust","lookup"
"G4102H","with an implication that actions based on that trust may follow","description"
"G4102H","the faith often refers to the Christian system of belief and lifestyle","description"
"G4103","faithful","lookup"
"G4103","trustworthy","lookup"
"G4103","reliable","lookup"
"G4103","believing","lookup"
"G6066","littleness of faith","lookup"
"G0870","fearlessly","lookup"
"G0870","without the slightest qualm","description"
"G0870","boldly","lookup"
"G1167","timidity","lookup"
"G1167","cowardice","lookup"
"G1168","to be afraid","lookup"
"G1168","cowardly","lookup"
"G1168","timid","lookup"
"G1630","frightened","lookup"
"G1630","terrified","lookup"
"G1719","afraid","lookup"
"G1719","terrified","lookup"
"G1790","trembling","lookup"
"G2125","to have holy fear","description"
"G2125","reverence revere","lookup"
"G2126","devout","lookup"
"G2126","godly","lookup"
"G2126","God-fearing","lookup"
"G2316","God","lookup"
"G2316","usually refers to the one true God","description"
"G2316","in a very few contexts it refers to a (pagan) god or goddess. The Son of God as a title of Jesus emphasizes his unique relationship to the Father. The god of this age refers to the devil","description"
"G2318","godly","lookup"
"G2318","God-fearing","lookup"
"G2318","devout","lookup"
"G4423","something alarming fear","lookup"
"G4576","(middle) to worship","lookup"
"G4576","be devout","lookup"
"G4576","God-fearing","lookup"
"G5156","trembling","lookup"
"G5156","fear","lookup"
"G5398","fearful","lookup"
"G5398","dreadful","lookup"
"G5398","terrible","lookup"
"G5399","to fear","lookup"
"G5399","be afraid","lookup"
"G5399","alarmed","lookup"
"G5399","in some contexts improper and an impediment to faith and love","description"
"G5399","to reverence","lookup"
"G5399","respect","lookup"
"G5399","worship","lookup"
"G5399","in other contexts a proper fear for God","description"
"G5399","a deep reverence and awe","description"
"G5400","fearful eventthing","lookup"
"G6015","fear","lookup"
"G6015","reverence","lookup"
"G6015","awe","lookup"
"G7949","fear","lookup"
"G2842","fellowship","lookup"
"G2842","the close association between persons","description"
"G2842","emphasizing what is common between them","description"
"G2842","by extension participation","lookup"
"G2842","sharing","lookup"
"G2842","contribution","lookup"
"G2842","gift","lookup"
"G2842","the outcome of such close relationships","description"
"G2844","partner","lookup"
"G2844","participant","lookup"
"G2844","one who joins in with another in some enterprise or activity","description"
"G2844","in business or ministry","description"
"G3352","something in common","lookup"
"G3352","sharing","lookup"
"G3352","participation","lookup"
"G4790","to share with","lookup"
"G4790","be connected with","lookup"
"G0453","foolish","lookup"
"G0453","senseless","lookup"
"G0454","folly","lookup"
"G0454","senselessness","lookup"
"G0454","fury","lookup"
"G0801","senseless","lookup"
"G0801","dull","lookup"
"G0801","without understanding","lookup"
"G0801","foolish","lookup"
"G0877","foolishness","lookup"
"G0877","lack of sense","lookup"
"G0878","foolish","lookup"
"G0878","ignorant","lookup"
"G2756","- empty (literally or figuratively)","description"
"G3471","(act.) to make foolish","description"
"G3471","show one foolish","lookup"
"G3471","(pass.) to become a fool","description"
"G3471","be made a fool","description"
"G3471","(passive) to become saltless","description"
"G3471","tasteless","lookup"
"G3471","inert insipid","lookup"
"G3472","foolishness","lookup"
"G3473","foolish talkboorishness","lookup"
"G3474","foolish","lookup"
"G0630G","release","lookup"
"G0630G","to release (forgive, grant clemency)","description"
"G0630G","divorce","lookup"
"G0630G","send away","lookup"
"G0859","forgiveness","lookup"
"G0859","pardon","lookup"
"G0859","release","lookup"
"G0859","cancellation of a debt","description"
"G0863G","leave/abandon","lookup"
"G0863G","to forgive","lookup"
"G0863G","pardon","lookup"
"G0863G","remit","lookup"
"G0863G","cancel","lookup"
"G0863G","to leave","lookup"
"G0863G","abandon","lookup"
"G0863G","to allow","lookup"
"G0863G","permit","lookup"
"G0863G","tolerate","lookup"
"G0863H","forgive","lookup"
"G0863H","to forgive","lookup"
"G0863H","pardon","lookup"
"G0863H","remit","lookup"
"G0863H","cancel","lookup"
"G0863H","to leave","lookup"
"G0863H","abandon","lookup"
"G0863H","to allow","lookup"
"G0863H","permit","lookup"
"G0863H","tolerate","lookup"
"G0863I","permit/release","lookup"
"G0863I","to forgive","lookup"
"G0863I","pardon","lookup"
"G0863I","remit","lookup"
"G0863I","cancel","lookup"
"G0863I","to leave","lookup"
"G0863I","abandon","lookup"
"G0863I","to allow","lookup"
"G0863I","permit","lookup"
"G0863I","tolerate","lookup"
"G2436","forgiving","lookup"
"G2436","gracious","lookup"
"G2436","(may God be) gracious!","description"
"G2436","God forbid!","lookup"
"G5483","to give grace","lookup"
"G5483","to forgive","lookup"
"G5483","cancel (a debt)","lookup"
"G5483","to grant","lookup"
"G5483","to hand over into custody","description"
"G0018","one who does good","description"
"G0572","Formally the quality of singleness","description"
"G0572","translated generosity","lookup"
"G0572","the state of giving things in a manner that shows liberality","description"
"G0572","sincerity","lookup"
"G0572","the moral quality of honesty expressing singleness of purpose or motivation","description"
"G1932","gentleness","lookup"
"G1932","with an implication of tolerance and graciousness","description"
"G1933","gentle","lookup"
"G1933","considerate","lookup"
"G2261","gentle","lookup"
"G2261","kind","lookup"
"G3356","to deal gentlybe gentle","description"
"G4235","gentle","lookup"
"G4236","gentleness","lookup"
"G4239","gentle","lookup"
"G4239","meek","lookup"
"G4239","the positive moral quality of dealing with people in a kind manner","description"
"G4239","with humility and consideration","description"
"G4240","gentleness","lookup"
"G4240","meekness","lookup"
"G4240","humility","lookup"
"G5544","kindness","lookup"
"G5544","goodness","lookup"
"G6073","gentleness","lookup"
"G6073","meekness","lookup"
"G8878","gentle-minded","lookup"
"G0014","to do good","lookup"
"G0015","to do good","lookup"
"G0015","to do right","lookup"
"G0016","doing good","lookup"
"G0017","one who does good","description"
"G0017","right","lookup"
"G0019","goodness","lookup"
"G0865","not loving good","lookup"
"G0979","(everyday) life","lookup"
"G0979","what one lives on","description"
"G0979","property","lookup"
"G0979","possessions","lookup"
"G2097","to preach (bring) the good news (gospel)","description"
"G2097","often with a focus on the content of the message which is brought. In the NT it always refers to the death","description"
"G2097","burial","lookup"
"G2097","resurrection","lookup"
"G2097","and witness about Jesus Christ","description"
"G2097","including its implications for humankind’s relationship to God","description"
"G2108","act of kindness","lookup"
"G2108","good deed","lookup"
"G2109","to do good to","description"
"G2140","doing good","lookup"
"G2162","good report","lookup"
"G2566","good","lookup"
"G2566","right","lookup"
"G2566","beautiful","lookup"
"G2566","fine","lookup"
"G2566","excellent","lookup"
"G2567","teaching what is good","description"
"G2569","to do what is right or good","description"
"G2570G","- properly","lookup"
"G2570G","beautiful","lookup"
"G2570G","but chiefly (figuratively) good (literally or morally)i.e. valuable or virtuous","description"
"G2570H","Fair Havens","lookup"
"G2570H","a port on Crete","description"
"G3776","wealth","lookup"
"G3776","estate","lookup"
"G3776","property","lookup"
"G4147","to be rich","lookup"
"G4147","(pf.) to have acquired wealth","description"
"G4283","to announcepreach the gospel in advance","description"
"G4469","Raca (a term of abuse)","description"
"G4632","possession","lookup"
"G4632","merchandise","lookup"
"G4632","object","lookup"
"G4632","thing","lookup"
"G4632","jar","lookup"
"G4632","vessel","lookup"
"G4632","dish","lookup"
"G4632","a general term that can refer to a human being","description"
"G5223","property","lookup"
"G5223","goods","lookup"
"G5223","possessions","lookup"
"G5224","to have","lookup"
"G5224","possess","lookup"
"G5224","(n.) possessions","lookup"
"G5224","to be","lookup"
"G5224","exist","lookup"
"G5358","loving what islover of good","description"
"G5543","easy","lookup"
"G5543","good","lookup"
"G5543","kind","lookup"
"G5543","loving","lookup"
"G5543","benevolent","lookup"
"G6107","to do good","lookup"
"G7527","good news","lookup"
"G7534","to enjoy good health","description"
"G7548","to have good vine branches","description"
"G7559","good-looking","lookup"
"G2143","beauty","lookup"
"G5485","grace","lookup"
"G5485","the state of kindness and favor toward someone","description"
"G5485","often with a focus on a benefit given to the object","description"
"G5485","by extension gift","lookup"
"G5485","benefit","lookup"
"G5485","credit","lookup"
"G5485","words of kindness and benefit thanks","description"
"G5485","blessing","lookup"
"G2169","expression of thanks","lookup"
"G2169","thanksgiving","lookup"
"G2169","gratitude thankfulness","lookup"
"G0147","in greediness for money","description"
"G0724","greediness","lookup"
"G0724","confiscation","lookup"
"G0724","robbery","lookup"
"G0724","plunder","lookup"
"G3077","sorrow","lookup"
"G3077","grief","lookup"
"G3077","pain","lookup"
"G3996","to mourn","lookup"
"G3996","grieve (over)","lookup"
"G3997","mourning","lookup"
"G3997","grief","lookup"
"G3997","sadness","lookup"
"G4727","to groan","lookup"
"G4727","sigh","lookup"
"G4727","to grumble","lookup"
"G1690","to warn sternly","lookup"
"G1690","rebuke harshly","lookup"
"G1690","to be deeply moved","description"
"G4726","groan","lookup"
"G4726","sigh","lookup"
"G4959","to join in groaning","description"
"G4959","groan together","lookup"
"G6697","groaning","lookup"
"G7929","to groan","lookup"
"G0156","(legal) charge","lookup"
"G0156","reason","lookup"
"G0156","cause","lookup"
"G0159","causer-","lookup"
"G0266","sin","lookup"
"G0266","wrongdoing","lookup"
"G0266","usually any act contrary to the will and law of God","description"
"G1171","terribly","lookup"
"G1171","fiercely","lookup"
"G1418","- used only in composition as a prefix","description"
"G1418","hard","lookup"
"G1418","i.e. with difficulty","lookup"
"G1419","hard to carry ponderous","description"
"G1421","hard to explain abstruse","description"
"G1422","- properly","lookup"
"G1422","fastidious about eating (peevish)","description"
"G1422","i.e. (genitive case) impracticable","description"
"G1423","hard","lookup"
"G1423","with difficultydifficultly","lookup"
"G1425","hard to understand abstruse","description"
"G21419","hardness","lookup"
"G2872","to work","lookup"
"G2872","labor","lookup"
"G2872","give effort","lookup"
"G2872","to become tired","lookup"
"G2872","grow weary","lookup"
"G4456","to harden","lookup"
"G4456","deaden","lookup"
"G4456","make dull","lookup"
"G4457","hardening","lookup"
"G4457","stubbornness","lookup"
"G4641","hardness of heart","lookup"
"G4641","stubbornness","lookup"
"G4641","obstinacy","lookup"
"G4642","hard","lookup"
"G4642","harsh","lookup"
"G4643","hardness","lookup"
"G4643","stubbornness","lookup"
"G6980","hard of hearing","lookup"
"G2189","hostility","lookup"
"G2189","hatred","lookup"
"G2189","antagonism","lookup"
"G7590","hatred","lookup"
"G8332","hatred","lookup"
"G0038","holiness","lookup"
"G0039G","holy (moral quality)","lookup"
"G0039G","consecrated ([ceremonially] acceptable to God)","description"
"G0039G","holy person/people = saint(s)","lookup"
"G0039G","holy place = sanctuary","lookup"
"G0039H","holy (moral quality)","lookup"
"G0039H","consecrated ([ceremonially] acceptable to God)","description"
"G0039H","holy person/people = saint(s)","lookup"
"G0039H","holy place = sanctuary","lookup"
"G0040H","saint/believer","lookup"
"G0040H","holy","lookup"
"G0041","holiness","lookup"
"G0041","a characteristic of God","description"
"G0041","shared by his people","description"
"G0041","requiring a lifestyle acceptable to God","description"
"G0042","holiness","lookup"
"G0042","a characteristic of God","description"
"G0042","shared by his people","description"
"G0042","requiring a lifestyle acceptable to God","description"
"G2150","godliness","lookup"
"G2150","piety","lookup"
"G2412","reverent","lookup"
"G2413","sacred","lookup"
"G2413","holy","lookup"
"G2413","set apart for God","description"
"G2413","(plural) the holy things","description"
"G3741","holy","lookup"
"G3741","pious","lookup"
"G3741","devout","lookup"
"G3741","(n.) Holy One","lookup"
"G3741","divine decree (Act.13 34)","lookup"
"G3742","holiness","lookup"
"G3743","- piously","lookup"
"G4151G","spirit","lookup"
"G4151G","wind","lookup"
"G4151G","breath","lookup"
"G4151G","things which are commonly perceived as having no material substance","description"
"G4151G","by extension spirit","lookup"
"G4151G","heart","lookup"
"G4151G","mind","lookup"
"G4151G","the immaterial part of the inner person that can respond to God","description"
"G4151G","spirit being (evil) spirit","description"
"G4151G","ghost","lookup"
"G4151G","God the Holy Spirit","description"
"G1679","to hope","lookup"
"G1679","hope for","lookup"
"G1679","put hope in","lookup"
"G1679","expect","lookup"
"G1679","an attitude of confidently looking forward to what is good and beneficial","description"
"G3785","How I wish! How I hope!","description"
"G4276","to be the first to hope","description"
"G4276","hope beforehand","lookup"
"G7379","to raise hope","lookup"
"G5012","humility","lookup"
"G5012","humbleness","lookup"
"G5012","modesty","lookup"
"G1495","idolatry","lookup"
"G1495","the reverence and worship of idols","description"
"G2712","idolatrous","lookup"
"G1261","thought","lookup"
"G1261","doubt","lookup"
"G1261","argument","lookup"
"G1261","dispute","lookup"
"G1271","mind","lookup"
"G1271","thinking","lookup"
"G1271","understanding","lookup"
"G1271","this is a part of the inner person that thinks and processes information into understanding","description"
"G1271","including the making of choices","description"
"G1271","the seat of which is the heart","description"
"G1380","to think","lookup"
"G1380","consider","lookup"
"G1380","regard","lookup"
"G1380","an action of the mind and heart for processing information into understanding and choices","description"
"G1380","sometimes with a focus on appearances. Often in the impersonal form translated","description"
"G1380","it seems (Act.17 18)","lookup"
"G1761","thought","lookup"
"G1761","reflection","lookup"
"G1761","design","lookup"
"G1761","idea","lookup"
"G3053","thought","lookup"
"G3053","argument","lookup"
"G3053","reasoning","lookup"
"G3191","to plot","lookup"
"G3191","think about","lookup"
"G3191","meditate on","lookup"
"G3191","to give oneself wholly to","description"
"G3191","practice","lookup"
"G3191","cultivate","lookup"
"G3539","to understand","lookup"
"G3539","see with insight","lookup"
"G3539","reflect","lookup"
"G3543","to think","lookup"
"G3543","suppose","lookup"
"G3543","expect","lookup"
"G3543","consider","lookup"
"G7050","to imagine","lookup"
"G0167","impurity","lookup"
"G0167","a state of moral filthiness","description"
"G0167","especially in relation to sexual sin","description"
"G0168","uncleanness","lookup"
"G0169","unclean","lookup"
"G0169","evil","lookup"
"G6410","impure","lookup"
"G0023","to be indignant","lookup"
"G0024","indignation","lookup"
"G4448","to burn","lookup"
"G4448","to burn inwardly","lookup"
"G0092","crime","lookup"
"G0092","unrighteous or unjust act","description"
"G0458","wickedness","lookup"
"G0458","lawlessness","lookup"
"G0458","lawless deed","lookup"
"G3892","wrongdoing","lookup"
"G3892","lawlessness","lookup"
"G0053","pure (in some contexts morally pure)","description"
"G0053","innocent","lookup"
"G0121","innocent","lookup"
"G0172","blameless","lookup"
"G0172","innocent","lookup"
"G0172","unsuspecting","lookup"
"G0185","innocent","lookup"
"G0185","pure","lookup"
"G0185","not mixed with evil","description"
"G0338","innocent","lookup"
"G1342","right","lookup"
"G1342","righteous","lookup"
"G1342","upright","lookup"
"G1342","in the NT this refers to God’s proper standards and actions","description"
"G1342","expressed in the covenants","description"
"G1342","as a noun it refers to a person in accord with God’s standards","description"
"G1342","in proper relationship with God just","description"
"G2513","clean","lookup"
"G2513","pure","lookup"
"G2513","clear of responsibility","lookup"
"G2513","innocent","lookup"
"G6177","innocence","lookup"
"G3563","mind","lookup"
"G3563","thinking","lookup"
"G3563","understanding","lookup"
"G3563","insight","lookup"
"G3563","to open the mind means to understand something","description"
"G4920","to understand","lookup"
"G4920","realize","lookup"
"G5428","wisdom","lookup"
"G5428","understanding","lookup"
"G0090","sincerity","lookup"
"G0090","integrity","lookup"
"G0861","imperishableness","lookup"
"G0861","immortality","lookup"
"G0816","to look intently","lookup"
"G0816","gaze","lookup"
"G0816","stare","lookup"
"G1227","to see clearly","lookup"
"G1227","to open eyes wide","description"
"G1619","- intently","lookup"
"G1771","attitude","lookup"
"G1771","thought","lookup"
"G1963","thought","lookup"
"G1963","intention","lookup"
"G3879","to bend over","lookup"
"G3879","to look (intently) stoop","description"
"G5426","to reason","lookup"
"G5426","think","lookup"
"G5426","regard","lookup"
"G5426","hold an opinion","lookup"
"G5426","to set one’s mind on","description"
"G5426","to have a (certain) attitude","description"
"G1783","prayer","lookup"
"G1783","intercession","lookup"
"G5241","to intercede","lookup"
"G3863","to make envious","lookup"
"G3863","arouse jealousy","lookup"
"G7600","jealousy","lookup"
"G7601","jealousy","lookup"
"G0021","to be filled with delight","description"
"G0021","with great joy","lookup"
"G2167","joy","lookup"
"G2167","gladness","lookup"
"G2167","cheerfulness","lookup"
"G3685","to have benefit or joy","description"
"G4796","to rejoice with","lookup"
"G6110","a leap for joy","description"
"G1341","righteous judgment justice","lookup"
"G1343","righteousness","lookup"
"G1343","what is right","lookup"
"G1343","justice","lookup"
"G1343","the act of doing what is in agreement with God’s standards","description"
"G1343","the state of being in proper relationship with God","description"
"G1556","to avenge","lookup"
"G1556","take revenge","lookup"
"G1556","to grant justice","lookup"
"G1556","get justice","lookup"
"G1557","justice","lookup"
"G1557","vengeance","lookup"
"G1557","punishment","lookup"
"G2118","righteousness","lookup"
"G2118","uprightness","lookup"
"G2118","a figurative extension of a straight (not crooked) object","description"
"G2118","not found in the NT","description"
"G6928","court of justice","lookup"
"G1074","generation","lookup"
"G1074","one’s own kind or race","description"
"G1074","descendant","lookup"
"G1074","figuratively","lookup"
"G1074","age","lookup"
"G1074","period of time (as in to all generations)","description"
"G1085H","kind","lookup"
"G1085H","family","lookup"
"G1085H","offspring","lookup"
"G1085H","nation","lookup"
"G1085H","people","lookup"
"G1085H","native (of a region)","description"
"G1085H","classification or kind","lookup"
"G3634","what sort of","lookup"
"G3634","what kind of","lookup"
"G4164","of various kinds","lookup"
"G4164","of all kinds","lookup"
"G4169","what?","lookup"
"G4169","which?","lookup"
"G4169","of what kind?","lookup"
"G4217","- interrogatively","lookup"
"G4217","whatever","lookup"
"G4217","i.e. of what possible sort","description"
"G5363","love","lookup"
"G5363","kindness","lookup"
"G5449","nature","lookup"
"G5449","natural state of being or characteristics","description"
"G5541","to be kind","lookup"
"G8598","of all kinds","lookup"
"G8922","kind","lookup"
"G0056","ignorance","lookup"
"G0056","with a focus on talk or action that opposes God","description"
"G1108","knowledge","lookup"
"G1108","understanding","lookup"
"G1492I","know/understand","lookup"
"G1492I","to know","lookup"
"G1492I","to possess information","lookup"
"G1492I","recognize","lookup"
"G1492I","realize","lookup"
"G1492I","to come to know","description"
"G1492I","to understand","lookup"
"G1492I","to be able to use knowledge","description"
"G1922","knowledge","lookup"
"G1922","understanding","lookup"
"G1922","insight","lookup"
"G1990","understanding","lookup"
"G1990","expert","lookup"
"G1990","learned","lookup"
"G4924","to live with","lookup"
"G7396","knowledge","lookup"
"G7454","higher knowledge","lookup"
"G0165H","eternity","lookup"
"G0165H","eternity","lookup"
"G0165H","age (time period)","lookup"
"G0165H","this age can mean the universe or even the current world system","description"
"G0165H","the god of this age refers to the devil","description"
"G0744","ancient","lookup"
"G0744","of old","lookup"
"G0891","until","lookup"
"G0891","up to","lookup"
"G0891","as far as","lookup"
"G0891","as long as","lookup"
"G1597","for a long time","description"
"G1597","long ago","lookup"
"G1973","longed for","lookup"
"G2193","up to","lookup"
"G2193","until","lookup"
"G2375","(long, oblong) shield","lookup"
"G2863","to havebe long hair -haired","description"
"G3112","far away","lookup"
"G3112","distant","lookup"
"G3112","long way off","lookup"
"G3117","lengthy","lookup"
"G3117","long","lookup"
"G3117","distant","lookup"
"G3117","far away","lookup"
"G3118","pertaining to having a long life-lived","description"
"G3173","great","lookup"
"G3173","spatially large","lookup"
"G3173","of quantity or degree loud","description"
"G3173","intense","lookup"
"G3173","violent","lookup"
"G3173","of time long (time)","description"
"G3173","of position great","lookup"
"G3173","important","lookup"
"G3745","how great","lookup"
"G3745","how much","lookup"
"G3745","how far","lookup"
"G3745","as","lookup"
"G3745","just as","lookup"
"G4119","- more in quantity","lookup"
"G4119","number","lookup"
"G4119","or quality","lookup"
"G4119","also (in plural) the major portion","description"
"G4183","- (singular) much (in any respect) or (plural) many","description"
"G4183","neuter (singular) as adverbial","description"
"G4183","largely","lookup"
"G4183","neuter (plural) as adverb or noun often","description"
"G4183","mostly","lookup"
"G4183","largely","lookup"
"G4219","- interrogative adverb","lookup"
"G4219","at what time","lookup"
"G5550","time","lookup"
"G5550","period of time","lookup"
"G7383","longed for","lookup"
"G7808","with long sleeves","lookup"
"G8232","long-lived","lookup"
"G8237","to live a long time","description"
"G8859","to delay long","lookup"
"G8860","long-lived","lookup"
"G0025","to love","lookup"
"G0025","in the NT usually the active love of God for his Son and his people","description"
"G0025","and the active love his people are to have for God","description"
"G0025","each other","lookup"
"G0025","and even enemies","lookup"
"G0026","love","lookup"
"G0026","in the NT usually the active love of God for his Son and his people","description"
"G0026","and the active love his people are to have for God","description"
"G0026","each other","lookup"
"G0026","and even enemies","lookup"
"G0026","love feast","lookup"
"G0026","the common meal shared by Christians in connection with church meetings","description"
"G0027","dearly loved one","lookup"
"G0027","the object of special affection and of special relationship","description"
"G0027","as with Jesus the beloved of the Father","description"
"G0080","brother","lookup"
"G0080","fellow countryman","lookup"
"G0080","neighbor (often inclusive in gender)","description"
"G0080","by extension a fellow believer in the family of faith","description"
"G0080","in the plural brothers regularly refers to men and women","description"
"G1516","peace-loving","lookup"
"G1516","peaceable","lookup"
"G1516","peaceful","lookup"
"G1516","with a focus of having freedom from emotional worry and frustration","description"
"G4375","lovely","lookup"
"G4375","pleasing","lookup"
"G5360","brotherly love","lookup"
"G5360","brotherly kindness","lookup"
"G5361","loving as brothers","lookup"
"G5362","husband-loving one’s husband","lookup"
"G5365","love of money","lookup"
"G5365","avarice","lookup"
"G5365","greed","lookup"
"G5368","to love","lookup"
"G5368","to have affection and regard of a very high order","description"
"G5368","not unlike G0026","lookup"
"G5368","and overlapping in meaning in some contexts","description"
"G5369","loving pleasure -loving","lookup"
"G5377","God-loving God","lookup"
"G5379","dispute","lookup"
"G5379","strife","lookup"
"G5380","contentious","lookup"
"G5380","quarrelsome","lookup"
"G5383","to love to be first","description"
"G5388","loving one’s childrenparental","lookup"
"G7493","to love passionately","lookup"
"G2237","pleasure","lookup"
"G2237","desire","lookup"
"G2237","enjoyment","lookup"
"G2237","usually with a negative sense","description"
"G3806","lust","lookup"
"G3806","sexual passion","lookup"
"G0767","ordinary","lookup"
"G0767","obscure","lookup"
"G0767","insignificant","lookup"
"G0880","mute","lookup"
"G1498","- might (could, would, or should) be","description"
"G3177","to translate","lookup"
"G3177","give the meaning mean","description"
"G3760","by no means","lookup"
"G5346","to say","lookup"
"G5346","declare","lookup"
"G5346","affirm","lookup"
"G8240","by all means","lookup"
"G4304","to premeditate","lookup"
"G6139","to meditate","lookup"
"G6140","meditation","lookup"
"G8281","meditation","lookup"
"G3417","remembrance","lookup"
"G3417","mention","lookup"
"G3422","memory","lookup"
"G3422","remembrance","lookup"
"G3422","memorial offering","lookup"
"G5280","reminder","lookup"
