"strong","related_strong","related_form","related_transliteration","related_gloss","status"
"G0040G","G0041","ἁγιότης","hagiotēs","holiness","ok"
"G0040G","G0042","ἁγιωσύνη","hagiōsunē","holiness","ok"
"G0040H","G0037","ἁγιάζω","hagiazō","to sanctify","ok"
"G0040H","G0039G","ἅγιον","hagion","Holy Place","ok"
"G0040H","G0039H","ἅγιον","hagion","Most Holy Place","ok"
"G0040H","G0040G","ἅγιος","hagios","holy","ok"
"G0040H","G0040H","ἅγιος","hagios","holy: saint","ok"
"G0040H","G0041","ἁγιότης","hagiotēs","holiness","ok"
"G0040H","G0042","ἁγιωσύνη","hagiōsunē","holiness","ok"
"G0041","G0039G","ἅγιον","hagion","Holy Place","ok"
"G0041","G0039H","ἅγιον","hagion","Most Holy Place","ok"
"G0041","G0040G","ἅγιος","hagios","holy","ok"
"G0041","G0040H","ἅγιος","hagios","holy: saint","ok"
"G0042","G0040G","ἅγιος","hagios","holy","ok"
"G0042","G0040H","ἅγιος","hagios","holy: saint","ok"
"G0047","G0048","ἁγνίζω","hagnizō","to purify","ok"
"G0047","G0049","ἁγνισμός","hagnismos","purification","ok"
"G0047","G0053","ἁγνός","hagnos","pure","ok"
"G0047","G0054","ἁγνότης","hagnotēs","purity","ok"
"G0047","G0055","ἁγνῶς","hagnōs","purely","ok"
"G0048","G0047","ἁγνεία","hagneia","purity","ok"
"G0048","G0049","ἁγνισμός","hagnismos","purification","ok"
"G0048","G0053","ἁγνός","hagnos","pure","ok"
"G0048","G0054","ἁγνότης","hagnotēs","purity","ok"
"G0048","G0055","ἁγνῶς","hagnōs","purely","ok"
"G0050","G0051","ἀγνόημα","agnoēma","error","ok"
"G0050","G0052","ἄγνοια","agnoia","ignorance","ok"
"G0050","G0056","ἀγνωσία","agnōsia","ignorance","ok"
"G0050","G0057","ἄγνωστος","agnōstos","unknown","ok"
"G0050","G0314","ἀναγινώσκω","anaginōskō","to read","ok"
"G0050","G0319","ἀναγνωρίζω","anagnōrizō","to recognize","ok"
"G0050","G1097","γινώσκω","ginōskō","to know","ok"
"G0050","G1106","γνώμη","gnōmē","resolution","ok"
"G0050","G1107","γνωρίζω","gnōrizō","to make known","ok"
"G0050","G1108","γνῶσις","gnōsis","knowledge","ok"
"G0050","G1109","γνώστης","gnōstēs","expert in","ok"
"G0050","G1110","γνωστός, γνώριμος","gnōstos gnōrimos","acquainted with","ok"
"G0050","G1231","διαγινώσκω","diaginōskō","to decide","ok"
"G0050","G1232","διαγνωρίζω","diagnōrizō","to report","ok"
"G0050","G1492H","εἴδω","eidō","to perceive: see","ok"
"G0050","G1492I","εἴδω","eidō","to perceive: know","ok"
"G0050","G1921","ἐπιγινώσκω","epiginōskō","to come to know","ok"
"G0050","G1922","ἐπίγνωσις","epignōsis","knowledge","ok"
"G0050","G2589","καρδιογνώστης","kardiognōstēs","heart-knower","ok"
"G0050","G3539","νοέω","noeō","to understand","ok"
"G0050","G4267","προγινώσκω","proginōskō","to know/choose","ok"
"G0050","G4268","πρόγνωσις","prognōsis","foreknowledge","ok"
"G0050","G4275","προεῖδον","proeidon","to foresee","ok"
"G0050","G4774","συγγνώμη","sungnōmē","concession","ok"
"G0050","G4894","συνείδω","suneidō","be aware","ok"
"G0051","G0050","ἀγνοέω","agnoeō","be ignorant","ok"
"G0053","G0040G","ἅγιος","hagios","holy","ok"
"G0053","G0040H","ἅγιος","hagios","holy: saint","ok"
"G0053","G0047","ἁγνεία","hagneia","purity","ok"
"G0053","G0048","ἁγνίζω","hagnizō","to purify","ok"
"G0053","G0049","ἁγνισμός","hagnismos","purification","ok"
"G0053","G0054","ἁγνότης","hagnotēs","purity","ok"
"G0053","G0055","ἁγνῶς","hagnōs","purely","ok"
"G0054","G0047","ἁγνεία","hagneia","purity","ok"
"G0054","G0048","ἁγνίζω","hagnizō","to purify","ok"
"G0054","G0049","ἁγνισμός","hagnismos","purification","ok"
"G0054","G0053","ἁγνός","hagnos","pure","ok"
"G0054","G0055","ἁγνῶς","hagnōs","purely","ok"
"G0055","G0047","ἁγνεία","hagneia","purity","ok"
"G0055","G0048","ἁγνίζω","hagnizō","to purify","ok"
"G0055","G0049","ἁγνισμός","hagnismos","purification","ok"
"G0055","G0053","ἁγνός","hagnos","pure","ok"
"G0055","G0054","ἁγνότης","hagnotēs","purity","ok"
"G0056","G0050","ἀγνοέω","agnoeō","be ignorant","ok"
"G0056","G0052","ἄγνοια","agnoia","ignorance","ok"
"G0056","G0057","ἄγνωστος","agnōstos","unknown","ok"
"G0056","G0314","ἀναγινώσκω","anaginōskō","to read","ok"
"G0056","G0319","ἀναγνωρίζω","anagnōrizō","to recognize","ok"
"G0056","G1097","γινώσκω","ginōskō","to know","ok"
"G0056","G1106","γνώμη","gnōmē","resolution","ok"
"G0056","G1107","γνωρίζω","gnōrizō","to make known","ok"
"G0056","G1108","γνῶσις","gnōsis","knowledge","ok"
"G0056","G1109","γνώστης","gnōstēs","expert in","ok"
"G0056","G1110","γνωστός, γνώριμος","gnōstos gnōrimos","acquainted with","ok"
"G0056","G1231","διαγινώσκω","diaginōskō","to decide","ok"
"G0056","G1232","διαγνωρίζω","diagnōrizō","to report","ok"
"G0056","G1492H","εἴδω","eidō","to perceive: see","ok"
"G0056","G1492I","εἴδω","eidō","to perceive: know","ok"
"G0056","G1921","ἐπιγινώσκω","epiginōskō","to come to know","ok"
"G0056","G1922","ἐπίγνωσις","epignōsis","knowledge","ok"
"G0056","G2589","καρδιογνώστης","kardiognōstēs","heart-knower","ok"
"G0056","G4267","προγινώσκω","proginōskō","to know/choose","ok"
"G0056","G4268","πρόγνωσις","prognōsis","foreknowledge","ok"
"G0056","G4275","προεῖδον","proeidon","to foresee","ok"
"G0056","G4774","συγγνώμη","sungnōmē","concession","ok"
"G0056","G4894","συνείδω","suneidō","be aware","ok"
"G0060","G0058","ἀγορά","agora","marketplace","ok"
"G0069","G0070","ἀγρυπνία","agrupnia","sleeplessness","ok"
"G0069","G5258","ὕπνος","hupnos","sleep","ok"
"G0073","G0074","ἀγωνία","agōnia","a struggle","ok"
"G0073","G0075","ἀγωνίζομαι","agōnizomai","to struggle","ok"
"G0073","G0464","ἀνταγωνίζομαι","antagōnizomai","to struggle","ok"
"G0073","G1864","ἐπαγωνίζομαι","epagōnizomai","to contend","ok"
"G0073","G2610","καταγωνίζομαι","katagōnizomai","to conquer","ok"
"G0073","G4865","συναγωνίζομαι","sunagōnizomai","to struggle","ok"
"G0074","G0073","ἀγών","agōn","fight","ok"
"G0074","G0075","ἀγωνίζομαι","agōnizomai","to struggle","ok"
"G0074","G0464","ἀνταγωνίζομαι","antagōnizomai","to struggle","ok"
"G0074","G1864","ἐπαγωνίζομαι","epagōnizomai","to contend","ok"
"G0074","G2610","καταγωνίζομαι","katagōnizomai","to conquer","ok"
"G0074","G4865","συναγωνίζομαι","sunagōnizomai","to struggle","ok"
"G0080","G0079","ἀδελφή","adelfē","sister","ok"
"G0080","G0081","ἀδελφότης","adelfotēs","brotherhood","ok"
"G0080","G5569","ψευδάδελφος","pseudadelfos","false brother","ok"
"G0085","","","","","ok"
"G0090","G1223","διά","dia","through/because of","ok"
"G0090","G1311","διαφθείρω","diaftheirō","to destroy","ok"
"G0090","G5356","φθορά","fthora","corruption","ok"
"G0090","G7843","καταθύμιος","katathumios","wishes","ok"
"G0092","G0091","ἀδικέω","adikeō","to harm","ok"
"G0092","G0093","ἀδικία","adikia","unrighteousness","ok"
"G0092","G0094","ἄδικος","adikos","unjust","ok"
"G0092","G0095","ἀδίκως","adikōs","unjustly","ok"
"G0092","G0476","ἀντίδικος","antidikos","opponent","ok"
"G0092","G1341","δικαιοκρισία","dikaiokrisia","justice","ok"
"G0092","G1342","δίκαιος","dikaios","just","ok"
"G0092","G1343","δικαιοσύνη","dikaiosunē","righteousness","ok"
"G0092","G1344","δικαιόω","dikaioō","to justify","ok"
"G0092","G1345","δικαίωμα","dikaiōma","righteous act","ok"
"G0092","G1346","δικαίως","dikaiōs","rightly","ok"
"G0092","G1347","δικαίωσις","dikaiōsis","justification","ok"
"G0092","G1348","δικαστής","dikastēs","magistrate","ok"
"G0092","G1349","δίκη","dikē","condemnation","ok"
"G0092","G1738","ἔνδικος","endikos","just","ok"
"G0092","G2613","καταδικάζω","katadikazō","to condemn","ok"
"G0092","G5267","ὑπόδικος","hupodikos","accountable","ok"
"G0093","G0091","ἀδικέω","adikeō","to harm","ok"
"G0093","G0092","ἀδίκημα","adikēma","crime","ok"
"G0093","G0094","ἄδικος","adikos","unjust","ok"
"G0093","G0095","ἀδίκως","adikōs","unjustly","ok"
"G0093","G0476","ἀντίδικος","antidikos","opponent","ok"
"G0093","G1341","δικαιοκρισία","dikaiokrisia","justice","ok"
"G0093","G1342","δίκαιος","dikaios","just","ok"
"G0093","G1343","δικαιοσύνη","dikaiosunē","righteousness","ok"
"G0093","G1344","δικαιόω","dikaioō","to justify","ok"
"G0093","G1345","δικαίωμα","dikaiōma","righteous act","ok"
"G0093","G1346","δικαίως","dikaiōs","rightly","ok"
"G0093","G1347","δικαίωσις","dikaiōsis","justification","ok"
"G0093","G1348","δικαστής","dikastēs","magistrate","ok"
"G0093","G1349","δίκη","dikē","condemnation","ok"
"G0093","G1738","ἔνδικος","endikos","just","ok"
"G0093","G2613","καταδικάζω","katadikazō","to condemn","ok"
"G0093","G5267","ὑπόδικος","hupodikos","accountable","ok"
"G0094","G0091","ἀδικέω","adikeō","to harm","ok"
"G0094","G0092","ἀδίκημα","adikēma","crime","ok"
"G0094","G0093","ἀδικία","adikia","unrighteousness","ok"
"G0094","G0095","ἀδίκως","adikōs","unjustly","ok"
"G0094","G0476","ἀντίδικος","antidikos","opponent","ok"
"G0094","G1341","δικαιοκρισία","dikaiokrisia","justice","ok"
"G0094","G1342","δίκαιος","dikaios","just","ok"
"G0094","G1343","δικαιοσύνη","dikaiosunē","righteousness","ok"
"G0094","G1344","δικαιόω","dikaioō","to justify","ok"
"G0094","G1345","δικαίωμα","dikaiōma","righteous act","ok"
"G0094","G1346","δικαίως","dikaiōs","rightly","ok"
"G0094","G1347","δικαίωσις","dikaiōsis","justification","ok"
"G0094","G1348","δικαστής","dikastēs","magistrate","ok"
"G0094","G1349","δίκη","dikē","condemnation","ok"
"G0094","G1738","ἔνδικος","endikos","just","ok"
"G0094","G2613","καταδικάζω","katadikazō","to condemn","ok"
"G0094","G5267","ὑπόδικος","hupodikos","accountable","ok"
"G0096","G1384","δόκιμος","dokimos","tested","ok"
"G0097","G1386","δόλιος","dolios","deceitful","ok"
"G0097","G1387","δολιόω","dolioō","to deceive","ok"
"G0097","G1388","δόλος","dolos","deceit","ok"
"G0101","G0102","ἀδύνατος","adunatos","unable","ok"
"G0101","G1410","δύναμαι","dunamai","be able","ok"
"G0101","G1411","δύναμις","dunamis","power","ok"
"G0101","G1412","δυναμόω","dunamoō","to empower","ok"
"G0101","G1413","δυνάστης","dunastēs","ruler","ok"
"G0101","G1414","δυνατέω","dunateō","be able","ok"
"G0101","G1415","δυνατός","dunatos","able","ok"
"G0101","G1743","ἐνδυναμόω","endunamoō","to strengthen","ok"
"G0101","G2616","καταδυναστεύω","katadunasteuō","to oppress","ok"
"G0102","G0101","ἀδυνατέω","adunateō","be impossible","ok"
"G0102","G1410","δύναμαι","dunamai","be able","ok"
"G0102","G1411","δύναμις","dunamis","power","ok"
"G0102","G1412","δυναμόω","dunamoō","to empower","ok"
"G0102","G1413","δυνάστης","dunastēs","ruler","ok"
"G0102","G1414","δυνατέω","dunateō","be able","ok"
"G0102","G1415","δυνατός","dunatos","able","ok"
"G0102","G1743","ἐνδυναμόω","endunamoō","to strengthen","ok"
"G0102","G2616","καταδυναστεύω","katadunasteuō","to oppress","ok"
"G0103","G5215","ὕμνος","humnos","hymn","ok"
"G0103","G5603","ᾠδή","ōdē","song","ok"
"G0111","G0394","ἀνατίθημι","anatithēmi","to set before","ok"
"G0111","G0475","ἀντιδιατίθημι","antidiatithēmi","to oppose","ok"
"G0111","G1303","διατίθημι","diatithēmi","to make a covenant","ok"
"G0111","G2652","κατανάθεμα","katanathema","curse","ok"
"G0111","G2653","καταναθεματίζω","katanathematizō","to curse","ok"
"G0111","G4388","προτίθημι","protithēmi","to plan/present","ok"
"G0111","G4784","συγκατατίθημι","sunkatatithēmi","to consent","ok"
"G0111","G4934","συντίθημι","suntithēmi","to agree","ok"
"G0111","G5087","τίθημι","tithēmi","to place","ok"
"G0114","G0115","ἀθέτησις","athetēsis","nullification","ok"
"G0114","G5087","τίθημι","tithēmi","to place","ok"
"G0120","G1937","ἐπιθυμέω","epithumeō","to long for","ok"
"G0120","G1938","ἐπιθυμητής","epithumētēs","one who desires","ok"
"G0120","G1939","ἐπιθυμία","epithumia","desire","ok"
"G0120","G2114","εὐθυμέω","euthumeō","be cheerful","ok"
"G0120","G2115","εὔθυμος","euthumos","encouraging","ok"
"G0120","G2372","θυμός","thumos","wrath","ok"
"G0120","G4288","προθυμία","prothumia","eagerness","ok"
"G0120","G4289","πρόθυμος","prothumos","eager","ok"
"G0120","G4290","προθύμως","prothumōs","eagerly","ok"
"G0121","","","","","ok"
"G0133","G0132","Αἰνέας","aineas","Aeneas","ok"
"G0133","G0134","αἰνέω","aineō","to praise","ok"
"G0133","G3867","παραινέω","paraineō","to urge","ok"
"G0134","G0132","Αἰνέας","aineas","Aeneas","ok"
