"strong","related_strong","related_form","related_transliteration","related_gloss","status"
"H0205H","H8383","תְּאֻנִים","te.u.nim","toil","ok"
"H0225","H0226G","אוֹת","ot","sign: miraculous","ok"
"H0225","H0226H","אוֹת","ot","sign:  indicator","ok"
"H0225","H0227A","אָז","az","then","ok"
"H0225","H0227B","מֵאָז","me.az","the past","ok"
"H0225","H0229","אֶזְבָּ֑י","ez.ba","Ezbai","ok"
"H0225","H0231","אֵזוֹב","e.zov","hyssop","ok"
"H0225","H0233","אֲזַי","a.zay","in that case","ok"
"H0226G","H0184","אָוָה","a.vah","to mark","ok"
"H0226G","H0186","אוּזַי","u.zay","Uzai","ok"
"H0226G","H0225","אוּת","ut","to consent","ok"
"H0226G","H0226H","אוֹת","ot","sign:  indicator","ok"
"H0226G","H0852","אָת","at","sign","ok"
"H0226H","H0184","אָוָה","a.vah","to mark","ok"
"H0226H","H0186","אוּזַי","u.zay","Uzai","ok"
"H0226H","H0225","אוּת","ut","to consent","ok"
"H0226H","H0226G","אוֹת","ot","sign: miraculous","ok"
"H0226H","H0852","אָת","at","sign","ok"
"H0234","H2138","זָכוּר","za.khur","male","ok"
"H0234","H2139G","זַכּוּר","zak.kur","Zaccur","ok"
"H0234","H2139H","זַכּוּר","zak.kur","Zaccur","ok"
"H0234","H2139I","זַכּוּר","zak.kur","Zaccur","ok"
"H0234","H2139J","זַכּוּר","zak.kur","Zaccur","ok"
"H0234","H2139K","זַכּוּר","zak.kur","Zaccur","ok"
"H0234","H2139L","זַכּוּר","zak.kur","Zaccur","ok"
"H0234","H2139M","זַכּוּר","zak.kur","Zaccur","ok"
"H0234","H2139N","זַכּוּר","zak.kur","Zaccur","ok"
"H0234","H2142","זָכַר","za.khar","to remember","ok"
"H0234","H2143","זֵ֫כֶר","ze.kher","memorial","ok"
"H0234","H2144","זֶ֫כֶר","ze.kher","Zecher","ok"
"H0234","H2145","זָכָר","za.khar","male","ok"
"H0234","H2146","זִכָּרוֹן","zik.ka.ron","memorial","ok"
"H0234","H2147G","זִכְרִי","zikh.ri","Zichri","ok"
"H0234","H2147H","זִכְרִי","zikh.ri","Zichri","ok"
"H0234","H2147I","זִכְרִי","zikh.ri","Zichri","ok"
"H0234","H2147J","זִכְרִי","zikh.ri","Zichri","ok"
"H0234","H2147K","זִכְרִי","zikh.ri","Zichri","ok"
"H0234","H2147L","זִכְרִי","zikh.ri","Zichri","ok"
"H0234","H2147M","זִכְרִי","zikh.ri","Zichri","ok"
"H0234","H2147N","זִכְרִי","zikh.ri","Zichri","ok"
"H0234","H2147O","זִכְרִי","zikh.ri","Zichri","ok"
"H0234","H2147P","זִכְרִי","zikh.ri","Zichri","ok"
"H0234","H2147Q","זִכְרִי","zikh.ri","Zichri","ok"
"H0234","H2147R","זִכְרִי","zikh.ri","Zichri","ok"
"H0234","H2148A","זְכַרְיָהוּ","ze.khar.ya.hu","Zechariah","ok"
"H0234","H2148B","זְכַרְיָהוּ","ze.khar.ya.hu","Zechariah","ok"
"H0234","H2148C","זְכַרְיָהוּ","ze.khar.ya.hu","Zechariah","ok"
"H0234","H2148D","זְכַרְיָהוּ","ze.khar.ya.hu","Zechariah","ok"
"H0234","H2148E","זְכַרְיָהוּ","ze.khar.ya.hu","Zechariah","ok"
"H0234","H2148F","זְכַרְיָהוּ","ze.khar.ya.hu","Zechariah","ok"
"H0234","H2148G","זְכַרְיָהוּ","ze.khar.ya.hu","Zechariah","ok"
"H0234","H2148H","זְכַרְיָהוּ","ze.khar.ya.hu","Zechariah","ok"
"H0234","H2148I","זְכַרְיָהוּ","ze.khar.ya.hu","Zechariah","ok"
"H0234","H2148J","זְכַרְיָהוּ","ze.khar.ya.hu","Zechariah","ok"
"H0234","H2148L","זְכַרְיָהוּ","ze.khar.ya.hu","Zechariah","ok"
"H0234","H2148M","זְכַרְיָהוּ","ze.khar.ya.hu","Zechariah","ok"
"H0234","H2148N","זְכַרְיָהוּ","ze.khar.ya.hu","Zechariah","ok"
"H0234","H2148O","זְכַרְיָהוּ","ze.khar.ya.hu","Zechariah","ok"
"H0234","H2148P","זְכַרְיָהוּ","ze.khar.ya.hu","Zechariah","ok"
"H0234","H2148Q","זְכַרְיָהוּ","ze.khar.ya.hu","Zechariah","ok"
"H0234","H2148R","זְכַרְיָהוּ","ze.khar.ya.hu","Zechariah","ok"
"H0234","H2148S","זְכַרְיָהוּ","ze.khar.ya.hu","Zechariah","ok"
"H0234","H2148T","זְכַרְיָהוּ","ze.khar.ya.hu","Zechariah","ok"
"H0234","H2148U","זְכַרְיָהוּ","ze.khar.ya.hu","Zechariah","ok"
"H0234","H2148V","זְכַרְיָהוּ","ze.khar.ya.hu","Zechariah","ok"
"H0234","H2148W","זְכַרְיָהוּ","ze.khar.ya.hu","Zechariah","ok"
"H0234","H2148X","זְכַרְיָהוּ","ze.khar.ya.hu","Zechariah","ok"
"H0234","H2148Y","זְכַרְיָהוּ","ze.khar.ya.hu","Zechariah","ok"
"H0234","H2148z","זְכַרְיָהוּ","ze.khar.ya.hu","Zechariah","ok"
"H0235","H0187G","אוּזָל","u.zal","Uzal","ok"
"H0235","H0187H","אוּזָל","u.zal","Uzal","ok"
"H0235","H0230","אַזְדָּא","az.da","gone","ok"
"H0235","H0236","אֲזַל","a.zal","to go","ok"
"H0235","H0237","אֶזֶל","e.zel","Ezel","ok"
"H0238","H0239","אָזַן","a.zan","to ponder","ok"
"H0238","H0240","אָזֵן","a.zen","weapon","ok"
"H0238","H0241G","אֹ֫זֶן","o.zen","ear","ok"
"H0238","H0241H","אֹ֫זֶן","o.zen","ear: hearing","ok"
"H0238","H0241I","אֹ֫זֶן","o.zen","ear: to ears","ok"
"H0238","H0243","אַזְנוֹת תָּבוֹר","az.not ta.vor","Aznoth-tabor","ok"
"H0238","H0244A","אׇזְנִי","oz.ni","Ozni","ok"
"H0238","H0244B","אׇזְנִי","oz.ni","Oznite","ok"
"H0238","H0245","אֲזַנְיָ֫הוּ","a.zan.ya.hu","Azaniah","ok"
"H0238","H2970G","יַאֲזַנְיָ֫הוּ","ya.a.zan.ya.hu","Jaazaniah","ok"
"H0238","H2970H","יַאֲזַנְיָ֫הוּ","ya.a.zan.ya.hu","Jaazaniah","ok"
"H0238","H2970I","יַאֲזַנְיָ֫הוּ","ya.a.zan.ya.hu","Jaazaniah","ok"
"H0238","H2970J","יַאֲזַנְיָ֫הוּ","ya.a.zan.ya.hu","Jezaniah","ok"
"H0238","H3153","יְזַנְיָה","ye.zan.yah","Jezaniah","ok"
"H0239","H0238","אָזַן","a.zan","to listen","ok"
"H0239","H0242","אֻזֵּן שֶׁאֱרָה","uz.zen she.e.rah","Uzzen-sheerah","ok"
"H0239","H3976","מֹאזֵן","mo.zen","balance","ok"
"H0239","H3977","מֹאזֵנְיָא","mo.ze.ne.ya","scale","ok"
"H0241G","H0238","אָזַן","a.zan","to listen","ok"
"H0241G","H0240","אָזֵן","a.zen","weapon","ok"
"H0241G","H0241H","אֹ֫זֶן","o.zen","ear: hearing","ok"
"H0241G","H0241I","אֹ֫זֶן","o.zen","ear: to ears","ok"
"H0241G","H0243","אַזְנוֹת תָּבוֹר","az.not ta.vor","Aznoth-tabor","ok"
"H0241G","H0244A","אׇזְנִי","oz.ni","Ozni","ok"
"H0241G","H0244B","אׇזְנִי","oz.ni","Oznite","ok"
"H0241G","H0245","אֲזַנְיָ֫הוּ","a.zan.ya.hu","Azaniah","ok"
"H0241G","H2970G","יַאֲזַנְיָ֫הוּ","ya.a.zan.ya.hu","Jaazaniah","ok"
"H0241G","H2970H","יַאֲזַנְיָ֫הוּ","ya.a.zan.ya.hu","Jaazaniah","ok"
"H0241G","H2970I","יַאֲזַנְיָ֫הוּ","ya.a.zan.ya.hu","Jaazaniah","ok"
"H0241G","H2970J","יַאֲזַנְיָ֫הוּ","ya.a.zan.ya.hu","Jezaniah","ok"
"H0241G","H3153","יְזַנְיָה","ye.zan.yah","Jezaniah","ok"
"H0241H","H0238","אָזַן","a.zan","to listen","ok"
"H0241H","H0240","אָזֵן","a.zen","weapon","ok"
"H0241H","H0241G","אֹ֫זֶן","o.zen","ear","ok"
"H0241H","H0241I","אֹ֫זֶן","o.zen","ear: to ears","ok"
"H0241H","H0243","אַזְנוֹת תָּבוֹר","az.not ta.vor","Aznoth-tabor","ok"
"H0241H","H0244A","אׇזְנִי","oz.ni","Ozni","ok"
"H0241H","H0244B","אׇזְנִי","oz.ni","Oznite","ok"
"H0241H","H0245","אֲזַנְיָ֫הוּ","a.zan.ya.hu","Azaniah","ok"
"H0241H","H2970G","יַאֲזַנְיָ֫הוּ","ya.a.zan.ya.hu","Jaazaniah","ok"
"H0241H","H2970H","יַאֲזַנְיָ֫הוּ","ya.a.zan.ya.hu","Jaazaniah","ok"
"H0241H","H2970I","יַאֲזַנְיָ֫הוּ","ya.a.zan.ya.hu","Jaazaniah","ok"
"H0241H","H2970J","יַאֲזַנְיָ֫הוּ","ya.a.zan.ya.hu","Jezaniah","ok"
"H0241H","H3153","יְזַנְיָה","ye.zan.yah","Jezaniah","ok"
"H0280","H2330","חוּד","chud","to riddle","ok"
"H0280","H2420","חִידָה","chi.dah","riddle","ok"
"H0328A","H0328B","אַט","at","softly","ok"
"H0330","H0331","אָטַם","a.tam","to shutter","ok"
"H0340","H0341","אֹיֵב","o.yev","enemy","ok"
"H0340","H0342","אֵיבָה","e.vah","enmity","ok"
"H0340","H0347","אִיּוֹב","iy.yov","Job","ok"
"H0340","H0353","אֱיָל","e.yal","strength","ok"
"H0340","H0360","אֱיָלוּת","e.ya.lut","strength","ok"
"H0340","H8374","תָּאַב","ta.av","to loathe","ok"
"H0342","H0340","אָיַב","a.yav","be hostile","ok"
"H0342","H0341","אֹיֵב","o.yev","enemy","ok"
"H0342","H0347","אִיּוֹב","iy.yov","Job","ok"
"H0342","H0353","אֱיָל","e.yal","strength","ok"
"H0342","H0360","אֱיָלוּת","e.ya.lut","strength","ok"
"H0353","H0340","אָיַב","a.yav","be hostile","ok"
"H0353","H0341","אֹיֵב","o.yev","enemy","ok"
"H0353","H0342","אֵיבָה","e.vah","enmity","ok"
"H0353","H0347","אִיּוֹב","iy.yov","Job","ok"
"H0353","H0352A","אַ֫יִל","a.yil","ram","ok"
"H0353","H0352B","אַ֫יִל","a.yil","pillar","ok"
"H0353","H0352C","אַ֫יִל","a.yil","leader","ok"
"H0353","H0352D","אַ֫יִל","a.yil","terebinth","ok"
"H0353","H0360","אֱיָלוּת","e.ya.lut","strength","ok"
"H0360","H0340","אָיַב","a.yav","be hostile","ok"
"H0360","H0341","אֹיֵב","o.yev","enemy","ok"
"H0360","H0342","אֵיבָה","e.vah","enmity","ok"
"H0360","H0347","אִיּוֹב","iy.yov","Job","ok"
"H0360","H0353","אֱיָל","e.yal","strength","ok"
"H0366","H0367","אֵימָה","e.mah","terror","ok"
"H0366","H0368","אֵימִים","e.mim","Emim","ok"
"H0367","H0366","אָיֹם","a.yom","terrible","ok"
"H0367","H0368","אֵימִים","e.mim","Emim","ok"
"H0375","H0335","אַי","ay","where?","ok"
"H0375","H0346","אַיֵּה","ay.yeh","where?","ok"
"H0375","H0349A","אֵיךְ","ekh","how?","ok"
"H0375","H0349B","אֵיכָה","e.khah","how?","ok"
"H0375","H0349C","אֵיכָ֫כָה","e.kha.khah","how?","ok"
"H0375","H0351","אֵיכֹה","e.khoh","where?","ok"
"H0375","H0370","אַ֫יִן","a.yin","where?","ok"
"H0375","H0575","אָן","an","where?","ok"
"H0375","H6311","פֹּה","poh","here","ok"
"H0377","H0376G","אִישׁ","ish","man","ok"
"H0377","H0376H","אִישׁ","ish","man: husband","ok"
"H0377","H0376I","אִישׁ","ish","man: anyone","ok"
"H0377","H0809","אֲשִׁישָׁה","a.shi.shah","raisin bun","ok"
"H0377","H0847","אֶשְׁתָּאוֹל","esh.ta.ol","Eshtaol","ok"
"H0377","H0848","אֶשְׁתָּאֻלִי","esh.ta.u.li","Eshtaolite","ok"
"H0377","H0850","אֶשְׁתּוֹן","esh.ton","Eshton","ok"
"H0377","H0851","אֶשְׁתְּמוֹעַ","esh.te.mo.a","Eshtemoa","ok"
"H0383","H0311","אַחַר","a.char","after","ok"
"H0383","H0317","אׇחֳרִי","o.cho.ri","another","ok"
"H0383","H0318","אׇחֳרֵין","o.cho.ren","finally","ok"
"H0383","H0320","אַחֲרִית","a.cha.rit","latter","ok"
"H0383","H0321","אׇחֳרָן","o.cho.ran","another","ok"
"H0383","H0324","אֲחַשְׁדַּרְפְּנִין","a.chash.dar.pe.nin","satrap","ok"
"H0383","H0574","אֵימְתָן","e.me.tan","terrible","ok"
"H0383","H3426","יֵשׁ","yesh","there","ok"
"H0386","H0387G","אֵיתָן","e.tan","Ethan","ok"
"H0386","H0387H","אֵיתָן","e.tan","Ethan","ok"
"H0386","H0387I","אֵיתָן","e.tan","Ethan","ok"
"H0386","H0387J","אֵיתָן","e.tan","Ethan","ok"
"H0386","H0388","אֵיתָנִים","e.ta.nim","Ethanim","ok"
"H0386","H0860","אָתוֹן","a.ton","she-ass","ok"
"H0386","H3497","יִתְנָ֑ן","yit.nan","Ithnan","ok"
"H0391","H0392G","אַכְזִיב","akh.ziv","Achzib","ok"
"H0391","H0392H","אַכְזִיב","akh.ziv","Achzib","ok"
"H0391","H3538","כְּדַב","ke.dav","false","ok"
"H0391","H3576","כָּזַב","ka.zav","to lie","ok"
"H0391","H3577","כָּזָב","ka.zav","lie","ok"
"H0391","H3578","כֹּֽזֵבָ֗א","ko.ze.va","Cozeba","ok"
"H0391","H3579","כָּזְבִי","ka.ze.vi","Cozbi","ok"
"H0391","H3580","כְּזִיב","ke.ziv","Chezib","ok"
"H0393","H0394","אַכְזָרִי","akh.za.ri","cruel","ok"
"H0393","H0395","אַכְזְרִיּוּת","akh.ze.riy.yut","cruel","ok"
"H0393","H3581A","כֹּחַ","ko.ach","reptile","ok"
"H0393","H3581B","כֹּחַ","ko.ach","strength","ok"
"H0394","H0393","אַכְזָר","akh.zar","cruel","ok"
"H0394","H0395","אַכְזְרִיּוּת","akh.ze.riy.yut","cruel","ok"
"H0394","H3581A","כֹּחַ","ko.ach","reptile","ok"
"H0394","H3581B","כֹּחַ","ko.ach","strength","ok"
"H0395","H0393","אַכְזָר","akh.zar","cruel","ok"
"H0395","H0394","אַכְזָרִי","akh.za.ri","cruel","ok"
"H0395","H3581A","כֹּחַ","ko.ach","reptile","ok"
"H0395","H3581B","כֹּחַ","ko.ach","strength","ok"
"H0398","H0396","אֲכִילָה","a.khi.lah","food","ok"
"H0398","H0399","אֲכַל","a.khal","to devour","ok"
"H0398","H0400","אֹ֫כֶל","o.khel","food","ok"
"H0398","H0401","אֻכָל","u.khal","`worn out`","ok"
"H0398","H0402","אׇכְלָה","okh.lah","food","ok"
"H0398","H3978","מַאֲכָל","ma.a.khal","food","ok"
"H0398","H3979","מַאֲכֶ֫לֶת","ma.a.khe.let","knife","ok"
"H0398","H3980","מַאֲכֹ֫לֶת","ma.a.kho.let","fuel","ok"
"H0398","H4361","מַכֹּ֫לֶת","mak.ko.let","food","ok"
"H0404","H0405","אֶ֫כֶף","e.kheph","burden","ok"
"H0410L","H0352A","אַ֫יִל","a.yil","ram","ok"
"H0410L","H0352B","אַ֫יִל","a.yil","pillar","ok"
"H0410L","H0352C","אַ֫יִל","a.yil","leader","ok"
"H0410L","H0352D","אַ֫יִל","a.yil","terebinth","ok"
"H0410L","H0410G","אֵל","el","God","ok"
"H0410L","H0410H","אֵל","el","El [Berith]","ok"
"H0410L","H0410I","אֵל","el","El [Elohe]","ok"
"H0410L","H0410J","אֵל","el","El [Most High]","ok"
"H0410L","H0410K","אֵל","el","god","ok"
"H0410L","H0416","אֵל בֵּית־אֵל","el bet-el","El-bethel","ok"
"H0410L","H0419","אֶלְדָּד","el.dad","Eldad","ok"
"H0410L","H0420","אֶלְדָּעָה","el.da.ah","Eldaah","ok"
"H0410L","H0430G","אֱלֹהִים","e.lo.him","God","ok"
"H0410L","H0430H","אֱלֹהִים","e.lo.him","[LORD]-Elohe","ok"
"H0410L","H0430I","אֱלֹהִים","e.lo.him","[Gibeath]-elohim","ok"
"H0410L","H0433","אֱלֹהַּ","e.lo.ah","god","ok"
"H0410L","H0443G","אֶלְזָבָד","el.za.vad","Elzabad","ok"
"H0410L","H0443H","אֶלְזָבָד","el.za.vad","Elzabad","ok"
"H0410L","H0445G","אֶלְחָנָן","el.cha.nan","Elhanan","ok"
"H0410L","H0445H","אֶלְחָנָן","el.cha.nan","Elhanan","ok"
"H0410L","H0446G","אֱלִיאָב","e.li.av","Eliab","ok"
"H0410L","H0446H","אֱלִיאָב","e.li.av","Eliab","ok"
"H0410L","H0446I","אֱלִיאָב","e.li.av","Eliab","ok"
"H0410L","H0446J","אֱלִיאָב","e.li.av","Eliab","ok"
"H0410L","H0446K","אֱלִיאָב","e.li.av","Eliab","ok"
"H0410L","H0446L","אֱלִיאָב","e.li.av","Eliab","ok"
"H0410L","H0447G","אֱלִיאֵל","e.li.el","Eliel","ok"
"H0410L","H0447H","אֱלִיאֵל","e.li.el","Eliel","ok"
"H0410L","H0447I","אֱלִיאֵל","e.li.el","Eliel","ok"
"H0410L","H0447J","אֱלִיאֵל","e.li.el","Eliel","ok"
"H0410L","H0447K","אֱלִיאֵל","e.li.el","Eliel","ok"
"H0410L","H0447L","אֱלִיאֵל","e.li.el","Eliel","ok"
"H0410L","H0447M","אֱלִיאֵל","e.li.el","Eliel","ok"
"H0410L","H0447N","אֱלִיאֵל","e.li.el","Eliel","ok"
"H0410L","H0447O","אֱלִיאֵל","e.li.el","Eliel","ok"
"H0410L","H0448","אֳלִיאָ֫תָה","o.li.a.tah","Eliathah","ok"
"H0410L","H0449","אֱלִידָד","e.li.dad","Elidad","ok"
"H0410L","H0450G","אֶלְיָדָע","el.ya.da","Eliada","ok"
"H0410L","H0450H","אֶלְיָדָע","el.ya.da","Eliada","ok"
"H0410L","H0450I","אֶלְיָדָע","el.ya.da","Eliada","ok"
"H0410L","H0452G","אֵלִיָּה","e.liy.yah","Elijah","ok"
"H0410L","H0452H","אֵלִיָּה","e.liy.yah","Elijah","ok"
"H0410L","H0452I","אֵלִיָּה","e.liy.yah","Elijah","ok"
"H0410L","H0452J","אֵלִיָּה","e.liy.yah","Elijah","ok"
"H0410L","H0453G","אֱלִיהוּ","e.li.hu","Elihu","ok"
"H0410L","H0453H","אֱלִיהוּ","e.li.hu","Elihu","ok"
"H0410L","H0453I","אֱלִיהוּ","e.li.hu","Elihu","ok"
"H0410L","H0453J","אֱלִיהוּ","e.li.hu","Elihu","ok"
"H0410L","H0453K","אֱלִיהוּ","e.li.hu","Elihu","ok"
"H0410L","H0455","אֶלְיַחְבָּא","el.yach.ba","Eliahba","ok"
"H0410L","H0456","אֱלִיחֹ֫רֶף","e.li.cho.reph","Elihoreph","ok"
"H0410L","H0458","אֱלִימֶ֫לֶךְ","e.li.me.lekh","Elimelech","ok"
"H0410L","H0460G","אֶלְיָסָף","el.ya.saph","Eliasaph","ok"
"H0410L","H0460H","אֶלְיָסָף","el.ya.saph","Eliasaph","ok"
"H0410L","H0461G","אֱלִיעֶ֫זֶר","e.li.e.zer","Eliezer","ok"
"H0410L","H0461H","אֱלִיעֶ֫זֶר","e.li.e.zer","Eliezer","ok"
"H0410L","H0461I","אֱלִיעֶ֫זֶר","e.li.e.zer","Eliezer","ok"
"H0410L","H0461J","אֱלִיעֶ֫זֶר","e.li.e.zer","Eliezer","ok"
"H0410L","H0461K","אֱלִיעֶ֫זֶר","e.li.e.zer","Eliezer","ok"
"H0410L","H0461L","אֱלִיעֶ֫זֶר","e.li.e.zer","Eliezer","ok"
"H0410L","H0461M","אֱלִיעֶ֫זֶר","e.li.e.zer","Eliezer","ok"
"H0410L","H0461N","אֱלִיעֶ֫זֶר","e.li.e.zer","Eliezer","ok"
"H0410L","H0461O","אֱלִיעֶ֫זֶר","e.li.e.zer","Eliezer","ok"
"H0410L","H0461P","אֱלִיעֶ֫זֶר","e.li.e.zer","Eliezer","ok"
"H0410L","H0463G","אֱלִיעָם","e.li.am","Eliam","ok"
"H0410L","H0463H","אֱלִיעָם","e.li.am","Eliam","ok"
"H0410L","H0464G","אֱלִיפַז","e.li.phaz","Eliphaz","ok"
"H0410L","H0464H","אֱלִיפַז","e.li.phaz","Eliphaz","ok"
"H0410L","H0465","אֱלִיפָל","e.li.phal","Eliphal","ok"
"H0410L","H0466","אֱלִיפְלֵ֫הוּ","e.li.phe.le.hu","Eliphelehu","ok"
"H0410L","H0467G","אֲלִיפֶ֫לֶט","a.li.phe.let","Eliphelet","ok"
"H0410L","H0467H","אֲלִיפֶ֫לֶט","a.li.phe.let","Eliphelet","ok"
"H0410L","H0467I","אֲלִיפֶ֫לֶט","a.li.phe.let","Elpelet","ok"
"H0410L","H0467J","אֲלִיפֶ֫לֶט","a.li.phe.let","Eliphelet","ok"
"H0410L","H0467K","אֲלִיפֶ֫לֶט","a.li.phe.let","Eliphelet","ok"
"H0410L","H0467L","אֲלִיפֶ֫לֶט","a.li.phe.let","Eliphelet","ok"
"H0410L","H0468","אֱלִיצוּר","e.li.tsur","Elizur","ok"
"H0410L","H0469G","אֱלִיצָפָן","e.li.tsa.phan","Elizaphan","ok"
"H0410L","H0469H","אֱלִיצָפָן","e.li.tsa.phan","Elizaphan","ok"
"H0410L","H0470","אֱלִיקָא","e.li.qa","Elika","ok"
"H0410L","H0471G","אֶלְיָקִים","el.ya.qim","Eliakim","ok"
"H0410L","H0471H","אֶלְיָקִים","el.ya.qim","Eliakim","ok"
"H0410L","H0471I","אֶלְיָקִים","el.ya.qim","Eliakim","ok"
"H0410L","H0472","אֱלִישֶׁ֫בַע","e.li.she.va","Elisheba","ok"
"H0410L","H0474","אֱלִישׁוּעַ","e.li.shu.a","Elishua","ok"
"H0410L","H0475G","אֶלְיָשִׁיב","el.ya.shiv","Eliashib","ok"
"H0410L","H0475H","אֶלְיָשִׁיב","el.ya.shiv","Eliashib","ok"
"H0410L","H0475I","אֶלְיָשִׁיב","el.ya.shiv","Eliashib","ok"
"H0410L","H0475J","אֶלְיָשִׁיב","el.ya.shiv","Eliashib","ok"
"H0410L","H0475K","אֶלְיָשִׁיב","el.ya.shiv","Eliashib","ok"
"H0410L","H0475L","אֶלְיָשִׁיב","el.ya.shiv","Eliashib","ok"
"H0410L","H0475M","אֶלְיָשִׁיב","el.ya.shiv","Eliashib","ok"
"H0410L","H0475N","אֶלְיָשִׁיב","el.ya.shiv","Eliashib","ok"
"H0410L","H0475O","אֶלְיָשִׁיב","el.ya.shiv","Eliashib","ok"
"H0410L","H0476G","אֱלִישָׁמָע","e.li.sha.ma","Elishama","ok"
"H0410L","H0476H","אֱלִישָׁמָע","e.li.sha.ma","Elishama","ok"
"H0410L","H0476I","אֱלִישָׁמָע","e.li.sha.ma","Elishama","ok"
"H0410L","H0476J","אֱלִישָׁמָע","e.li.sha.ma","Elishama","ok"
"H0410L","H0476K","אֱלִישָׁמָע","e.li.sha.ma","Elishama","ok"
"H0410L","H0476L","אֱלִישָׁמָע","e.li.sha.ma","Elishama","ok"
"H0410L","H0476M","אֱלִישָׁמָע","e.li.sha.ma","Elishama","ok"
"H0410L","H0477","אֱלִישָׁע","e.li.sha","Elisha","ok"
"H0410L","H0478","אֱלִישָׁפָט","e.li.sha.phat","Elishaphat","ok"
"H0410L","H0493","אֶלְנָ֑עַם","el.na.am","Elnaam","ok"
"H0410L","H0494G","אֶלְנָתָן","el.na.tan","Elnathan","ok"
"H0410L","H0494H","אֶלְנָתָן","el.na.tan","Elnathan","ok"
"H0410L","H0494I","אֶלְנָתָן","el.na.tan","Elnathan","ok"
"H0410L","H0494J","אֶלְנָתָן","el.na.tan","Elnathan","ok"
"H0410L","H0494K","אֶלְנָתָן","el.na.tan","Elnathan","ok"
"H0410L","H0496","אֶלְעָד","el.ad","Elead","ok"
"H0410L","H0497","אֶלְעָדָה","el.a.dah","Eleadah","ok"
"H0410L","H0498","אֶלְעוּזַי","el.u.zay","Eluzai","ok"
"H0410L","H0499G","אֶלְעָזָר","el.a.zar","Eleazar","ok"
"H0410L","H0499H","אֶלְעָזָר","el.a.zar","Eleazar","ok"
"H0410L","H0499I","אֶלְעָזָר","el.a.zar","Eleazar","ok"
"H0410L","H0499J","אֶלְעָזָר","el.a.zar","Eleazar","ok"
"H0410L","H0499K","אֶלְעָזָר","el.a.zar","Eleazar","ok"
"H0410L","H0499L","אֶלְעָזָר","el.a.zar","Eleazar","ok"
"H0410L","H0499M","אֶלְעָזָר","el.a.zar","Eleazar","ok"
"H0410L","H0500","אֶלְעָלֵא","el.a.le","Elealeh","ok"
"H0410L","H0501G","אֶלְעָשָׂה","el.a.sah","Eleasah","ok"
"H0410L","H0501H","אֶלְעָשָׂה","el.a.sah","Eleasah","ok"
"H0410L","H0501I","אֶלְעָשָׂה","el.a.sah","Elasah","ok"
"H0410L","H0501J","אֶלְעָשָׂה","el.a.sah","Elasah","ok"
"H0410L","H0508","אֶלְפַּ֫עַל","el.pa.al","Elpaal","ok"
"H0410L","H0511G","אֶלְקָנָה","el.qa.nah","Elkanah","ok"
"H0410L","H0511H","אֶלְקָנָה","el.qa.nah","Elkanah","ok"
"H0410L","H0511I","אֶלְקָנָה","el.qa.nah","Elkanah","ok"
"H0410L","H0511J","אֶלְקָנָה","el.qa.nah","Elkanah","ok"
"H0410L","H0511K","אֶלְקָנָה","el.qa.nah","Elkanah","ok"
"H0410L","H0511L","אֶלְקָנָה","el.qa.nah","Elkanah","ok"
"H0410L","H0511M","אֶלְקָנָה","el.qa.nah","Elkanah","ok"
"H0410L","H0511N","אֶלְקָנָה","el.qa.nah","Elkanah","ok"
"H0410L","H1286","בְּרִית","be.rit","[Baal]-berith","ok"
"H0421","H0422","אָלָה","a.lah","to swear","ok"
"H0421","H0432","אִלּוּ","il.lu","except","ok"
"H0421","H0435","אֱלוּל","e.lul","Elul","ok"
"H0421","H0442","אָלוּשׁ","a.lush","Alush","ok"
"H0421","H0451","אַלְיָה","al.yah","fat tail","ok"
"H0421","H0480","אַלְלַי","al.lay","woe!","ok"
"H0422","H0421","אָלָה","a.lah","to wail","ok"
"H0422","H0423","אָלָה","a.lah","oath","ok"
"H0422","H0451","אַלְיָה","al.yah","fat tail","ok"
"H0422","H8381","תַּאֲלָה","ta.a.lah","curse","ok"
"H0423","H0422","אָלָה","a.lah","to swear","ok"
"H0423","H8381","תַּאֲלָה","ta.a.lah","curse","ok"
"H0444","H0473G","אֱלִישָׁה","e.li.shah","Elishah","ok"
"H0444","H0473H","אֱלִישָׁה","e.li.shah","Elishah","ok"
"H0457","H0408","אַל","al","not","ok"
"H0457","H0434","אֱלוּל","e.lul","worthless","ok"
"H0481","H0480","אַלְלַי","al.lay","woe!","ok"
"H0481","H0482","אֵ֫לֶם","e.lem","silence","ok"
"H0481","H0483","אִלֵּם","il.lem","mute","ok"
"H0481","H0485","אֲלֻמָה","a.lu.mah","sheaf","ok"
"H0481","H0488","אַלְמָן","al.man","forsaken","ok"
"H0481","H0489","אַלְמֹן","al.mon","widower","ok"
"H0481","H0490","אַלְמָנָה","al.ma.nah","widow","ok"
"H0481","H0491","אַלְמָנוּת","al.ma.nut","widowhood","ok"
"H0481","H0492","אַלְמֹנִי","al.mo.ni","someone","ok"
"H0481","H0495","אֶלָּסָר","el.la.sar","Ellasar","ok"
"H0505H","H0441A","אַלּוּף","al.luph","tame","ok"
"H0505H","H0441B","אַלּוּף","al.luph","chief","ok"
"H0505H","H0503","אָלַף","a.laph","to produce thousands","ok"
"H0505H","H0504","אֶ֫לֶף","e.leph","cattle","ok"
"H0505H","H0505G","אֶ֫לֶף","e.leph","thousand","ok"
