"strong","strong_variant","sense_label","gloss","note","row_type"
"G5604","","I","ὠδίν, pangs, throes of childbirth, birth","(, ῖνος, ἡ: Epic dialect dative plural ὠδίνεσσι : later nominative :— mostly in plural , or πικρὰς ὠδῖνας ἔχουσαι ; τέκε.. ἐν μόναις ὠδῖσιν.. διδύμων σθένος υἱῶν at a single : also in singular ,","lookup"
"G5604","","I.2","that which is born amid throes, child, children","in singular also, παῖδα, φιλτάτην ἐμοὶ ὠδῖνα ; θαλλὸν ἱερὸν ἐλαίας, Λατοῦς ὠδῖνα (perhaps ὠδῖνι) φίλαν ; ἄπτερον ὠδῖνα τέκνων, of young birds, : plural , ; ὀρταλίχων ἁπαλὴ ὠδίς, of eggs, ; ὠ. Θαλάσσας, of Aphrodite, ; ὠδὶς μελίσσης, of honey,","lookup"
"G5604","","II","travail, anguish","metaphorically , : also in plural , of love, ἐμοὶ πικρὰς ὠδῖνας αὑτοῦ προσβαλὼν ἀποίχεται","lookup"
"G5604","","II.2","fruit of, travail","the mind's τῆς ἐμῆς ὠ.","lookup"
"G5604","","II.3","bonds, [hudot]ēbel, [hudot]èbel","ὠδῖνες θανάτου, ᾅδου, the of death, (due to confusion of Heb. 'pang' with 'cord'),compare","lookup"
"G2052","","headword","ἐρῑθ-εία",", ἡ,","headword"
"G2052","","I","labour for wages","","lookup"
"G2052","","II","canvassing for public office, intriguing","","lookup"
"G2052","","II.2","selfish, factious ambition, intrigues, party squabbles","or ζῆλος καὶ ἐ. ; plural ,","lookup"
"G5389","","headword","φῐλοτῑμ-έομαι",",","headword"
"G5389","","I","-ηθήσομαι, love, seek after honour, to be ambitious, emulous, to be jealous, vie emulously with, rival","future ήσομαι ; later, codices: aorist ἐφιλοτιμήθην : perfect πεφιλοτίμημαι :— perfect in passive sense, : (φιλότιμος):— or : hence, ; φ. ὅτι.. because.., ; φ. πρὸς ἀλλήλους, πρὸς τοὺς ἄλλους,","lookup"
"G5389","","I.2","to place one's fame, glory, pride oneself, contend in rivalry, show patriotic zeal","the object of ambition, etc., is mostly added with a preposition , φ. ἐπί τινι in a thing, or upon it, ; περὶ τῶν καλῶν for, ; περὶ τὴν θήραν, δεῖπνα, ; φ. πρὸς τὴν πόλιν for..,","lookup"
"G5389","","II","strive eagerly to, endeavour earnestly, aspire, to be anxious that","with infinitive , do a thing, οἳ πάνυ ἂν φιλοτιμηθεῖεν φίλῳ σοι χρῆσθαι , etc.; φιλοτιμούμενοι ἐπιδείκνυσθαιπρὸς ἅπαντας : with participle , φ. ἐλέγχων : with accusative et infinitive , ..,","lookup"
"G5389","","III","present with, lavish upon","with dative of things , a thing, χρήμασί τινας see reading in : but with accusative of things , τινί τι","lookup"
"G2372","","headword","θῡμός",", ὁ,","headword"
"G2372","","I","soul, spirit, the principle of life, feeling and thought, of strong feeling and passion",", as , especially (rightly derived from θύω (B) by","lookup"
"G2372","","I","breath, life","in physical sense, , θ. ἀπηύρα, ἀφελέσθαι, ἐξαίνυσθαι, ὀλέσαι, frequently in ; ἀπὸ δ᾽ ἔπτατο θ. ; of animals, , etc.: less frequently in Trag.,","lookup"
"G2372","","I.2","spirit, strength",", τείρετο δ᾽ ἀνδρῶν θ. ὑπ᾽ εἰρεσίης","lookup"
"G2372","","I.3","heart","πάτασσε δὲ θ. ἑκάστου each man's beat high,","lookup"
"G2372","","II","soul",", as shown by the feelings and passions; and so,","lookup"
"G2372","","II.1","desire, inclination, appetite, in his heart, with all his heart, with all their heart","or , especially desire for meat and drink, , πιέειν ὅτε θ. ἀνώγοι ; βαλέειν δέ ἑ ἵετο θ; θ. ἐποτρύνῃ [τινά] ; θ. ἐπέσσυταί τινι, ἐφορμᾶται, ; ἤθελε θυμῷ he wished or , ; so later θυμῷ βουλόμενοι wishing , ; ἄρχ᾽ αὐτὸς ὥς σοι θ. ; ὅπου ὑμῖν θ.","lookup"
"G2372","","II.2","mind, temper, will, mind",", θ. πρόφρων, ἵλαος, ; ἕνα θ. ἔχειν to be of one , ; ἐμὸν θ. ἔπειθεν","lookup"
"G2372","","II.3","spirit, courage, Passion, Emotion",", μένος καὶ θ. ; πᾶσιν δὲ παραὶ ποσὶ κάππεσε θ. ; ψῦχρος ἔγεντο θ., of doves, ; ἴωμεν ῥώμῃ καὶ θυμῷ ἐπί.. ; personified, , opposed to Λογισμός,","lookup"
"G2372","","II.4","the seat of anger, anger, wrath, fits of anger, passions",", χωόμενον κατὰ θυμόν : hence, , δάμασον θυμόν ; εἴξας ᾧ θυμῷ; θυμῷ false reading for{θυμοῦ} in ; opposed to λογισμός, ; ἐπανάγειν τὸν θ. ; of horses, , , περὶ φόβων τε καὶ θυμῶν","lookup"
"G2372","","II.5","the heart, heart, heart's",", as the seat of the emotions, especially joy or grief, χαῖρε, γήθησε δὲ θυμῷ, ; δόκησε δ᾽ ἄρα σφίσι θ. ὣς ἔμεν ὡς εἰ.. they felt as glad at as if.., ; μηδ᾽ ὀνίαισι δάμνα.. θ. ; of fear, δέος ἔμπεσε θυμῷ ; of love, τὴν ἐκ θυμοῦ φίλεον ; ἐμῷ κεχαρισμένε θυμῷ my beloved, ; reversely, ἀπὸ θ. μᾶλλον ἐμοὶ ἔσεαι wilt be alien from my , ; ἐκ θ. πεσέειν, i.e. to lose thy favour,","lookup"
"G2372","","II.6","mind, soul, as the seat of thought, mind, thoughts",", ταῦθ᾽ ὥρμαινε κατὰ φρένα καὶ κατὰ θ. ; φράζετο θυμῷ ; οὐκ ἐς θ. φέρω I bring him not into my or ,","lookup"
"G2373","","headword","θῡμόω",",","headword"
"G2373","","I","make angry, provoke",", : once in Trag., ὥστε θυμῶσαι φρένας","lookup"
"G2373","","II","-ώσομαι, -ωθήσομαι, -θείς, to be wroth, angry, to be wild, restive, vent fury, irasci in cornua, passion, to be angry with","middle and passive , 2nd pers. singular θυμοῖ : future , .: aorist ἐθυμωσάμην ; participle : perfect infinitive τεθυμῶσθαι :— or , absolutely , ; εἰς ἔριν θ. ; of animals, , ; θυμοῦσθαι εἰς κέρας with the horns, Virgil's , ; τὸ θυμούμενον , ; θυμοῦσθαί τινι one,","lookup"
"G3709","","headword","ὀργή",", ἡ,","headword"
"G3709","","I","natural impulse, propensity, temperament, disposition, mood, of 'a mind, dispositions, one's moods","or (see. ὀργάω II): hence, κηφήνεσσι κοθούροις εἴκελος ὀργήν ; so μείλιχος, γλυκεῖα ὀργά, ; ὠμή, ἀτέραμνος ὀργή, ; ὀργῆς νοσούσης εἰσὶν ἰατροὶ λόγοι diseased', ; ἀστυνόμοι ὀργαί social : also in Prose, διεπειρᾶτο αὐτῶν τῆς τε ἀνδραγαθίης καὶ τῆς ὀργῆς ; ἐπιφέρειν ὀργάς τινι suit to another,","lookup"
"G3709","","II","anger, wrath, passion, involves, one's anger, anger, to anger","ὀργῇ χρῆσθαι to be in a ; ὀργῇ εἶξαι, χαρίζεσθαι, anger, ; ἐν ὀργῇ ἔχειν, ποιεῖσθαί τινα, ; ἀνιέναι τῆς ὀργῆς, ὀργὴν χαλᾶν, remit be pacified, ; ὀ. ἐμποιεῖν τινι make one angry, ; ὀργῆς τυγχάνειν to be visited with ; ὀργὴν ἄκρος quick passionate,","lookup"
"G3709","","II.2","in anger. in a passion","Adverbial usages, ὀργῇ ; ὀργῆς χάριν, ὀ. ὕπο,","lookup"
"G3709","","II.3","visitations of, wrath","with genitive , Πανὸς ὀργαί Pan's ; but","lookup"
"G3709","","II.3.b","anger at, because of","with genitive objecti, ὀργή τινος or a thing,","lookup"
"G3709","","II.4","","see at {ὀργάς} instead; once in ; frequently in Eleg. and Lyric poetry and in Ionic dialect and Attic dialect Prose.","lookup"
"G3710","","headword","ὀργ-ίζω",",","headword"
"G3710","","I","make angry, provoke to anger, irritate",": aorist ὤργισα :— τινα ; opposed to εὔνουν ποιῆσαι,","lookup"
