"strong","strong_variant","sense_label","gloss","note","row_type"
"G3997","","III","a misery, pa-kantà","of a person, , ; π. ἔδωκε φέρειν, i. e. the body, future of πάσχω, perfect πείσονθα, Lithuanian kenčiù 'suffer', 'patience'; πενθ- is reduced to πṇθ- (παθ-) in αἰνο-παθής, etc.)","lookup"
"G4727","","headword","στενάζω",",","headword"
"G4727","","I","-άξω, sigh deeply, sigh, groan, in, utteredst thou, moan?",": future : aorist ἐστέναξα :— passive , perfect ἐστέναγμαι —properly _frequentative verb_ of στένω, : generally, , ; οἴκοις the house, ; frequently with a neuter adjective , οἰκτρόν, δεινὸν σ., ; μέγα σ. ; τί ἐστέναξας τοῦτ; why this ; πηλίκον τί ποτ᾽ ἂν στενάξεια;","lookup"
"G4727","","I.2","bemoan, bewail","transitive , , πότμον ; τινα","lookup"
"G1690","","headword","ἐμβρῑμ-άομαι","","headword"
"G1690","","I","snort in","( active only in , with aorist middle et passive , , ἵππους ἐν ἀμπυκτῆρσιν ἐμβριμωμένας, of horses,","lookup"
"G1690","","I.2","to be deeply moved","of persons, , τῷ πνεύματι, ἐν ἑαυτῷ,","lookup"
"G1690","","II","admonish urgently, rebuke",",","lookup"
"G4726","","headword","στεναγ-μός",", ὁ,","headword"
"G4726","","I","sighing, groaning",",","lookup"
"G4959","","headword","συστενάζω",",","headword"
"G4959","","I","lament with",", φίλοις","lookup"
"G6697","","headword","βρόμος",",","headword"
"G6697","","B","βόρμος, oats, Avena sativa","also , ὁ, ,","lookup"
"G6697","","B.2","wild oats, Avena barbata",",","lookup"
"G7929","","headword","καταστεν-άζω",",","headword"
"G7929","","I","sigh, mourn",", passive , .","lookup"
"G0156","","headword","αἰτί-α",", ἡ,","headword"
"G0156","","I","responsibility, guilt, blame, accusation, responsibility for, to be accused, of, by, a charge, guilty, the fault, guilt",", mostly in bad sense, , or the imputation thereof, i.e. , first in —Phrases: αἰτίαν ἔχειν bear , τινός; but usually , τινός a crime, φόνου: with infinitive , ; followed by ὡς.., ; by ὡς with participle , ; ὑπό τινος some one, ; ἐν αἰτίᾳ εἶναι or γίγνεσθαι, ; αἰτίαν ὑπέχειν lie under , ; λαβεῖν ἀπό τινος; ἐν αἰτίῃ ἔχειν hold one , ; τὴν αἰτίαν ἐπιφέρειν τινί impute to one, ; ἀνατιθέναι, προστιθέναι, ; ἀπολύειν τινὰ τῆς αἰτίης to acquit of ,","lookup"
"G0156","","I.2","invective","in forensic oratory, without proof (opposed to ἔλεγχος),","lookup"
"G0156","","I.3","the credit, are reputed, reputation","in good sense, εἰ.. εὖ πράξαιμεν, αἰτία θεοῦ is his, ; δι᾽ ὅντινα αἰτίαν ἔχουσιν Ἀθηναῖοι βελτίους γεγονέναι to have become better, ; ὧν.. πέρι αἰτίαν ἔχεις διαφέρειν in which you to excel, ; οἳ.. ἔχουσι ταύτην τὴν αἰ. who have this ,","lookup"
"G0156","","I.4","expostulation",", μὴ ἐπ᾽ ἔχθρᾳ τὸ πλέον ἢ αἰτίᾳ","lookup"
"G0156","","II","cause, for the sake of, accusation.",", δι᾽ ἣν αἰτίην ἐπολέμησαν {αἰτιάζομαι}, etc.; on the four causes of — _dative_ αἰτίᾳ , κοινοῦ τινος ἀγαθοῦ in the sense of , not in that of","lookup"
"G0156","","III","occasion, motive, a the me",", αἰτίαν ῥοαῖσι Μοισᾶν ἐνέβαλε gave them for song,","lookup"
"G0156","","IV","head, category","under which a thing comes,","lookup"
"G0156","","V","case in dispute",", ἡ αἰ. τοῦ ἀνθρώπου μετὰ τῆς γυναικός","lookup"
"G0159","","headword","αἴτι-ος",", α, ον,","headword"
"G0159","","I","culpable, responsible, the most guilty","more rarely ος, ον :— , ἐπεὶ οὔ τί μοι αἴτιοί εἰσιν: comparative αἰτιώτερος ,","lookup"
"G0159","","I.2","the accused, the culprit, they who have sinned against","substantive , αἴτιος, ὁ, , ; οἱ αἴ. τοῦ πατρός my father, :—with genitive of things , οἱ αἴ. τοῦ φόνου","lookup"
"G0159","","II","responsible for, the cause of, to, mainly instrumental in causing",", with genitive of things , ; αἴτιός τινός τινι being a thing a person, : with infinitive , αἴ. τὸν ἠέρα ξηρὸν εἶναι: comparative , τοῦ.. ἐλευθέραν εἶναι.. αἰτιώτερον the sea-fight,","lookup"
"G0159","","II.2","cause","αἴτιον, τό, , ; τί ποτ᾽ οὖν ἐστι τὸ αἴτιον τό.. μηδένα εἰπεῖ;","lookup"
"G0266","","headword","ἁμαρτ-ία",", ἡ,","headword"
"G0266","","I","a failure, fault, error","τῶνδ᾽ ἁ. δόμων; ἁ. δόξης of judgement,","lookup"
"G0266","","I.2","guilt, sin","in Philos. and Religion,","lookup"
"G1171","","headword","δεινός","Included with: , ή, όν,","headword"
"G1171","","I","fearful, terrible;, fearful, awful, danger, suffering, horror, awe, terror, danger, fear, greatest danger, dangerous, take ill, complain of, be indignant at, make complaints, illegal, arbitrary, dire","(δέος, in , of persons and things, Χάρυβδις ; δ. ἰδέσθαι to behold, ; in milder sense, δεινή τε καὶ αἰδοίη θεός ; ; δεινὸν γίγνεται μή.. there is that.., ; οὐδὲν δεινοὶ ἔσονται μὴ ἀποστέωσιν no of their revolting, ; δεινότατον μή.. the lest.., ; δεινόν ἐστι, with infinitive , it is to do, ; δεινὸν ποιεῖσθαι a thing: absolutely , : with infinitive , ὑπὸ Μήδων ἄρχεσθαι ; δεινὸν or δεινὰ παθεῖν suffer treatment, adverb -νῶς, φέρειν . γ; δ. καὶ ἀπόρως ἔχει μοι I am in straits,","lookup"
"G1171","","II","marvellously strong, powerful, mighty, wondrous, marvellous, strange, have strange power, strange, marvellously, exceedingly",": δ. σάκος the shield, ; simply, τὸ συγγενές τοι δεινὸν ἥ θ᾽ ὁμιλία kin and social ties ; δ. ἵμερος, ἔρως, ; frequently δεινὸν ἂν εἴη εἰ.. it were that.., as adverb -νῶς δ. μέλαινα, ἄνυδρος,","lookup"
"G1171","","III","clever, skilful, practical ability, clever, wonderfully liable, forcible, vehement, over-clever","first in ἀνὴρ δ. τε καὶ σοφό; of Odysseus, γλώσσῃ.. δεινοῦ καὶ σοφοῦ ; opposed to σοφός, of ; opposed to ἰδιώτης, : with infinitive , δεινὸς εὑρεῖν ; δ. λέγειν at speaking, ; δ. εἰπεῖν is rare, ; αἱ εὐπραξίαι δ. συγκρύψαι τὰ ὀνείδη are to.., ; δ. περὶ τὸ ἀδικεῖν, περὶ Ὁμήρου, (but also of the style in oratory, ; in bad sense,","lookup"
"G1418","","headword","δῠσ-",",","headword"
"G1418","","I","un-, mis, hard, bad, unlucky, destroying the good sense, increasing its bad sense, durmanās, tor, torsóttligr, du-, do, dochruth","insepar. Prefix, opposed to εὖ, -, with notion of , etc., as δυσήλιος, δύσαγνος; of a word, or : hence, joined even to words expressing negation, as δυσάμμορος, δυσανάσχετο; poetry in strong contrasts, as Πάρις Δύσπαρις, γάμος δύσγαμος. Before στ, σθ, σπ, σφ, σχ, the final ς was omitted, see δυστ-. (Cf. Sanskrit du[snull]-, dur -, e.g. , ={δυσμενής}; ONorse -, e.g. (δύσμαχος); OIr. -, e.g. 'misshapen'.)","lookup"
"G1419","","headword","δῠσ-βάστακτος",", ον,","headword"
"G1419","","I","intolerable, grievous to be borne",", ; of persons,","lookup"
"G1421","","headword","δῠσ-ερμήνευτος",", ον,","headword"
"G1421","","I","hard to interpret, hard to describe","; , χρόαι","lookup"
"G1422","","headword","δύσ-κολος",", ον,","headword"
"G1422","","I","","(κόλον):","lookup"
"G1422","","I","hard to satisfy with food, hard to please, discontented, fretful, peevish, intractable","of persons, properly : but, generally, , ; of animals, , adverb δυσκόλως, ἔχειν, διακεῖσθαι πρός τινα","lookup"
"G1422","","II","troublesome, harassing, unpleasant, difficult","of things, , δ. ἡ ἡνιόχησις : generally, , ἄν τι δ. συμβῇ ; καιροὶ δ. times, . adverb -λως, ὑπακούειν","lookup"
"G1422","","II.2","difficult to explain, difficult, hardly, with difficulty",", ; δ. ἐστι it is ; τὰ μὲν ῥάδια.. τὰ δὲ δ. . adverb -λως","lookup"
"G1423","","headword","δύσ-κολος","Included with: , ον,","headword"
"G1423","","I","","(κόλον):","lookup"
"G1423","","I","hard to satisfy with food, hard to please, discontented, fretful, peevish, intractable","of persons, properly : but, generally, , ; of animals, , adverb δυσκόλως, ἔχειν, διακεῖσθαι πρός τινα","lookup"
"G1423","","II","troublesome, harassing, unpleasant, difficult","of things, , δ. ἡ ἡνιόχησις : generally, , ἄν τι δ. συμβῇ ; καιροὶ δ. times, . adverb -λως, ὑπακούειν","lookup"
"G1423","","II.2","difficult to explain, difficult, hardly, with difficulty",", ; δ. ἐστι it is ; τὰ μὲν ῥάδια.. τὰ δὲ δ. . adverb -λως","lookup"
"G1425","","headword","δυσ-νόητος",", ον,","headword"
"G1425","","I","hard to be understood",", Dariusap.","lookup"
"G1425","","II","slow of understanding","active , ,","lookup"
"G21419","","headword","σκληρ-ία",", ἡ,","headword"
"G21419","","I","hardness","= σκληρότης, , ; opposed to μαλακία σώματος,","lookup"
"G21419","","I.2","an induration",",","lookup"
"G2872","","headword","κοπ-ιάω",",","headword"
"G2872","","I","to be tired, grow weary, to be weary of, defunctus laboribus","future -άσω [ᾱ]: aorist ἐκοπίᾱσα : perfect κεκοπίᾱκα : (κόπος):— , , Men.[same place]; κ. ὑπὸ ἀγαθῶν good things, : with participle , κ. ὀρχούμενοι aorist participle κοπιάσας, :— middle in active sense,","lookup"
"G2872","","II","work hard, toil, strive, struggle",": with infinitive , , μὴ κοπία ζητεῖν","lookup"
"G2872","","III","come to rest: arrive at a state of saturation","={κοπάζω},","lookup"
"G4456","","headword","πωρ-όω",",","headword"
"G4456","","I","petrify","(from {πῶρος}) , λίθος πεπωρωμένος","lookup"
"G4456","","II","cause a stone, callus to form, a stone forming","or :— passive , of in the bladder,","lookup"
"G4456","","II.2","unite fractured bones by a callus, become hard, become thickened, coagulated",", :— passive , , ; ,","lookup"
"G4456","","III","become insensible, become insensible, obtuse, blind","in passive , , of the flesh, ὑπὸ τῆς πεπωρωμένης ἐκ τοῦ στέατος σαρκός : metaphorically , , or , of the heart,","lookup"
"G4457","","headword","πώρ-ωσις",", εως, ἡ,","headword"
"G4457","","I","process by which the extremities of fractured bones are reunited by a callus",",","lookup"
"G4457","","II","obtuseness, blindness","metaphorically , , τῆς καρδίας","lookup"
"G4641","","headword","σκληρο-καρδία",", ἡ,","headword"
"G4641","","I","hardness of heart",",","lookup"
"G4642","","headword","σκληρός",", ά, όν,","headword"
"G4642","","I","σκλᾱρός, hard","also Doric dialect , , hyperdorian mode :— , opposed to μαλακός in all senses:","lookup"
"G4642","","I","hard","to the touch, ξύλον σ. ἢ μαλακόν ; ἐλαία Pi.[same place]; γῆ","lookup"
"G4642","","I.2","harsh","of sound, , σκληρὸν ἐβρόντησε","lookup"
"G4642","","I.3","harsh, bitter, dry","of taste and smell, , σ. ὕδατα (springing from a rocky soil) ; of wine, , : metaphorically , σ. φράσις","lookup"
"G4642","","I.4","stiff, unyielding",", opposed to ὑγρός (lithe and supple), τιτθία σ. καὶ κυδώνια ; of the hair (compare σκληρόθριξ), ; σ. δέρμα, σάρξ, ; of persons, ; of dogs, ; οἱ τὸ σῶμα σ.","lookup"
"G4642","","I.5","costive","κοιλίη σ. ,","lookup"
"G4642","","I.6","strong","of light, , ἐν σ. αὐγῇ ἢ μαλακῇ","lookup"
"G4642","","I.7","strong","of a wind,","lookup"
"G4642","","II","","metaphorically ,","lookup"
"G4642","","II.1","hard, austere, hard words","of things, , μὴ τὰ μαλακὰ μῶσο, μὴ τὰ σ. ἔχῃς ; τὰ σ. , ; τόνος ἀπηνὴς καὶ σ. ; τὸ σ. ={σκληρότης}, ἡ δίαιτα.. ὑπερβάλλει ἐπὶ τὸ σ.","lookup"
"G4642","","II.2","harsh, austere, cruel, stubborn, stubborn","of persons, , ; σ. ἀοιδός, of the Sphinx, ; ἄγροικοι καὶ σ. ; σ. θράσος courage,","lookup"
"G4642","","III","on a hard seat","adverb , -ρῶς καθῆσθαι, i.e. ,","lookup"
"G4642","","III.2","hardly, with difficulty",",","lookup"
"G4642","","III.3","harshly, obstinately",", σ. διαμάχεσθαι ; ἀπειλεῖν","lookup"
"G4643","","headword","σκληρότης",", ητος, ἡ,","headword"
"G4643","","I","hardness",", opposed to μαλακότης,","lookup"
"G4643","","I.2","harshness","of taste, , οἴνου","lookup"
"G4643","","I.3","stiffness, rigidity",",","lookup"
"G4643","","I.4","costivity","ἡ τῆς κοιλίης σ. ,","lookup"
"G4643","","II","harshness, austerity","of persons, , τοῦ δαίμονος","lookup"
"G6980","","headword","δύσ-κωφος",", ον,","headword"
"G6980","","I","hard of hearing",",","lookup"
"G2189","","headword","ἔχθρ-α",",","headword"
"G2189","","I","ἔχθρη, hatred, enmity, hatred for, enmity to, at feud, personal enmity, hostility, hatred","Ionic dialect , ἡ, , : in philosophical sense, ={νεῖκος}; ἔ. τινός one, ; δι᾽ ἔχθρας μολεῖν, ἀφῖχθαί τινι, to be with one, ; πρὸς ἔχθραν from , ; ἔ. συμβάλλειν, συνάπτειν τινί, to engage in with.., , of undying ,","lookup"
"G7590","","headword","ἐχθρ-ία",", ἡ,","headword"
"G7590","","I","","late form of ἔχθρα, .","lookup"
"G8332","","headword","μῖσος",", εος, τό,","headword"
"G8332","","I","hate, hatred",":","lookup"
"G8332","","I","hate borne, hatred","passive , one, ; μ. ἔχειν πρός τινος incur a man's ,","lookup"
"G8332","","I.2","hate felt against, grudge","active , another, , τὸ Τροίας μ. ἀναφέρων πατρί","lookup"
"G8332","","II","hateful object","of persons, , ={μίσημα},","lookup"
"G0038","","headword","ἁγι-ασμός",", ον, ὁ,","headword"
"G0038","","I","consecration, sanctification","","lookup"
"G0039","G","headword","ἅγιος","[ᾰ], α, ον,","headword"
"G0039","G","I","devoted to the gods:","","lookup"
"G0039","G","I","sacred, holy:","in good sense,","lookup"
"G0039","G","I.1","temple, Holy of Holies","of things, especially temples, ἈΦροδίτης ἱρὸν ἅ.; ἱρο᾽ν Ἡρακλέος ἅ.; μητρός.. ἐστι πατρὶς ἁγιώτερον; ἅ., τό, ,","lookup"
"G0039","G","I.2","holy, pure, the Saints, the Holy Spirit","of persons, οἱ ἅ. πνεῦμα ἅ. adverb ἁγίως καὶ σεμνῶς ἔχειν","lookup"
"G0039","G","II","accursed, execrable","in bad sense, ; rare in Attic dialect (see. above). (Possibly cognate with Sanskrit yajati 'sacrifice'.)","lookup"
"G0039","H","headword","ἅγιος","[ᾰ], α, ον,","headword"
"G0039","H","I","devoted to the gods:","","lookup"
"G0039","H","I","sacred, holy:","in good sense,","lookup"
"G0039","H","I.1","temple, Holy of Holies","of things, especially temples, ἈΦροδίτης ἱρὸν ἅ.; ἱρο᾽ν Ἡρακλέος ἅ.; μητρός.. ἐστι πατρὶς ἁγιώτερον; ἅ., τό, ,","lookup"
"G0039","H","I.2","holy, pure, the Saints, the Holy Spirit","of persons, οἱ ἅ. πνεῦμα ἅ. adverb ἁγίως καὶ σεμνῶς ἔχειν","lookup"
"G0039","H","II","accursed, execrable","in bad sense, ; rare in Attic dialect (see. above). (Possibly cognate with Sanskrit yajati 'sacrifice'.)","lookup"
"G0040","H","headword","ἅγιος","[ᾰ], α, ον,","headword"
"G0040","H","I","devoted to the gods:","","lookup"
"G0040","H","I","sacred, holy:","in good sense,","lookup"
"G0040","H","I.1","temple, Holy of Holies","of things, especially temples, ἈΦροδίτης ἱρὸν ἅ.; ἱρο᾽ν Ἡρακλέος ἅ.; μητρός.. ἐστι πατρὶς ἁγιώτερον; ἅ., τό, ,","lookup"
"G0040","H","I.2","holy, pure, the Saints, the Holy Spirit","of persons, οἱ ἅ. πνεῦμα ἅ. adverb ἁγίως καὶ σεμνῶς ἔχειν","lookup"
"G0040","H","II","accursed, execrable","in bad sense, ; rare in Attic dialect (see. above). (Possibly cognate with Sanskrit yajati 'sacrifice'.)","lookup"
"G0041","","headword","ἁγιότης",", ητος, ἡ,","headword"
"G0041","","I","","={ἁγιωσύνη},","lookup"
"G0041","","II","","as title,","lookup"
"G0042","","headword","ἁγιωσύνη",", ἡ,","headword"
"G0042","","I","holiness, sanctity","","lookup"
"G0042","","II","","as title,","lookup"
"G2150","","headword","εὐσέβεια",", ἡ","headword"
"G2150","","I","reverence towards the gods, parents, piety, filial respect, towards, acts of piety","(compare εὐσεβία), or or , εὐ. εἰς θεοὺς καὶ γονέας ; εὐ. Ζηνός him, ; εὐ. πρός, περὶ τοὺς θεούς, ; ἡ πρὸς τὸ θεῖον εὐ. ; τὴν εὐ. τῶν πραχθέντων : plural , ,","lookup"
"G2150","","I.2","loyalty",", ἡ ὑμετέρα πρός με εὐ. ; ἡ εἴς με εὔνοια καὶ εὐ.","lookup"
"G2150","","I.3","","= Latin","lookup"
"G2150","","I.4","credit, character for piety","or , εὐσέβειαν οἴσῃ","lookup"
"G2412","","headword","ἱερο-πρεπής",", ές,","headword"
"G2412","","I","bseeming a sacred place, person, matter, -πῶς","or , ὄνομα ; τέχνη, of cookery, ; of persons, -έστατος τῶν προγεγενημένων . adverb","lookup"
"G2413","","headword","ἱερός","","headword"
"G2413","","I","ἱερὸν, ἱρός, ἱᾰρός, ἶρος, ἴαρος","(for see. III.2), ά, όν, also ός, όν in the phrase ἱερὸς ἀκτή : Ionic dialect and poetry , ή, όν (see. entry near the end): Doric dialect and N. Greek : Aeolic dialect , but ( correlated from ἴερ-) : superlative ἱερώτατος","lookup"
"G2413","","I","filled with, manifesting divine power, supernatural, great","or , ἱ. ἲς Τηλεμάχοιο ; ἄλφιτον, ἀλωαί, ; of natural objects or phenomena, rivers, ; λιβάς, of the Spercheus, ; ἱεραὶ βῆσσαι Κίρκης 'faery', ; ἱ. ἦμαρ, κνέφας, ; ἱερὸς δίφρος (where δ. perhaps = ἵπποι) ; ὕπνος, of death, ; ἔστι μὲν οὐδὲν ἱ. no matter,","lookup"
"G2413","","II","holy, of God, crusade","of divine things, , ἱεροῖς ἐν δώμασι Κίρκης ; δόσις the gift , ; πόλεμος war, ' ',","lookup"
"G2413","","II.2","hallowed, consecrated, hieroglyphics, of sacrifice, legend, mystical, sacred, profane","of earthly things, , βωμοί ; ἱ. δόμος, of the temple of Athena,; ἱρὰ γράμματα , ; but ἱ. γράμματα of the “Holy Scriptures”, ; ἱ. βύβλοι ; ἱ. ἄγαλμα, τρίπους, ; ἱ. σώματα, of ἱερόδουλοι, ; of animals regarded as 'taboo', [κριοί] εἰσί σφι ἱ. διὰ τοῦτο ; of the Roman Tribunes,= Latin sacrosanctus , ἱ. καὶ ἄσυλος ; of Augustus, ; ἱ. νόμος law , ; ἱ. λόγος , ; ἱ. γάμος marriage, a religious ceremony, see entry ; opposed to βέβηλος, as to , ; compare ὅσιος.","lookup"
"G2413","","II.3","under divine protection, under the protection of Zeus",", frequently of places, Ἴλιος ; Τροίης ἱερὸν πτολίεθρον, Τροίης ἱερὰ κρήδεμνα, ; ἱ. κύκλος the judge's seat , ; χωρίον ὡς -ώτατον; with genitive of a human being, Γναθίου.. ἱ. εἰμι","lookup"
"G2413","","II.3.b","initiated, deuoted, dedicated","of persons, φυλάκων ἱ. τέλος ; ἱ. εὐσεβής τε, of Oedipus, ; ἅνθρωπος ἱ. , ; with genitive of a divinity, ,","lookup"
"G2413","","II.3.c","sacer, imperial, praefectus Aegypti, worshipful","under the Roman Empire,= , ἐκ τῶν ἱερῶν τοῦ Καίσαρος γραμμάτων , etc.; τὸ -ώτατον βῆμα (of the ), : generally, , ἱ. σύνοδος","lookup"
"G2413","","III","","as substantive ,","lookup"
"G2413","","III.1","ἱερά, ἱρά, offerings, victims",", Ionic dialect , τά, , ἱερὰ ῥέξας","lookup"
"G2413","","III.1.b","omens afforded by sacrifice","after , , τὰ ἱρὰ οὐ προεχώρεε χρηστά ; τὰ ἱερὰ καλὰ [ἦν]","lookup"
"G2413","","III.1.c","sacred objects, rites, cult-images, IG Rom.","generally, or , ; of","lookup"
"G2413","","III.2","ἱερόν, ἱρόν, holy place, temple","after , , Ionic dialect , τό, , ; opposed to νηός, ; frequently of a , ἔστι δὲ ἐν τῷ τεμένεϊ.. ἱρόν κτλ. ; of the Jewish temple,","lookup"
"G2413","","III.3","a sacred principle","ἱερὸν τῆς δίκης of right,","lookup"
"G2413","","III.4","ἱερός",", ὁ (i.e. μήν), name of month at Delos,","lookup"
"G2413","","III.5","ἱεραί","ἱεροί, οἱ, members of a religious college or guild, , etc.; also of women, , αἱ,","lookup"
"G2413","","III.5.b","","={ἱερόδουλος},","lookup"
"G2413","","IV","","special phrases, post-","lookup"
"G2413","","IV.1","one's last hope","proverbial, ἱ. ἄγκυρα ,","lookup"
"G2413","","IV.2","","ἱ. βόλος, name of a throw at dice,","lookup"
"G2413","","IV.3","","ἱ. βοτάνη, see at {βοτάνη}.","lookup"
"G2413","","IV.4","last line","ἱ. (i.e. γραμμή) , of draught-board, κινήσαις τὸν ἀπ᾽ ἴρας.. λίθον ; τὴν ἀφ᾽ ἱερᾶς (variant{τὴν ἱεράν})","lookup"
"G2413","","IV.5","","ἱ. ἰχθύς,= ἀνθίας,","lookup"
"G2413","","IV.6","","ἱ. λόχος, see at {λόχος}.","lookup"
"G2413","","IV.7","drawn contest, dead heat","ἱερά (i.e. νίκη), ἡ, (because the prize was assigned to the god), 'divide the honours',","lookup"
"G2413","","IV.8","epilepsy","ἱ. νόσος ,","lookup"
"G2413","","IV.9","the sacred","ἡ ἱ. ὁδός road to Delphi, see entry ; and that from Elis to Olympia,","lookup"
"G2413","","IV.10","os sacrum","ἱ. ὀστέον, , the last bone of the spine,","lookup"
"G2413","","IV.11","sacred duty of an adviser","ἱ. συμβουλή ,","lookup"
"G2413","","IV.12","spinal canal","ἱ. σῦριγξ ,","lookup"
"G2413","","IV.13","","ἱερὰ τριήρης, of the Delian ship, or one of the state-ships (Salaminia or Paralos),","lookup"
"G2413","","IV.14","Cape St. Vincent, insulae Aegates","frequently in geographical names, e.g. ἱ ἄκρα, in Lycia, ; ἱ. ἀκρωτήριον, in Spain, , ; ἱ. κώμη, in Lydia, ; ἱ. νῆσος, one of the Liparean group, ; one of the ,","lookup"
"G2413","","V","holily","adverb -ρῶς , ἀποθανεῖν variant in ; ῑερόν in the first foot of a hexameters, ; also in compounds ἱεραγωγός, ἱεροθαλλής, ἱερόφωνος: ῑ always in contraction form ἱρός which is used in Epic dialect , , and some Ionic dialect inscriptions , as , but is rarely found in codices of ; also in Trag.,","lookup"
"G3741","","headword","ὅσι-ος",", α, ον,","headword"
"G3741","","I","hallowed, sanctioned, allowed by the law of God, of nature, unhallowed, human, sacred","also ος, ον :— i. e. or or δίκη ; οὐχ ὅ. ὕβρις —The sense of ὅσιος often depends on its relation on the one hand to δίκαιος (sanctioned by law), on the other to ἱερός ( to the gods):","lookup"
"G3741","","I.1","sanctioned by divine law, hallowed, holy, things of, divine ordinance, a duty men owe the gods","opposed to δίκαιος, (μόριον τοῦ δικαίου τὸ ὅ. human and ; θεοὺς ὅσιόν τι δρᾶν discharge ; τὸ ὅσιον, ={εὐσέβεια}, : in an imprecatory formula, ἀποδοῦσι μὲν αὐτοῖς ὅσια ᾖ, μὴ ἀποδοῦσι δὲ ἀνόσια","lookup"
"G3741","","I.2","permitted, not forbidden by divine law, profane, profane, lawful, it is lawful, not forbidden by any law, nefas est, impious","opposed to ἱερός, or ἱερὰ καὶ ὅ. things sacred and ἐς ὀλιγωρίαν ἐτράποντο καὶ ἱερῶν καὶ ὁ. ὁμοίως ; κοσμεῖν τὴν πόλιν καὶ τοῖς ἱεροῖς καὶ τοῖς ὁ. with sacred and buildings, ; ὁ ταμίας τῶν ὁ. ; ὅ. χωρίον a place (for giving birth to a child), ; ὅσιόν ἐστι followed by infinitive , ; οὐκ ὅσιον ποιεῦμαι I deem it ; οὐδὲ ὅσια (i.e. ἐστι).. μιαίνειν .α; λέγειν","lookup"
"G3741","","II","pious, devout, religious","of persons, ἄνδρες ; ὅ. θιασῶται, μύσται, ; opposed to ἀνόσιος, ; opposed to ἐπίορκος, ; ὅσιος εἴς τινα, περὶ ξένους,","lookup"
"G3741","","II.2","sinless, pure, pure, clean","ἐξ ὁ. στομάτων ; ὅ. ἔστω καὶ εὐαγής Legal Solonis cited in in regard to the sacred rites of his forefathers, ; also ὅσιαι χέρες hands,","lookup"
"G3741","","II.3","holy","rarely of the gods,","lookup"
"G3741","","II.4","","title of five special priests at Delphi,","lookup"
"G3741","","II.5","saints'","οἱ ὅσιοι 'the","lookup"
"G3741","","III","right, -ώτερον","adverb ὁσίως ; ὁ. ἂν ὑμῖν ἔχοι τοῦτον θύειν.. it would be for you that he should.., participle , ὁ. ἂν ἔχοι αὐτῷ μὴ δεχομένῳ.. : comparative : superlative , ὡς -ώτατα διαβιῶναι τὸν βίον","lookup"
"G3742","","headword","ὁσι-ότης",", ητος, ἡ,","headword"
"G3742","","I","disposition to observe divine law, piety, piety towards","; πρὸς θεῶν ὁ. them, ; also, like Latin pietas, ἡ πρὸς γονεῖς ὁ.","lookup"
"G3743","","headword","ὅσι-ος","Included with: , α, ον,","headword"
"G3743","","I","hallowed, sanctioned, allowed by the law of God, of nature, unhallowed, human, sacred","also ος, ον :— i. e. or or δίκη ; οὐχ ὅ. ὕβρις —The sense of ὅσιος often depends on its relation on the one hand to δίκαιος (sanctioned by law), on the other to ἱερός ( to the gods):","lookup"
"G3743","","I.1","sanctioned by divine law, hallowed, holy, things of, divine ordinance, a duty men owe the gods","opposed to δίκαιος, (μόριον τοῦ δικαίου τὸ ὅ. human and ; θεοὺς ὅσιόν τι δρᾶν discharge ; τὸ ὅσιον, ={εὐσέβεια}, : in an imprecatory formula, ἀποδοῦσι μὲν αὐτοῖς ὅσια ᾖ, μὴ ἀποδοῦσι δὲ ἀνόσια","lookup"
"G3743","","I.2","permitted, not forbidden by divine law, profane, profane, lawful, it is lawful, not forbidden by any law, nefas est, impious","opposed to ἱερός, or ἱερὰ καὶ ὅ. things sacred and ἐς ὀλιγωρίαν ἐτράποντο καὶ ἱερῶν καὶ ὁ. ὁμοίως ; κοσμεῖν τὴν πόλιν καὶ τοῖς ἱεροῖς καὶ τοῖς ὁ. with sacred and buildings, ; ὁ ταμίας τῶν ὁ. ; ὅ. χωρίον a place (for giving birth to a child), ; ὅσιόν ἐστι followed by infinitive , ; οὐκ ὅσιον ποιεῦμαι I deem it ; οὐδὲ ὅσια (i.e. ἐστι).. μιαίνειν .α; λέγειν","lookup"
"G3743","","II","pious, devout, religious","of persons, ἄνδρες ; ὅ. θιασῶται, μύσται, ; opposed to ἀνόσιος, ; opposed to ἐπίορκος, ; ὅσιος εἴς τινα, περὶ ξένους,","lookup"
"G3743","","II.2","sinless, pure, pure, clean","ἐξ ὁ. στομάτων ; ὅ. ἔστω καὶ εὐαγής Legal Solonis cited in in regard to the sacred rites of his forefathers, ; also ὅσιαι χέρες hands,","lookup"
"G3743","","II.3","holy","rarely of the gods,","lookup"
"G3743","","II.4","","title of five special priests at Delphi,","lookup"
"G3743","","II.5","saints'","οἱ ὅσιοι 'the","lookup"
"G3743","","III","right, -ώτερον","adverb ὁσίως ; ὁ. ἂν ὑμῖν ἔχοι τοῦτον θύειν.. it would be for you that he should.., participle , ὁ. ἂν ἔχοι αὐτῷ μὴ δεχομένῳ.. : comparative : superlative , ὡς -ώτατα διαβιῶναι τὸν βίον","lookup"
"G4151","G","headword","πνεῦμα",", ατος, τό,","headword"
