"lemma_key","sort","sense_code","gloss","verse_refs","note","row_type"
"G0041","0","","requiring a lifestyle acceptable to God","","","description"
"G0041","1","","sanctity","Heb.12.10","*","lookup"
"G0042","0","","holiness","","","lookup"
"G0042","0","","a characteristic of God","","","description"
"G0042","0","","shared by his people","","","description"
"G0042","0","","requiring a lifestyle acceptable to God","","","description"
"G0042","1","","sanctification","Rom.1.4; 2Co.7.1; 1Th.3.13","*","lookup"
"G0042","1","","sanctity","Rom.1.4; 2Co.7.1; 1Th.3.13","*","lookup"
"G0047","0","","purity","","","lookup"
"G0047","0","","in the sense of moral purity and proper sexual conduct","","","description"
"G0047","1","","chastity","1Ti.4.12","5:2*","lookup"
"G0048","0","","to purify","","","lookup"
"G0048","0","","ceremonially cleanse","","","lookup"
"G0048","1","","to purify morally","","as the Nazarites","lookup"
"G0048","1","","reform","","as the Nazarites","lookup"
"G0048","1","","to live like one under a vow of abstinence","","as the Nazarites","description"
"G0050","0","","to be ignorant","","","lookup"
"G0050","0","","not know","","","lookup"
"G0050","0","","not understand","","","lookup"
"G0050","1","","sin through ignorance","","","lookup"
"G0051","0","","error","Heb.9.7","*","lookup"
"G0051","0","","sin of ignorance","Heb.9.7","*","lookup"
"G0051","0","","sin committed in ignorance","Heb.9.7","*","description"
"G0053","0","","pure (in some contexts morally pure)","","","description"
"G0053","0","","innocent","","","lookup"
"G0053","1","","chaste","","","lookup"
"G0053","1","","modest","","","lookup"
"G0053","1","","blameless","","","lookup"
"G0054","0","","purity","2Co.6.6","11:3*","lookup"
"G0054","0","","life of purity","2Co.6.6","11:3*","lookup"
"G0055","0","","- purely","Php.1.17","","lookup"
"G0055","0","","i.e. honestly","Php.1.17","","lookup"
"G0055","0","","with pure motives .","Php.1.17","","lookup"
"G0055","1","","purely","","","lookup"
"G0055","1","","sincerely","","","lookup"
"G0056","0","","ignorance","1Co.15.34; 1Pe.2.15","*","lookup"
"G0056","0","","with a focus on talk or action that opposes God","1Co.15.34; 1Pe.2.15","*","description"
"G0060","0","","marketplace","","","lookup"
"G0060","0","","place where the courts meet","","","description"
"G0060","1","","one who visits the forum","Act.17.5; Act.19.38","ἀγόραιοι , *","description"
"G0060","1","","a lounger","Act.17.5; Act.19.38","ἀγόραιοι , *","lookup"
"G0060","1","","one who idles away his time in public places","Act.17.5; Act.19.38","ἀγόραιοι , *","description"
"G0060","1","","a low fellow","Act.17.5; Act.19.38","ἀγόραιοι , *","lookup"
"G0060","1","","pertaining to the forum","Act.17.5; Act.19.38","ἀγόραιοι , *","description"
"G0060","1","","judicial","Act.17.5; Act.19.38","ἀγόραιοι , *","lookup"
"G0060","1","","court days","Act.17.5; Act.19.38","ἀγόραιοι , *","lookup"
"G0069","0","","to keep awake","","","lookup"
"G0069","0","","keep alert","","","lookup"
"G0069","1","","to be awake","","","lookup"
"G0069","1","","watch","","","lookup"
"G0069","1","","to be watchful","","","lookup"
"G0069","1","","vigilant","","","lookup"
"G0073","0","","struggle","","","lookup"
"G0073","0","","fight","","","lookup"
"G0073","0","","often an athletic contest","","","description"
"G0073","1","","place of contest","","","lookup"
"G0073","1","","race-course","","","lookup"
"G0073","1","","stadium","","","lookup"
"G0073","1","","a contest","","","lookup"
"G0073","1","","strife","","","lookup"
"G0073","1","","contention","","","lookup"
"G0073","1","","peril","","","lookup"
"G0073","1","","toil","","","lookup"
