strongs_number,transliteration,language,owner_count,owner_registries
H1703,dab.be.ret,Hebrew,3,"43-desire,212-pray,126-purpose"
H1932,hu,Hebrew,3,"86-impurity,89-iniquity,92-integrity"
H1943,ho.vah,Hebrew,3,"43-desire,105-lust,193-craving"
H1962,hay.yah,Hebrew,3,"43-desire,105-lust,193-craving"
H2007,hen.nah,Hebrew,3,"86-impurity,89-iniquity,92-integrity"
H2146,zik.ka.ron,Hebrew,3,"160-thought,112-mind,110-memory"
H2254A,cha.val,Hebrew,3,"5-anguish,151-sorrow,2-agony"
H2254B,cha.val,Hebrew,3,"5-anguish,151-sorrow,2-agony"
H2254C,cha.val,Hebrew,3,"5-anguish,151-sorrow,2-agony"
H2256C,cho.ve.lim,Hebrew,3,"5-anguish,151-sorrow,2-agony"
H2256D,che.vel,Hebrew,3,"5-anguish,151-sorrow,2-agony"
H2258A,cha.vol,Hebrew,3,"5-anguish,151-sorrow,2-agony"
H2258B,cha.vo.lah,Hebrew,3,"5-anguish,151-sorrow,2-agony"
H2259,cho.vel,Hebrew,3,"5-anguish,151-sorrow,2-agony"
H2260,chib.bel,Hebrew,3,"5-anguish,151-sorrow,2-agony"
H2456,cha.la,Hebrew,3,"71-grief,212-pray,2-agony"
H2532B,cha.mu.dah,Hebrew,3,"103-love,43-desire,42-delight"
H2750,cho.ri,Hebrew,3,"4-anger,51-distress,178-wrath"
H2803H,cha.shav,Hebrew,3,"160-thought,126-purpose,112-mind"
H2803I,cha.shav,Hebrew,3,"160-thought,126-purpose,112-mind"
H2803J,cha.shav,Hebrew,3,"160-thought,126-purpose,112-mind"
H2810,chish.sha.von,Hebrew,3,"160-thought,126-purpose,112-mind"
H2838,cha.shuq,Hebrew,3,"103-love,183-heart,43-desire"
H2839,chish.shuq,Hebrew,3,"103-love,183-heart,43-desire"
H2896B,tov,Hebrew,3,"103-love,42-delight,67-goodness"
H3070,yir.eh,Hebrew,3,"61-fear,117-peace,58-experience"
H3092K,ye.ho.sha.phat,Hebrew,3,"43-desire,105-lust,193-craving"
H3302,ya.phah,Hebrew,3,"103-love,42-delight,175-wonder"
H3335G,ya.tsar,Hebrew,3,"126-purpose,51-distress,93-intention"
H3335H,ya.tsar,Hebrew,3,"126-purpose,51-distress,93-intention"
H3512B,ka.eh,Hebrew,3,"61-fear,183-heart,211-being"
H3513H,ka.ved,Hebrew,3,"183-heart,15-boastfulness,151-sorrow"
H3513I,ka.ved,Hebrew,3,"183-heart,15-boastfulness,151-sorrow"
H3513J,ka.ved,Hebrew,3,"183-heart,15-boastfulness,151-sorrow"
H3514,ko.ved,Hebrew,3,"183-heart,15-boastfulness,151-sorrow"
H3516,ka.ved,Hebrew,3,"183-heart,15-boastfulness,151-sorrow"
H3517,ke.ve.dut,Hebrew,3,"183-heart,15-boastfulness,151-sorrow"
H3519,ka.vod,Hebrew,3,"183-heart,15-boastfulness,151-sorrow"
H3520A,ka.vod,Hebrew,3,"183-heart,15-boastfulness,151-sorrow"
H3520B,ke.vud.dah,Hebrew,3,"183-heart,15-boastfulness,151-sorrow"
H3581A,ko.ach,Hebrew,3,"187-strength,196-power,198-might"
H3581B,ko.ach,Hebrew,3,"187-strength,196-power,198-might"
H3688,ka.sal,Hebrew,3,"78-hope,163-trust,211-being"
H3982,ma.a.mar,Hebrew,3,"212-pray,160-thought,126-purpose"
H4033,ma.gor,Hebrew,3,"61-fear,11-awe,152-strife"
H4057A,mid.bar,Hebrew,3,"43-desire,212-pray,126-purpose"
H4057B,mid.bar,Hebrew,3,"43-desire,212-pray,126-purpose"
H4057G,mid.bar,Hebrew,3,"43-desire,212-pray,126-purpose"
H4460,mam.me.gu.rot,Hebrew,3,"61-fear,11-awe,152-strife"
H4569A,ma.a.var,Hebrew,3,"4-anger,126-purpose,178-wrath"
H4569B,ma.a.va.rah,Hebrew,3,"4-anger,126-purpose,178-wrath"
H4577,me.a,Hebrew,3,"183-heart,184-spirit,185-flesh"
H4578,me.eh,Hebrew,3,"183-heart,184-spirit,185-flesh"
H4579,ma.ah,Hebrew,3,"183-heart,184-spirit,185-flesh"
H4714I,mits.ra.yim,Hebrew,3,"123-pride,128-rebellion,187-strength"
H4714J,mits.ra.yim,Hebrew,3,"123-pride,128-rebellion,187-strength"
H4805H,me.ri,Hebrew,3,"123-pride,128-rebellion,187-strength"
H4974,me.tom,Hebrew,3,"90-innocence,92-integrity,148-sincerity"
H5376,ne.sa,Hebrew,3,"43-desire,73-guilt,163-trust"
H5587B,se.ip.pim,Hebrew,3,"7-anxiety,160-thought,112-mind"
H5669,a.vur,Hebrew,3,"4-anger,126-purpose,178-wrath"
H5674A,a.var,Hebrew,3,"4-anger,126-purpose,178-wrath"
H5674C,a.var,Hebrew,3,"4-anger,126-purpose,178-wrath"
H5674D,a.var,Hebrew,3,"4-anger,126-purpose,178-wrath"
H5674G,a.var,Hebrew,3,"4-anger,126-purpose,178-wrath"
H5674H,a.var,Hebrew,3,"4-anger,126-purpose,178-wrath"
H5676G,e.ver,Hebrew,3,"4-anger,126-purpose,178-wrath"
H5676H,e.ver,Hebrew,3,"4-anger,126-purpose,178-wrath"
H5676I,e.ver,Hebrew,3,"4-anger,126-purpose,178-wrath"
H5679,a.va.rah,Hebrew,3,"4-anger,126-purpose,178-wrath"
H5796,ez,Hebrew,3,"74-hardness,196-power,198-might"
H5892G,ir,Hebrew,3,"42-delight,5-anguish,178-wrath"
H5922,al,Hebrew,3,"52-division,67-goodness,108-meditation"
H5924,el.la,Hebrew,3,"52-division,67-goodness,108-meditation"
H5998,a.mal,Hebrew,3,"71-grief,5-anguish,151-sorrow"
H6001B,a.mel,Hebrew,3,"71-grief,5-anguish,151-sorrow"
H6191,a.rom,Hebrew,3,"211-being,174-wisdom,206-vulnerability"
H6344,pa.chad,Hebrew,3,"61-fear,53-dread,158-terror"
H6346,pe.chah,Hebrew,3,"61-fear,53-dread,158-terror"
H6640,tse.vu,Hebrew,3,"43-desire,173-will,126-purpose"
H6662,tsad.diq,Hebrew,3,"98-justice,77-honesty,139-righteousness"
H6665,tsid.qah,Hebrew,3,"126-purpose,77-honesty,139-righteousness"
H6735A,tsir,Hebrew,3,"5-anguish,51-distress,151-sorrow"
H6735B,tsir,Hebrew,3,"5-anguish,51-distress,151-sorrow"
H6872A,tse.ror,Hebrew,3,"5-anguish,51-distress,151-sorrow"
H6872B,tse.ror,Hebrew,3,"5-anguish,51-distress,151-sorrow"
H6962,qut,Hebrew,3,"61-fear,51-distress,53-dread"
H7072,qan.no,Hebrew,3,"56-envy,96-jealousy,181-zeal"
H7108,qe.tsaph,Hebrew,3,"4-anger,205-resentment,178-wrath"
H7111,qe.tsa.phah,Hebrew,3,"4-anger,205-resentment,178-wrath"
H7200N,ra.ah,Hebrew,3,"61-fear,117-peace,58-experience"
H7264,ra.gaz,Hebrew,3,"4-anger,61-fear,178-wrath"
H7268,rag.gaz,Hebrew,3,"4-anger,61-fear,178-wrath"
H7269,rog.zah,Hebrew,3,"4-anger,61-fear,178-wrath"
H7307H,ru.ach,Hebrew,3,"4-anger,184-spirit,42-delight"
H7307I,ru.ach,Hebrew,3,"4-anger,184-spirit,42-delight"
H7349,ra.chum,Hebrew,3,"103-love,111-mercy,23-compassion"
H7358,re.chem,Hebrew,3,"103-love,111-mercy,23-compassion"
H7362,ra.cha.ma.ni,Hebrew,3,"103-love,111-mercy,23-compassion"
H7585,she.ol,Hebrew,3,"43-desire,212-pray,31-corruption"
H7919B,sa.khal,Hebrew,3,"211-being,91-insight,174-wisdom"
H7952,sha.lah,Hebrew,3,"117-peace,78-hope,29-contentment"
H7959,sha.lu,Hebrew,3,"117-peace,78-hope,29-contentment"
H7962,shal.vah,Hebrew,3,"117-peace,78-hope,29-contentment"
H7965G,sha.lom,Hebrew,3,"117-peace,34-covenant,163-trust"
H7965I,sha.lom,Hebrew,3,"117-peace,34-covenant,163-trust"
H7965J,sha.lom,Hebrew,3,"117-peace,34-covenant,163-trust"
H7965K,sha.lom,Hebrew,3,"117-peace,34-covenant,163-trust"
H7965L,sha.lom,Hebrew,3,"117-peace,34-covenant,163-trust"
H7966,shil.lum,Hebrew,3,"117-peace,34-covenant,163-trust"
H7987,she.li,Hebrew,3,"117-peace,78-hope,29-contentment"
H7999B,sha.lam,Hebrew,3,"117-peace,34-covenant,163-trust"
H8003,sha.lem,Hebrew,3,"117-peace,34-covenant,163-trust"
H8005,shil.lem,Hebrew,3,"117-peace,34-covenant,163-trust"
H8011,shil.lu.mah,Hebrew,3,"117-peace,34-covenant,163-trust"
H8021,shal.mon,Hebrew,3,"117-peace,34-covenant,163-trust"
H8033H,sham,Hebrew,3,"42-delight,132-rejoicing,204-name"
H8383,te.u.nim,Hebrew,3,"51-distress,89-iniquity,151-sorrow"
H8458,tach.bu.lah,Hebrew,3,"5-anguish,151-sorrow,2-agony"
H8535,tam,Hebrew,3,"90-innocence,92-integrity,148-sincerity"
H8549H,ta.mim,Hebrew,3,"90-innocence,92-integrity,148-sincerity"
H8549I,ta.mim,Hebrew,3,"90-innocence,92-integrity,148-sincerity"
H8549J,ta.mim,Hebrew,3,"90-innocence,92-integrity,148-sincerity"
G0037,hagiazō,Greek,2,"184-spirit,76-holiness"
G0040H,hagios,Greek,2,"184-spirit,76-holiness"
G0073,agōn,Greek,2,"5-anguish,2-agony"
G0075,agōnizomai,Greek,2,"5-anguish,2-agony"
G0092,adikēma,Greek,2,"98-justice,139-righteousness"
G0094,adikos,Greek,2,"98-justice,139-righteousness"
G0095,adikōs,Greek,2,"98-justice,139-righteousness"
G0143,aisthanomai,Greek,2,"160-thought,126-purpose"
G0267,amarturos,Greek,2,"160-thought,159-testimony"
G0268,hamartōlos,Greek,2,"73-guilt,147-sin"
G0341,anakainoō,Greek,2,"134-renewal,202-transformation"
G0394,anatithēmi,Greek,2,"34-covenant,1-abomination"
G0464,antagōnizomai,Greek,2,"5-anguish,2-agony"
G0475,antidiatithēmi,Greek,2,"34-covenant,1-abomination"
G0476,antidikos,Greek,2,"98-justice,139-righteousness"
G0483,antilegō,Greek,2,"212-pray,127-reasoning"
G0536,aparchē,Greek,2,"197-authority,199-dominion"
G0557,apelegmos,Greek,2,"212-pray,127-reasoning"
G0598,apothlibō,Greek,2,"5-anguish,51-distress"
G0662,apotolmaō,Greek,2,"211-being,16-boldness"
G0744,archaios,Greek,2,"197-authority,199-dominion"
G0747,archēgos,Greek,2,"197-authority,199-dominion"
G0756,archomai,Greek,2,"197-authority,199-dominion"
G0757,archō,Greek,2,"197-authority,199-dominion"
G0769H,astheneia,Greek,2,"170-weakness,187-strength"
G0770G,astheneō,Greek,2,"170-weakness,187-strength"
G0770H,astheneō,Greek,2,"170-weakness,187-strength"
G0771,asthenēma,Greek,2,"170-weakness,187-strength"
G0772G,asthenēs,Greek,2,"170-weakness,187-strength"
G0772H,asthenēs,Greek,2,"170-weakness,187-strength"
G0928G,basanizō,Greek,2,"5-anguish,2-agony"
G0928H,basanizō,Greek,2,"5-anguish,2-agony"
G0929,basanismos,Greek,2,"5-anguish,2-agony"
G0930,basanistēs,Greek,2,"5-anguish,2-agony"
G0931,basanos,Greek,2,"2-agony,5-anguish"
G1169,deilos,Greek,2,"61-fear,211-being"
G1189,deomai,Greek,2,"212-pray,122-prayer"
G1246,diakatelenchomai,Greek,2,"212-pray,127-reasoning"
G1263,diamarturomai,Greek,2,"160-thought,159-testimony"
G1272,dianoigō,Greek,2,"160-thought,126-purpose"
G1303,diatithēmi,Greek,2,"34-covenant,1-abomination"
G1331,dierōtaō,Greek,2,"43-desire,212-pray"
G1341,dikaiokrisia,Greek,2,"98-justice,139-righteousness"
G1342,dikaios,Greek,2,"98-justice,139-righteousness"
G1344,dikaioō,Greek,2,"98-justice,139-righteousness"
G1346,dikaiōs,Greek,2,"98-justice,139-righteousness"
G1347,dikaiōsis,Greek,2,"98-justice,139-righteousness"
G1348,dikastēs,Greek,2,"98-justice,139-righteousness"
G1518,eirēnopoios,Greek,2,"103-love,117-peace"
G1577,ekklēsia,Greek,2,"19-calling,192-comfort"
G1649,elegxis,Greek,2,"212-pray,127-reasoning"
G1650,elenchos,Greek,2,"212-pray,127-reasoning"
G1651,elenchō,Greek,2,"212-pray,127-reasoning"
G1652,eleeinos,Greek,2,"111-mercy,23-compassion"
G1654,eleēmosunē,Greek,2,"111-mercy,23-compassion"
G1738,endikos,Greek,2,"98-justice,139-righteousness"
G1755,energēma,Greek,2,"200-energy,58-experience"
G1756,energēs enargēs,Greek,2,"200-energy,58-experience"
G1760,enthumeomai,Greek,2,"160-thought,85-imagination"
G1827,exelenchō,Greek,2,"212-pray,127-reasoning"
G1864,epagōnizomai,Greek,2,"5-anguish,2-agony"
G1905,eperōtaō,Greek,2,"43-desire,212-pray"
G1951,epilegō,Greek,2,"212-pray,127-reasoning"
G1957,epimartureō,Greek,2,"160-thought,159-testimony"
G1963,epinoia,Greek,2,"160-thought,126-purpose"
G2042,erethizō,Greek,2,"3-ambition,152-strife"
G2213,zētēma,Greek,2,"43-desire,140-seeking"
G2214,zētēsis,Greek,2,"43-desire,140-seeking"
G2237,hēdonē,Greek,2,"173-will,42-delight"
G2308,thelēsis,Greek,2,"43-desire,173-will"
G2552,kakopatheia,Greek,2,"23-compassion,115-passion"
G2553,kakopatheō,Greek,2,"23-compassion,115-passion"
G2610,katagōnizomai,Greek,2,"5-anguish,2-agony"
G2613,katadikazō,Greek,2,"98-justice,139-righteousness"
G2639,katalegō,Greek,2,"212-pray,127-reasoning"
G2649,katamartureō,Greek,2,"160-thought,159-testimony"
G2652,katanathema,Greek,2,"34-covenant,1-abomination"
G2653,katanathematizō,Greek,2,"34-covenant,1-abomination"
G2686,katasofizomai,Greek,2,"211-being,174-wisdom"
G2822,klētos,Greek,2,"19-calling,192-comfort"
G2900,krataios,Greek,2,"199-dominion,187-strength"
G2908,kreissōn,Greek,2,"199-dominion,187-strength"
G2909,kreittōn,Greek,2,"199-dominion,187-strength"
G2923,kritēs,Greek,2,"98-justice,160-thought"
G2962H,kurios,Greek,2,"197-authority,199-dominion"
G3004H,legō,Greek,2,"212-pray,127-reasoning"
G3143,marturomai,Greek,2,"160-thought,159-testimony"
G3144,martus,Greek,2,"160-thought,159-testimony"
G3166,megalaucheō,Greek,2,"97-joy,197-authority"
G3309,merimnaō,Greek,2,"7-anxiety,160-thought"
G3356,metriopatheō,Greek,2,"23-compassion,115-passion"
G3421,mnēmoneuō,Greek,2,"112-mind,110-memory"
G3445,morfoō,Greek,2,"209-likeness,202-transformation"
G3471,mōrainō,Greek,2,"211-being,63-foolishness"
G3663,homoiopathēs,Greek,2,"23-compassion,115-passion"
G3741,hosios,Greek,2,"111-mercy,76-holiness"
G3804,pathēma,Greek,2,"23-compassion,115-passion"
G3805,pathētos,Greek,2,"23-compassion,115-passion"
G3875,paraklētos,Greek,2,"19-calling,192-comfort"
G3893,parapikrainō,Greek,2,"13-bitterness,128-rebellion"
G3958,paschō,Greek,2,"163-trust,115-passion"
G4012,peri,Greek,2,"23-compassion,151-sorrow"
G4258,proamartanō,Greek,2,"73-guilt,147-sin"
G4272,prodidōmi,Greek,2,"180-yielding,203-treachery"
G4302,prolegō,Greek,2,"212-pray,127-reasoning"
G4303,promarturomai,Greek,2,"160-thought,159-testimony"
G4305,promerimnaō,Greek,2,"7-anxiety,160-thought"
G4307,pronoia,Greek,2,"160-thought,126-purpose"
G4456,pōroō,Greek,2,"74-hardness,207-blindness (spiritual)"
G4483,ereō,Greek,2,"173-will,16-boldness"
G4599,sthenoō,Greek,2,"170-weakness,187-strength"
G4642,sklēros,Greek,2,"183-heart,74-hardness"
G4643,sklērotēs,Greek,2,"19-calling,192-comfort"
G4644,sklērotrachēlos,Greek,2,"183-heart,74-hardness"
G4645,sklērunō,Greek,2,"183-heart,74-hardness"
G4680,sofos,Greek,2,"211-being,174-wisdom"
G4704,spoudazō,Greek,2,"211-being,181-zeal"
G4705,spoudaios,Greek,2,"211-being,181-zeal"
G4728,stenos,Greek,2,"5-anguish,51-distress"
G4777,sunkakopatheō,Greek,2,"23-compassion,115-passion"
G4784,sunkatatithēmi,Greek,2,"34-covenant,1-abomination"
G4802,suzēteō,Greek,2,"43-desire,140-seeking"
G4803,suzētēsis,Greek,2,"43-desire,140-seeking"
G4828,summartureō,Greek,2,"160-thought,159-testimony"
G4835,sumpathēs,Greek,2,"23-compassion,115-passion"
G4865,sunagōnizomai,Greek,2,"5-anguish,2-agony"
G4901,sunepimartureō,Greek,2,"160-thought,159-testimony"
G4909,suneudokeō,Greek,2,"173-will,42-delight"
G4918,sunthlibō,Greek,2,"5-anguish,51-distress"
G4934,suntithēmi,Greek,2,"34-covenant,1-abomination"
G4990,sōtēr,Greek,2,"39-debauchery,187-strength"
G4992,sōtērion,Greek,2,"39-debauchery,187-strength"
G4994,sōfronizō,Greek,2,"112-mind,142-self-control"
G4996,sōfronōs,Greek,2,"112-mind,142-self-control"
G4998,sōfrōn,Greek,2,"112-mind,142-self-control"
G5092,timē,Greek,2,"146-shame,3-ambition"
G5112,tolmēroteron,Greek,2,"211-being,16-boldness"
G5113,tolmētēs,Greek,2,"211-being,16-boldness"
G5267,hupodikos,Greek,2,"98-justice,139-righteousness"
G5283,huponoia,Greek,2,"160-thought,126-purpose"
G5456G,fōnē,Greek,2,"19-calling,107-meaning"
G5456H,fōnē,Greek,2,"19-calling,107-meaning"
G5561,chōra,Greek,2,"5-anguish,51-distress"
G5575,pseudomartur,Greek,2,"160-thought,159-testimony"
G5576,pseudomartureō,Greek,2,"160-thought,159-testimony"
G6083,sunoida,Greek,2,"26-conscience,211-being"
H0016,e.veh,Hebrew,2,"43-desire,173-will"
H0034,ev.yon,Hebrew,2,"43-desire,173-will"
H0035,a.viy.yo.nah,Hebrew,2,"43-desire,173-will"
H0153,ed.ra,Hebrew,2,"98-justice,187-strength"
H0157H,a.hev,Hebrew,2,"103-love,43-desire"
H0159,o.hav,Hebrew,2,"103-love,43-desire"
H0197G,u.lam,Hebrew,2,"98-justice,187-strength"
H0197H,u.lam,Hebrew,2,"98-justice,187-strength"
H0197I,u.lam,Hebrew,2,"98-justice,187-strength"
H0366,a.yom,Hebrew,2,"61-fear,158-terror"
H0403,a.khen,Hebrew,2,"59-faith,163-trust"
H0533,am.mits,Hebrew,2,"33-courage,187-strength"
H0554,a.mots,Hebrew,2,"33-courage,187-strength"
H0560,a.mar,Hebrew,2,"160-thought,126-purpose"
H0576B,a.nah,Hebrew,2,"44-despair,162-transgression"
H0754,ar.kha,Hebrew,2,"116-patience,177-worth"
H0834B,ba.a.sher,Hebrew,2,"11-awe,142-self-control"
H0834C,me.a.sher,Hebrew,2,"11-awe,142-self-control"
H0834D,ka.a.sher,Hebrew,2,"11-awe,142-self-control"
H0889,be.osh,Hebrew,2,"146-shame,1-abomination"
H0890,bo.shah,Hebrew,2,"146-shame,1-abomination"
H0891,be.u.shim,Hebrew,2,"146-shame,1-abomination"
H0892,ba.vah,Hebrew,2,"146-shame,1-abomination"
H0899A,be.ged,Hebrew,2,"59-faith,203-treachery"
H0899B,be.ged,Hebrew,2,"59-faith,203-treachery"
H0900,bo.ge.dot,Hebrew,2,"59-faith,203-treachery"
H0901,ba.god,Hebrew,2,"59-faith,203-treachery"
H0906,bad,Hebrew,2,"59-faith,203-treachery"
H0908,ba.da,Hebrew,2,"59-faith,203-treachery"
H0936,buz,Hebrew,2,"146-shame,190-contempt"
H0939,bu.zah,Hebrew,2,"146-shame,190-contempt"
H0987,bat.tu.chot,Hebrew,2,"78-hope,163-trust"
H1077,bal,Hebrew,2,"184-spirit,162-transgression"
H1086,ba.lah,Hebrew,2,"184-spirit,162-transgression"
H1087,ba.leh,Hebrew,2,"184-spirit,162-transgression"
H1094,be.lo,Hebrew,2,"184-spirit,162-transgression"
H1100H,be.liy.ya.al,Hebrew,2,"184-spirit,162-transgression"
H1107,bil.a.de,Hebrew,2,"184-spirit,162-transgression"
H1115,bil.ti,Hebrew,2,"184-spirit,162-transgression"
H1158,ba.ah,Hebrew,2,"43-desire,212-pray"
H1159,ba.u,Hebrew,2,"43-desire,212-pray"
H1169,be.el,Hebrew,2,"43-desire,212-pray"
H1180,ba.a.li,Hebrew,2,"117-peace,199-dominion"
H1236,biq.a,Hebrew,2,"43-desire,212-pray"
H1246,baq.qa.shah,Hebrew,2,"43-desire,140-seeking"
H1248,bar,Hebrew,2,"43-desire,140-seeking"
H1290,be.rekh,Hebrew,2,"117-peace,194-blessing"
H1294H,be.ra.khah,Hebrew,2,"117-peace,194-blessing"
H1295G,be.re.khah,Hebrew,2,"117-peace,194-blessing"
H1295H,be.re.khah,Hebrew,2,"117-peace,194-blessing"
H1364,ga.vo.ah,Hebrew,2,"47-dignity,123-pride"
H1376,ge.vir,Hebrew,2,"187-strength,198-might"
H1377,ge.vi.rah,Hebrew,2,"187-strength,198-might"
H1396,ga.var,Hebrew,2,"187-strength,198-might"
H1397,ga.ver,Hebrew,2,"187-strength,198-might"
H1404,ge.ve.ret,Hebrew,2,"187-strength,198-might"
H1454,geh,Hebrew,2,"99-kindness,177-worth"
H1482,gur,Hebrew,2,"11-awe,152-strife"
H1524B,gil,Hebrew,2,"97-joy,42-delight"
H1530G,gal,Hebrew,2,"163-trust,83-idolatry"
H1530H,gal,Hebrew,2,"163-trust,83-idolatry"
H1534,gal.gal,Hebrew,2,"163-trust,83-idolatry"
H1536,gil.gal,Hebrew,2,"163-trust,83-idolatry"
H1538,gul.go.let,Hebrew,2,"163-trust,83-idolatry"
H1543,gul.lah,Hebrew,2,"163-trust,83-idolatry"
H1550A,ga.lil,Hebrew,2,"163-trust,83-idolatry"
H1550B,ga.lil,Hebrew,2,"163-trust,83-idolatry"
H1552,ge.li.lah,Hebrew,2,"163-trust,83-idolatry"
H1556,ga.lal,Hebrew,2,"163-trust,83-idolatry"
H1557,ga.lal,Hebrew,2,"163-trust,83-idolatry"
H1561,gel,Hebrew,2,"163-trust,83-idolatry"
H1668,da,Hebrew,2,"99-kindness,177-worth"
H1777,din,Hebrew,2,"98-justice,152-strife"
H1781,day.yan,Hebrew,2,"98-justice,152-strife"
H1791,dekh,Hebrew,2,"99-kindness,177-worth"
H1797,dik.ken,Hebrew,2,"99-kindness,177-worth"
H1821,de.mah,Hebrew,2,"201-image,209-likeness"
H1825,dim.yon,Hebrew,2,"201-image,209-likeness"
H1872,de.ra,Hebrew,2,"98-justice,187-strength"
H1897,ha.gah,Hebrew,2,"72-groaning,108-meditation"
H1947,ho.le.lah,Hebrew,2,"112-mind,121-praise"
H1948,ho.le.lut,Hebrew,2,"112-mind,121-praise"
H1960,huy.ye.dot,Hebrew,2,"97-joy,121-praise"
H1976,hal.la.zeh,Hebrew,2,"99-kindness,177-worth"
H1984C,ha.lal,Hebrew,2,"112-mind,121-praise"
H1984I,ha.lal,Hebrew,2,"112-mind,121-praise"
H2086,zed,Hebrew,2,"173-will,123-pride"
H2090,zoh,Hebrew,2,"99-kindness,177-worth"
H2097,zo,Hebrew,2,"99-kindness,177-worth"
H2098,zu,Hebrew,2,"99-kindness,177-worth"
H2102,zid,Hebrew,2,"173-will,123-pride"
H2121,ze.don,Hebrew,2,"173-will,123-pride"
H2132G,za.yit,Hebrew,2,"173-will,123-pride"
H2132H,za.yit,Hebrew,2,"173-will,123-pride"
H2138,za.khur,Hebrew,2,"160-thought,110-memory"
H2145,za.khar,Hebrew,2,"160-thought,110-memory"
H2162,za.mam,Hebrew,2,"160-thought,126-purpose"
H2345,chum,Hebrew,2,"111-mercy,23-compassion"
H2347,chus,Hebrew,2,"111-mercy,23-compassion"
H2388G,cha.zaq,Hebrew,2,"33-courage,187-strength"
H2388H,cha.zaq,Hebrew,2,"33-courage,187-strength"
H2388I,cha.zaq,Hebrew,2,"33-courage,187-strength"
H2388J,cha.zaq,Hebrew,2,"33-courage,187-strength"
H2388K,cha.zaq,Hebrew,2,"33-courage,187-strength"
H2390,cha.zeq,Hebrew,2,"33-courage,187-strength"
H2394,choz.qah,Hebrew,2,"33-courage,187-strength"
H2400,chat.ta,Hebrew,2,"73-guilt,147-sin"
H2403B,chat.tat,Hebrew,2,"73-guilt,147-sin"
H2403H,chat.tat,Hebrew,2,"73-guilt,147-sin"
H2403I,chat.tat,Hebrew,2,"73-guilt,147-sin"
H2417,chay,Hebrew,2,"8-appetite,187-strength"
H2470A,cha.lah,Hebrew,2,"71-grief,212-pray"
H2470B,cha.lah,Hebrew,2,"71-grief,212-pray"
H2470H,cha.lah,Hebrew,2,"71-grief,212-pray"
H2475,cha.loph,Hebrew,2,"134-renewal,202-transformation"
H2499,cha.laph,Hebrew,2,"199-dominion,202-transformation"
H2500,che.leph,Hebrew,2,"134-renewal,202-transformation"
H2502A,cha.lats,Hebrew,2,"183-heart,187-strength"
H2502B,cha.lats,Hebrew,2,"183-heart,187-strength"
H2505A,cha.laq,Hebrew,2,"199-dominion,52-division"
H2505B,cha.laq,Hebrew,2,"199-dominion,52-division"
H2506A,che.leq,Hebrew,2,"199-dominion,52-division"
H2525,cham,Hebrew,2,"4-anger,105-lust"
H2527,chom,Hebrew,2,"4-anger,105-lust"
H2529A,chem.ah,Hebrew,2,"4-anger,178-wrath"
H2529B,che.mah,Hebrew,2,"4-anger,178-wrath"
H2535,cham.mah,Hebrew,2,"4-anger,105-lust"
H2553,cham.man,Hebrew,2,"4-anger,105-lust"
H2622,cha.sut,Hebrew,2,"78-hope,163-trust"
H2804,cha.shav,Hebrew,2,"160-thought,126-purpose"
H2805,che.shev,Hebrew,2,"160-thought,126-purpose"
H2844A,chat,Hebrew,2,"61-fear,158-terror"
H2844B,chat,Hebrew,2,"61-fear,158-terror"
H2849,chat.chat,Hebrew,2,"61-fear,158-terror"
H2866,cha.tat,Hebrew,2,"61-fear,158-terror"
H2869,tav,Hebrew,2,"42-delight,67-goodness"
H2941,te.em,Hebrew,2,"49-discernment,174-wisdom"
H2942,te.em,Hebrew,2,"49-discernment,174-wisdom"
H2974,ya.al,Hebrew,2,"173-will,211-being"
H3049,yid.de.o.ni,Hebrew,2,"160-thought,100-knowledge"
H3176G,ya.chal,Hebrew,2,"78-hope,163-trust"
H3176H,ya.chal,Hebrew,2,"78-hope,163-trust"
H3276,ya.al,Hebrew,2,"184-spirit,126-purpose"
H3282,ya.an,Hebrew,2,"126-purpose,198-might"
H3304,ye.pheh-phiy.yah,Hebrew,2,"103-love,42-delight"
H3308,yo.phi,Hebrew,2,"103-love,42-delight"
H3318H,ya.tsa,Hebrew,2,"185-flesh,156-surrender"
H3318I,ya.tsa,Hebrew,2,"185-flesh,156-surrender"
H3318J,ya.tsa,Hebrew,2,"185-flesh,156-surrender"
H3318K,ya.tsa,Hebrew,2,"185-flesh,156-surrender"
H3318L,ya.tsa,Hebrew,2,"185-flesh,156-surrender"
H3318M,ya.tsa,Hebrew,2,"185-flesh,156-surrender"
H3318N,ya.tsa,Hebrew,2,"185-flesh,156-surrender"
H3318O,ya.tsa,Hebrew,2,"185-flesh,156-surrender"
H3318P,ya.tsa,Hebrew,2,"185-flesh,156-surrender"
H3319,she.tsi,Hebrew,2,"185-flesh,156-surrender"
H3329,ya.tsi,Hebrew,2,"185-flesh,156-surrender"
H3338,ye.tsu.rim,Hebrew,2,"126-purpose,93-intention"
H3377,ya.rev,Hebrew,2,"51-distress,152-strife"
H3401,ya.riv,Hebrew,2,"51-distress,152-strife"
H3423G,ya.rash,Hebrew,2,"43-desire,160-thought"
H3423H,ya.rash,Hebrew,2,"43-desire,160-thought"
H3423I,ya.rash,Hebrew,2,"43-desire,160-thought"
H3424,ye.re.shah,Hebrew,2,"43-desire,160-thought"
H3425,ye.rush.shah,Hebrew,2,"43-desire,160-thought"
H3474,ya.shar,Hebrew,2,"98-justice,168-uprightness"
