cluster,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M10b,M10c,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M33,M34,M35,M36,M37,M38,M39,M41,M42,M43,M44,M45,M46
M36,26,18,8,16,36,4,4,7,6,23,8,1,6,22,14,7,22,2,0,3,3,0,9,38,65,18,14,14,10,6,14,36,4,10,3,5,583,19,3,12,14,10,3,5,2,8
M37,29,19,38,45,55,10,7,19,3,30,17,9,6,28,27,3,69,2,8,7,5,0,17,51,83,30,28,37,18,12,9,25,10,30,4,1,19,1091,7,32,43,14,5,25,10,8
M38,13,9,7,9,24,2,2,2,0,75,3,2,99,23,14,0,13,2,8,7,2,0,6,25,28,5,10,17,6,7,4,8,25,10,7,2,3,7,353,13,10,10,0,11,7,4
M39,22,9,26,52,60,10,1,14,3,44,15,0,12,18,28,8,34,2,2,7,5,0,22,46,59,16,19,28,17,13,15,13,12,18,2,3,12,32,13,723,25,3,5,21,4,15
M41,33,35,44,45,47,23,14,16,2,59,16,5,12,22,23,11,71,3,12,10,8,4,22,36,65,36,36,34,24,11,5,32,2,29,7,5,14,43,10,25,949,24,1,43,12,8
M42,13,9,46,33,27,5,11,12,1,14,6,1,2,3,6,24,13,1,1,4,10,1,6,42,25,18,10,21,7,2,5,5,1,19,0,1,10,14,10,3,24,511,3,9,1,5
M43,6,0,1,1,11,2,2,3,0,2,4,1,0,2,3,1,16,0,1,1,1,0,4,12,13,2,4,1,2,9,3,2,5,1,0,2,3,5,0,5,1,3,143,4,3,1
M44,35,35,29,27,33,47,11,20,2,32,8,6,7,20,12,12,30,0,6,5,12,0,3,21,51,16,211,12,18,22,5,14,1,27,9,0,5,25,11,21,43,9,4,622,3,5
M45,1,5,10,8,9,2,3,5,3,45,19,1,22,2,9,2,11,0,1,2,1,2,3,11,23,5,15,24,6,2,4,7,3,6,2,1,2,10,7,4,12,1,3,3,173,3
M46,11,2,13,15,24,10,3,9,1,11,3,0,3,7,5,5,29,3,1,4,10,4,1,31,48,19,4,9,5,10,3,2,1,5,1,3,8,8,4,15,8,5,1,5,3,271
