cluster,cluster_name,strongs,translit,type,type_mix,n_keywords,keywords
M05,Love,H2617B,che.sed,STATUS,S100,2,"shame; reproach"
M05,Love,H2623,cha.sid,QUALITY,Q100,5,"pious; faithful; godly; holy; saint"
M05,Love,H3033,ye.di.dut,STATUS,S100,5,"beloved; dearly; loved; object; love"
M05,Love,H3823A,la.vav,ACTION,A100,4,"encourage; ravish; intelligent; mind"
M05,Love,H4744,miq.ra,STATUS,S100,6,"assembly; convocation; convoking; reading; calling; together"
M05,Love,H5000,na.eh,QUALITY,Q100,4,"lovely; comely; beautiful; seemly"
M05,Love,H5162G,na.cham,ACTION,A100,14,"sorry; comfort; console; repent; regret; comforted; moved; pity; compassion; rue; suffer; grief; ease; consoled"
M05,Love,H6037,an.vah,STATUS,S100,3,"gentleness; humility; meekness"
M05,Love,H6038,a.na.vah,STATUS,S80/A20,3,"gentleness; humility; meekness"
M05,Love,H6116,a.tsa.rah,STATUS,S100,2,"assembly; solemn"
M05,Love,H7349,ra.chum,QUALITY,Q100,1,"compassionate"
M05,Love,H7355,ra.cham,ACTION,A100,7,"compassion; love; deeply; mercy; compassionate; tender; affection"
M05,Love,H7356B,ra.cha.mim,STATUS,S100,2,"compassion; chem"
M05,Love,H7359,ra.cha.min,QUALITY,Q100,2,"compassion; mim"
M05,Love,H7362,ra.cha.ma.ni,QUALITY,Q100,2,"compassionate; women"
M05,Love,H7463,re.eh,STATUS,S100,2,"friend; king"
M05,Love,H8575,tan.chum,STATUS,S100,1,"consolation"
M06,Hate,G0476,antidikos,STATUS,S100,4,"opponent; enemy; lawsuit; adversary"
M06,Hate,G0865,afilagathos,QUALITY,Q100,3,"hating; loving; lover"
M06,Hate,G0948,bdelussomai,ACTION,A100,8,"abhor; detest; vile; abhorrent; abominate; loathe; abominable; detestable"
M06,Hate,G5195,hubrizō,ACTION,A100,9,"mistreat; insult; run; riot; transitive; outrage; treat; arrogant; spiteful"
M06,Hate,H0340,a.yav,ACTION,A100,2,"hostile; enemy"
M06,Hate,H0393,akh.zar,QUALITY,Q100,2,"cruel; fierce"
M06,Hate,H0394,akh.za.ri,QUALITY,Q100,1,"cruel"
M06,Hate,H0395,akh.ze.riy.yut,STATUS,S100,3,"cruel; cruelty; fierceness"
M06,Hate,H0887,ba.ash,ACTION,A100,4,"stink; bad; smell; abhor"
M06,Hate,H0937,buz,STATUS,S100,1,"contempt"
M06,Hate,H0959,ba.zah,ACTION,A100,3,"despise; contempt; disdain"
M06,Hate,H0963,biz.za.von,STATUS,S100,1,"contempt"
M06,Hate,H1860,de.ra.on,STATUS,S100,2,"abhorrence; aversion"
M06,Hate,H2778A,cha.raph,ACTION,A100,7,"taunt; reproach; blaspheme; defy; jeopardise; rail; upbraid"
M06,Hate,H2781,cher.pah,STATUS,S100,2,"reproach; scorn"
M06,Hate,H3401,ya.riv,STATUS,S100,3,"opponent; contender; adversary"
M06,Hate,H4895,mas.te.mah,STATUS,S100,3,"hatred; animosity; enmity"
M06,Hate,H5006,na.ats,ACTION,A100,4,"spurn; contemn; despise; abhor"
M06,Hate,H5007A,ne.a.tsah,STATUS,S100,2,"contempt; contumely"
M06,Hate,H5007B,ne.a.tsah,STATUS,S100,2,"contempt; blasphemy"
M06,Hate,H6184,a.rits,QUALITY,Q100,6,"ruthless; awe-inspiring; terror-striking; awesome; terrifying; mighty"
M06,Hate,H7009,qim,STATUS,S100,1,"adversary"
M06,Hate,H7589,she.at,STATUS,S100,3,"scorn; despite; contempt"
M06,Hate,H7590,shut,ACTION,A100,4,"despise; treat; contempt; despite"
M06,Hate,H7850,sho.tet,STATUS,S100,1,"scourge"
M06,Hate,H7852,sa.tam,ACTION,A100,6,"hate; oppose; grudge; retain; animosity; cherish"
M06,Hate,H8103,shim.tsah,STATUS,S100,3,"derision; whisper; whispering"
M06,Hate,H8130,sa.ne,ACTION,A100,2,"hate; hateful"
M06,Hate,H8131,se.na,QUALITY,Q100,1,"hate"
M06,Hate,H8135,sin.ah,STATUS,S100,3,"hating; hatred; hate"
M06,Hate,H8146,sa.ni,QUALITY,Q100,2,"hated; aversion"
M06,Hate,H8263,she.qets,STATUS,S100,5,"detestation; detestable; idol; unclean; abomination"
M06,Hate,H8374,ta.av,ACTION,A100,2,"loathe; abhor"
M06,Hate,H8581,ta.av,ACTION,A100,3,"abhor; abominable; abominably"
M07,Shame,G0150,aischros,QUALITY,Q100,7,"shameful; disgraceful; deformed; opposed; indecent; dishonorable; vile"
M07,Shame,G0152,aischunē,STATUS,S100,5,"shame; disgrace; shamefulness; dishonorable; conduct"
M07,Shame,G0153,aischunō,ACTION,A100,3,"ashamed; dishonored; inf"
M07,Shame,G0577,apoballō,ACTION,A100,4,"throw; away; cast; aside"
M07,Shame,G0808,aschēmosunē,STATUS,S100,10,"indecency; indecent; shame; external; indecorum; nakedness; pudenda; infamous; lust; lewdness"
M07,Shame,G0818,atimazō,ACTION,A100,9,"dishonor; disgrace; treat; shamefully; insult; slight; indignity; abuse; debase"
M07,Shame,G0819,atimia,STATUS,S100,11,"dishonour; dishonor; disgrace; shame; common; infamy; meanness; vileness; dishonorable; slightingly; disparagingly"
M07,Shame,G0880,afōnos,QUALITY,Q100,5,"mute; soundless; voiceless; speechless; dumb"
M07,Shame,G1788,entrepō,ACTION,A100,6,"shame; ashamed; care; revere; reverence; feel"
M07,Shame,G1791,entropē,STATUS,S100,2,"shame; humiliation"
M07,Shame,G1848,exoutheneō,ACTION,A100,16,"reject; treat; contempt; look; ridicule; rejected; despised; light; naught; despise; scorn; neglect; disregard; contemptible; small; account"
M07,Shame,G2551,kakologeō,ACTION,A100,12,"curse; revile; malign; speak; evil; abuse; insult; address; offensive; language; treat; disrespect"
M07,Shame,G2617,kataischunō,ACTION,A100,8,"dishonor; humiliate; shame; disappoint; ashamed; disgrace; hebrew; frustrate"
M07,Shame,G2699,katatomē,STATUS,S100,3,"mutilation; cutting; away"
M07,Shame,G3059,loidoria,STATUS,S100,6,"reviling; insult; slander; verbal; abuse; railing"
M07,Shame,G3856,paradeigmatizō,ACTION,A100,8,"disgrace; subject; public; contempt; example; expose; ignominy; shame"
M07,Shame,G5392,fimoō,ACTION,A100,9,"muzzle; silence; quiet; silent; speechless; troponym; hushed; winds; waves"
M07,Shame,H0954,bosh,ACTION,A100,4,"ashamed; shame; disconcerted; disappointed"
M07,Shame,H0955,bu.shah,STATUS,S100,1,"shame"
M07,Shame,H1317,bosh.nah,STATUS,S100,1,"shame"
M07,Shame,H1322,bo.shet,STATUS,S100,1,"shame"
M07,Shame,H2659,cha.pher,ACTION,A100,4,"ashamed; confounded; abashed; feel"
M07,Shame,H3637,ka.lam,ACTION,A100,8,"humiliated; insult; shame; humiliate; blush; ashamed; reproached; confusion"
M07,Shame,H3639,ke.lim.mah,STATUS,S100,7,"shame; disgrace; reproach; confusion; dishonour; insult; ignominy"
M07,Shame,H3640,ke.lim.mut,STATUS,S100,3,"shame; disgrace; ignominy"
M07,Shame,H4893A,mish.chat,STATUS,S100,2,"mutilation; disfigurement"
M07,Shame,H5206,ni.dah,STATUS,S100,4,"filth; impure; filthiness; impurity"
M07,Shame,H5356A,niq.qa.von,STATUS,S100,2,"innocence; innocency"
M07,Shame,H5356B,qe.ha.von,STATUS,S100,1,"bluntness"
M07,Shame,H7022,qi.qa.lon,STATUS,S100,2,"disgrace; shame"
M07,Shame,H7034,qa.lah,ACTION,A100,7,"dishonor; disgrace; dishonour; lightly; esteemed; dishonoured; despised"
M07,Shame,H7036,qa.lon,STATUS,S100,5,"dishonor; shame; disgrace; dishonour; ignominy"
M07,Shame,H8213,sha.phel,ACTION,A97/Q3,5,"abase; low; sink; humbled; abased"
M08,Pride,G0193,akratēs,QUALITY,Q100,2,"intemperate; self-control"
M08,Pride,G0212,alazoneia,STATUS,S100,6,"boasting; pretension; arrogance; presumptuous; speech; haughtiness"
M08,Pride,G0213,alazōn,STATUS,S100,5,"braggart; boaster; prideful; arrogant; boasting"
M08,Pride,G0757,archō,ACTION,A100,1,"first"
M08,Pride,G0829,authadēs,QUALITY,Q100,7,"self-willed; overbearing; arrogant; stubborn; pleases; willful; obstinate"
M08,Pride,G2744,kauchaomai,ACTION,A100,12,"boast; brag; rejoice; glory; refer; boasting; depending; object; undertake; complimentary; testimony; exult"
M08,Pride,G2745,kauchēma,STATUS,S100,10,"pride; boast; boasting; joy; glorying; ground; matter; exultation; complimentary; testimony"
M08,Pride,G2746,kauchēsis,STATUS,S100,8,"pride; boasting; glorying; refer; depending; object; boast; later"
M08,Pride,G5113,tolmētēs,STATUS,S100,5,"bold; daring; bad; presumptuous; audacious"
M08,Pride,G5187,tufoō,ACTION,A100,9,"conceited; implying; foolishness; besmoke; possess; fumes; conceit; demented; puffed"
M08,Pride,G5243,huperēfania,STATUS,S100,3,"pride; arrogance; haughtiness"
M08,Pride,G5244,huperēfanos,QUALITY,Q100,9,"arrogant; exceedingly; beyond; measure; super-apostles; highest; degree; preeminently; superlatively"
M08,Pride,G5252,huperfroneō,ACTION,A100,8,"haughty; think; too; highly; lofty; thoughts; elated; self"
M08,Pride,G5308,hupsēlos,QUALITY,Q100,14,"high; mighty; proud; arrogant; highly; valued; exalted; lofty; elevated; highest; heaven; upraised; esteemed; thoughts"
M08,Pride,G5309,hupsēlofroneō,ACTION,A100,5,"arrogant; proud; lofty; thoughts; haughty"
M08,Pride,G5367,filautos,QUALITY,Q100,3,"selfish; loving; self-loving"
M08,Pride,G5448,fusioō,ACTION,A100,8,"inflate; puff; proud; arrogant; pride; vanity; inflated; vain"
M08,Pride,G5450,fusiōsis,STATUS,S100,4,"arrogance; pride; inflation; mind"
M08,Pride,H1341,ge,QUALITY,Q100,1,"proud"
M08,Pride,H1342,ga.ah,ACTION,A100,3,"grow; exalted; triumph"
M08,Pride,H1343,ge.eh,QUALITY,Q100,1,"proud"
M08,Pride,H1344,ge.ah,STATUS,S100,1,"pride"
M08,Pride,H1346,ga.a.vah,STATUS,S100,3,"pride; majesty; rising"
M08,Pride,H1347,ga.on,STATUS,S100,3,"pride; exaltation; majesty"
M08,Pride,H1348,ge.ut,STATUS,S100,1,"majesty"
M08,Pride,H1361,ga.vah,ACTION,A100,3,"exult; high; exalted"
M08,Pride,H1363,go.vah,STATUS,S100,2,"height; exaltation"
M08,Pride,H1364,ga.vo.ah,QUALITY,Q100,7,"high; exalted; tall; proud; haughty; loftiness; vah"
M08,Pride,H1365,gav.hut,STATUS,S100,1,"haughtiness"
M08,Pride,H1466,ge.vah,STATUS,S100,2,"pride; lifting"
M08,Pride,H1467,ge.vah,QUALITY,Q100,1,"pride"
M08,Pride,H1984H,ha.lal,ACTION,A100,9,"boast; praise; boastful; boasters; praised; praiseworthy; commended; worthy; glory"
M08,Pride,H2086,zed,QUALITY,Q100,4,"arrogant; proud; insolent; presumptuous"
M08,Pride,H2087,za.don,STATUS,S100,4,"arrogance; pride; insolence; presumptuousness"
M08,Pride,H2102,zid,ACTION,A100,8,"boil; seethe; proudly; presumptuously; rebelliously; presumptuous; arrogant; proud"
M08,Pride,H2103,zud,QUALITY,Q100,3,"proud; proudly; presumptuous"
M08,Pride,H4791,ma.rom,STATUS,S100,1,"height"
M08,Pride,H5719,a.din,QUALITY,Q100,1,"voluptuous"
M08,Pride,H6967,qo.mah,STATUS,S100,1,"height"
M08,Pride,H7292,ra.hav,ACTION,A100,6,"assertive; behave; proudly; stormily; boisterously; arrogantly"
M08,Pride,H7293,ra.hav,STATUS,S100,13,"rahab; location; first; mentioned; referred; egypt; egyptian; women; ham; emblematic; name; pride; arrogance"
M08,Pride,H7295,ra.hav,STATUS,S100,2,"proud; defiant"
M08,Pride,H7296,ro.hav,STATUS,S100,3,"pride; arrogance; object"
M08,Pride,H7311A,rum,ACTION,A100,4,"exalt; high; lofty; exalted"
M08,Pride,H7312,rum,STATUS,S100,3,"height; haughtiness; elevation"
M08,Pride,H7830,sha.chats,STATUS,S100,2,"pride; dignity"
M08,Pride,H7986,shal.le.tet,QUALITY,Q100,2,"imperious; domineering"
M09,Humility,G1299,diatassō,ACTION,A100,12,"direct; command; order; required; ordered; effect; arrange; precise; arrangement; prescribe; charge; ordain"
M09,Humility,G3356,metriopatheō,ACTION,A100,7,"gentle; deal; gentlybe; moderate; passions; gently; compassionate"
M09,Humility,G3635,okneō,ACTION,A100,3,"delay; slow; hesitate"
M09,Humility,G4587,semnotēs,STATUS,S100,6,"dignity; holiness; seriousness; majesty; gravity; dignified"
M09,Humility,G5011,tapeinos,QUALITY,Q100,11,"lowly; humble; downcast; timid; low; situation; poor; mean; depressed; mind; modest"
M09,Humility,G5012,tapeinofrosunē,STATUS,S100,5,"humility; humbleness; modesty; lowliness; mind"
M09,Humility,G5013,tapeinoō,ACTION,A100,18,"humble; lower; humbled; low; need; depress; level; abase; descend; live; pride; self; exhibit; humility; contrition; hopes; expectations; disappointment"
M09,Humility,G5014,tapeinōsis,STATUS,S100,7,"lowliness; humbleness; humiliation; depression; low; estate; abject"
M09,Humility,G5218,hupakoē,STATUS,S100,5,"obedience; hearkening; submissiveness; submission; compliance"
M09,Humility,G5219,hupakouō,—,,8,"obey; obedient; answer; ear; listen; render; submissive; acceptance"
M09,Humility,G5292,hupotagē,STATUS,S100,4,"submission; obedience; subordination; submissiveness"
M09,Humility,H1793A,dak.ka,—,,1,"contrite"
M09,Humility,H3349,yiq.qe.hah,STATUS,S100,3,"obedience; cleansing; purging"
M09,Humility,H3665,ka.na,ACTION,A100,5,"humble; humbled; subdued; low; subjection"
M09,Humility,H5081G,na.div,STATUS,S80/Q20,12,"noble; willing; inclined; generous; incited; princely; living; united; monarchy; only; mentioned; sng"
M09,Humility,H6800A,tsa.na,ACTION,A100,3,"humble; modest; lowly"
M09,Humility,H6800B,tsa.nu.a,QUALITY,Q100,2,"humble; modest"
M10,Sin,G0092,adikēma,STATUS,S100,4,"crime; unrighteous; unjust; injustice"
M10,Sin,G0094,adikos,QUALITY,Q100,3,"unjust; judge; unrighteous"
M10,Sin,G0264,hamartanō,ACTION,A100,8,"sin; wrong; contrary; law; god; miss; error; guilty"
M10,Sin,G0265,hamartēma,STATUS,S100,7,"sin; wrongdoing; contrary; law; god; error; offence"
M10,Sin,G0266,hamartia,STATUS,S100,18,"sin; wrongdoing; contrary; law; god; error; offence; principle; proneness; sinful; propensity; guilt; imputation; guilty; subject; sin-offering; expiatory; victim"
M10,Sin,G0268,hamartōlos,QUALITY,Q100,15,"sinful; failure; sinner; violates; god; law; contexts; orthodox; traditions; behaviors; deviates; path; virtue; depraved; detestable"
M10,Sin,G0646,apostasia,STATUS,S100,6,"apostasy; turning; away; rebellion; abandonment; falling"
M10,Sin,G0988,blasfēmia,STATUS,S94/A6,6,"blasphemy; slander; malicious; talk; railing; reproach"
M10,Sin,G0989,blasfēmos,QUALITY,Q100,9,"blasphemous; slanderous; abusive; evil; hurtful; reviler; blasphemer; railing; reproachful"
M10,Sin,G1185,deleazō,ACTION,A100,7,"entice; seduce; lure; entrap; catch; bait; allure"
M10,Sin,G1311,diaftheirō,ACTION,A100,6,"destroy; corrupt; utterly; waste; decay; pervert"
M10,Sin,G3845,parabainō,ACTION,A100,10,"transgress; break; leave; aside; step; side; deviate; violate; incur; forfeiture"
M10,Sin,G3847,parabasis,STATUS,S100,7,"transgression; breaking; violation; stepping; side; deviation; law"
M10,Sin,G3848,parabatēs,STATUS,S100,3,"transgressor; deserter; apostate"
M10,Sin,G3900,paraptōma,STATUS,S100,16,"trespass; transgression; sin; failure; command; stepping; bounds; god; law; stumbling; aside; false; step; fault; offence; faith"
M10,Sin,G4942,sunupokrinomai,ACTION,A100,7,"join; hypocrisy; hypocritical; dissemble; feign; playing; hypocrite"
M10,Sin,G5351,ftheirō,ACTION,A100,11,"destroy; corrupt; corrupted; destroyed; perish; led; astray; spoil; ruin; morally; deprave"
M10,Sin,G5356,fthora,STATUS,S100,14,"corruption; perishableness; destruction; depravity; decay; ruin; corruptibility; mortality; corruptible; perishable; substance; killing; slaughter; spiritual"
M10,Sin,H0205H,a.ven,STATUS,S100,4,"evil; trouble; wickedness; sorrow"
M10,Sin,H0816,a.sham,ACTION,A100,6,"guilty; offend; trespass; desolate; acknowledge; offense"
M10,Sin,H0817,a.sham,STATUS,S100,4,"guilt; offering; offense; guiltiness"
M10,Sin,H0818,a.shem,QUALITY,Q100,2,"guilty; faulty"
M10,Sin,H0819,ash.mah,STATUS,S88/A12,5,"guiltiness; guilt; offense; sin; wrong-doing"
M10,Sin,H0898,ba.gad,ACTION,A100,3,"treacherously; deceitfully; deal"
M10,Sin,H2017,ho.phekh,STATUS,S100,2,"perversity; perverseness"
M10,Sin,H2254B,cha.val,ACTION,A100,5,"destroy; spoil; deal; corruptly; offend"
M10,Sin,H2256D,che.vel,STATUS,S100,1,"destruction"
M10,Sin,H2398,cha.ta,ACTION,A99/S1,8,"sin; miss; wrong; incur; guilt; forfeit; purify; uncleanness"
M10,Sin,H2399,chet,STATUS,S100,1,"sin"
M10,Sin,H2400,chat.ta,QUALITY,Q100,7,"sinner; sinners; sinful; exposed; condemnation; reckoned; offenders"
M10,Sin,H2401,cha.ta.ah,STATUS,S100,2,"sin; offering"
M10,Sin,H2403A,chat.ta.ah,STATUS,S100,2,"sin; sinful"
M10,Sin,H2403B,chat.tat,STATUS,S100,9,"sin; offering; guilt; punishment; sin-offering; purification; sins; ceremonial; uncleanness"
M10,Sin,H2403H,chat.tat,STATUS,S100,9,"sin; offering; guilt; punishment; sin-offering; purification; sins; ceremonial; uncleanness"
M10,Sin,H2403I,chat.tat,STATUS,S100,9,"sin; punishment; purification; offering; guilt; sin-offering; sins; ceremonial; uncleanness"
M10,Sin,H2475,cha.loph,STATUS,S100,5,"destruction; passing; away; vanishing; appointed"
M10,Sin,H3725,kip.pu.rim,STATUS,S100,1,"atonement"
M10,Sin,H3891,la.zut,STATUS,S100,3,"perversity; deviation; crookedness"
M10,Sin,H4297,mut.teh,STATUS,S100,3,"perversion; perverted; warped"
M10,Sin,H4603,ma.al,ACTION,A100,6,"unfaithful; unfaithfully; treacherously; transgress; commit; trespass"
M10,Sin,H4604,ma.al,STATUS,S97/A3,4,"unfaithfulness; unfaithful; treacherous; trespass"
M10,Sin,H4889,mash.chit,STATUS,S100,2,"destruction; ruin"
M10,Sin,H4892,mash.chet,STATUS,S100,2,"destruction; ruin"
M10,Sin,H4893B,ma.she.chat,STATUS,S100,1,"corruption"
M10,Sin,H5040,nav.lut,STATUS,S100,4,"lewdness; immodesty; shamelessness; pudenda"
M10,Sin,H5494,sur,QUALITY,Q100,1,"degenerate"
M10,Sin,H5557,sa.laph,ACTION,A100,5,"pervert; twist; distort; overturn; ruin"
M10,Sin,H5627,sa.rah,STATUS,S100,6,"revolt; apostasy; defection; turning; aside; withdrawal"
M10,Sin,H5753A,a.vah,ACTION,A100,3,"twist; bend; distort"
M10,Sin,H5753B,a.vah,ACTION,A100,4,"pervert; commit; iniquity; wrong"
M10,Sin,H5760,a.vil,STATUS,S100,2,"unjust; perverse"
