cluster,cluster_name,strongs,translit,type,type_mix,n_keywords,keywords
M10b,Wickedness,G4190,ponēros,QUALITY,Q100,27,"evil; bad; negative; quality; object; wicked; crime; opposed; god; goodness; deed; title; satan; unsound; afflictive; wrongful; malignant; malevolent; impious; wrong; wickedness; slothful; inactive; devil; eye; envious; covetous"
M10b,Wickedness,G5337,faulos,QUALITY,Q100,5,"evil; vile; refuse; bad; wicked"
M10b,Wickedness,H0205G,a.ven,STATUS,S100,4,"evil; trouble; wickedness; sorrow"
M10b,Wickedness,H4849,mir.sha.at,STATUS,S100,1,"wickedness"
M10b,Wickedness,H7455,ro.a,STATUS,S100,2,"evil; badness"
M10b,Wickedness,H7562,re.sha,STATUS,S100,3,"wickedness; wrong; guilt"
M10b,Wickedness,H7563,ra.sha,STATUS,S100,2,"wicked; criminal"
M10b,Wickedness,H8251,shiq.quts,STATUS,S100,5,"abomination; detestable; idol; abominable; detested"
M10b,Wickedness,H8441,to.e.vah,STATUS,S100,3,"abomination; disgusting; abominable"
M10c,Defilement,G0167,akatharsia,STATUS,S100,8,"impurity; filthiness; relation; sexual; sin; uncleanness; lewdness; motive"
M10c,Defilement,G0169,akathartos,QUALITY,Q100,5,"unclean; impure; lewd; foul; evil"
M10c,Defilement,G3394,miasmos,STATUS,S100,4,"defilement; corruption; pollution; defiling"
M10c,Defilement,G3435,molunō,ACTION,A100,7,"defile; soil; stain; impure; sully; contaminate; morally"
M10c,Defilement,G3436,molusmos,STATUS,S100,3,"defilement; contamination; pollution"
M10c,Defilement,H2930A,ta.me,ACTION,A100,3,"defile; unclean; impure"
M10c,Defilement,H2931,ta.me,QUALITY,Q100,2,"unclean; impure"
M10c,Defilement,H5079,nid.dah,STATUS,S100,4,"impurity; filthiness; menstruous; apart"
M11,Repentance,G0580,apobolē,STATUS,S100,6,"deprivation; rejection; loss; casting; reprobation; life"
M11,Repentance,G0604,apokatallassō,—,,8,"reconcile; reunite; transfer; certain; quite; different; restore; favor"
M11,Repentance,G0859,afesis,STATUS,S100,9,"forgiveness; pardon; release; cancellation; debt; dismission; deliverance; captivity; remission"
M11,Repentance,G0863G,afiēmi,ACTION,A100,36,"release; leave; forgive; pardon; remit; cancel; abandon; permit; tolerate; send; away; dismiss; suffer; depart; emit; voice; cry; utter; exclamation; spirit; expire; omit; pass; alone; care; forbid; yield; resign; relax; less; intense; desert; forsake; remaining; behind; death"
M11,Repentance,G0863H,afiēmi,ACTION,A100,36,"release; forgive; pardon; remit; cancel; leave; abandon; permit; tolerate; send; away; dismiss; suffer; depart; emit; voice; cry; utter; exclamation; spirit; expire; omit; pass; alone; care; forbid; yield; resign; relax; less; intense; desert; forsake; remaining; behind; death"
M11,Repentance,G0863I,afiēmi,ACTION,A100,36,"release; permit; forgive; pardon; remit; cancel; leave; abandon; tolerate; send; away; dismiss; suffer; depart; emit; voice; cry; utter; exclamation; spirit; expire; omit; pass; alone; care; forbid; yield; resign; relax; less; intense; desert; forsake; remaining; behind; death"
M11,Repentance,G1813,exaleifō,ACTION,A100,8,"blot; wipe; away; cancel; anoint; smear; obliterate; guilt"
M11,Repentance,G2644,katallassō,ACTION,A100,4,"reconcile; change; exchange; reconciled"
M11,Repentance,H3722A,kip.per,ACTION,A100,5,"atone; cover; purge; atonement; reconciliation"
M11,Repentance,H5162H,na.cham,ACTION,A100,15,"sorry; relent; console; repent; regret; comfort; comforted; moved; pity; compassion; rue; suffer; grief; ease; consoled"
M11,Repentance,H5545,sa.lach,ACTION,A100,2,"forgive; pardon"
M11,Repentance,H5546,sal.lach,QUALITY,Q100,3,"forgiving; ready; forgive"
M11,Repentance,H5547,se.li.chah,STATUS,S100,1,"forgiveness"
M11,Repentance,H5749A,ud,ACTION,A100,3,"return; repeat; again"
M11,Repentance,H7725N,shuv,ACTION,A100,36,"return; recall; back; dying; human; relations; spiritual; apostatise; away; repent; inanimate; repetition; restore; refresh; repair; lead; turning; restored; draw; relinquish; payment; report; answer; requital; pay; backward; repel; defeat; repulse; hinder; reject; refuse; mind; reverse; revoke; returned"
M12,Purity,G0047,hagneia,STATUS,S100,4,"purity; sexual; conduct; chastity"
M12,Purity,G0048,hagnizō,ACTION,A100,9,"purify; ceremonially; cleanse; morally; reform; live; vow; abstinence; nazarites"
M12,Purity,G0049,hagnismos,STATUS,S100,2,"purification; abstinence"
M12,Purity,G0053,hagnos,QUALITY,Q100,5,"pure; innocent; chaste; modest; blameless"
M12,Purity,G0054,hagnotēs,STATUS,S100,2,"purity; life"
M12,Purity,G0097,adolos,QUALITY,Q100,5,"pure; uncontaminated; tainted; deceit; sincere"
M12,Purity,G0172,akakos,QUALITY,Q100,6,"innocent; free; evil; blameless; simple; unsuspecting"
M12,Purity,G0178,akatakritos,QUALITY,Q100,3,"uncondemned; trial; public"
M12,Purity,G0338,anaitios,QUALITY,Q100,2,"innocent; guiltless"
M12,Purity,G0361,anamartētos,QUALITY,Q100,3,"sinless; sin; guiltless"
M12,Purity,G0462,anosios,QUALITY,Q100,3,"unholy; impious; wicked"
M12,Purity,G0505,anupokritos,QUALITY,Q100,9,"genuine; sincere; hypocrisy; character; lacking; pretense; prideful; unfeigned; real"
M12,Purity,G0861,aftharsia,STATUS,S100,9,"incorruptibility; imperishableness; immortality; soundness; purity; purely; sincerely; constantly; unfailingly"
M12,Purity,G1472,enchriō,ACTION,A100,2,"rub; anoint"
M12,Purity,G1506,eilikrinēs,QUALITY,Q100,10,"pure; wholesome; being; viewed; sunshine; found; clear; spotless; sincere; ingenuous"
M12,Purity,G2025,epichriō,ACTION,A100,4,"rub; anoint; spread; smear"
M12,Purity,G2511,katharizō,ACTION,A100,15,"clean; cleanse; purify; render; pure; leprosy; sin; expiatory; offering; expiation; free; influence; error; pronounce; ceremonially"
M12,Purity,G2512,katharismos,STATUS,S100,7,"cleansing; purification; washing; ceremonial; mode; lepers; expiation"
M12,Purity,G2513,katharos,QUALITY,Q100,15,"clean; pure; clear; responsibility; innocent; unsoiled; guilt; guiltless; sincere; upright; virtuous; void; evil; ceremonially; morally"
M12,Purity,G3392,miainō,ACTION,A100,13,"stain; pollute; defile; defiled; corrupted; ceremonially; unclean; ceremonial; uncleanness; tinge; dye; corrupt; deprave"
M12,Purity,G3445,morfoō,ACTION,A100,4,"formed; shape; mold; fashion"
M12,Purity,G3741,hosios,QUALITY,Q100,16,"sacred; holy; pious; devout; divine; decree; sanctioned; supreme; law; god; nature; pure; supremely; pledged; bounties; mercies"
M12,Purity,H2889,ta.hor,QUALITY,Q100,2,"pure; clean"
M12,Purity,H2890,te.hor,QUALITY,Q100,4,"pureness; cleanness; clean; pure"
M12,Purity,H2891,ta.her,ACTION,A100,2,"pure; clean"
M12,Purity,H2892A,to.har,STATUS,S100,3,"purity; purification; purifying"
M12,Purity,H2892B,to.har,STATUS,S100,2,"clearness; lustre"
M12,Purity,H2893,to.ho.rah,STATUS,S100,5,"purifying; cleansing; purification; purity; cleanness"
M12,Purity,H2932,tum.ah,STATUS,S100,1,"uncleanness"
M12,Purity,H4357,mikh.lah,STATUS,S100,2,"perfection; completeness"
M12,Purity,H4974,me.tom,STATUS,S100,3,"soundness; entirety; entire"
M12,Purity,H5144A,na.zar,ACTION,A100,5,"dedicate; consecrate; separate; devote; sacredly"
M12,Purity,H5352,na.qah,ACTION,A100,7,"clear; empty; pure; free; innocent; desolate; cut"
M12,Purity,H5355A,na.qi,QUALITY,Q100,5,"innocent; clean; free; exempt; clear"
M12,Purity,H5355B,na.qi,QUALITY,Q100,1,"innocent"
M12,Purity,H5414G,na.tan,ACTION,A100,41,"deliver; send; produce; bestow; grant; permit; ascribe; employ; devote; consecrate; dedicate; pay; wages; sell; exchange; lend; commit; entrust; yield; occasion; requite; report; mention; utter; stretch; extend; appoint; assign; designate; constitute; bestowed; provided; entrusted; granted; permitted; issued; published; uttered; assigned; inflicted; delivered"
M12,Purity,H6696C,tsur,ACTION,A100,2,"fashion; delineate"
M12,Purity,H6918H,qa.dosh,QUALITY,Q100,6,"holy; saint; priest; sacred; apart; sub-meaning"
M12,Purity,H6942G,qa.dash,ACTION,A100,23,"consecrate; consecate; sanctify; prepare; dedicate; hallowed; holy; sanctified; separate; apart; consecrated; tabooed; sacred; majestic; honoured; treated; observe; honour; hallow; dedicated; devote; treat; observed"
M12,Purity,H6942H,qa.dash,ACTION,A100,22,"consecrate; dedicate; sanctify; prepare; hallowed; holy; sanctified; separate; apart; consecrated; tabooed; sacred; majestic; honoured; treated; observe; honour; hallow; dedicated; devote; treat; observed"
M12,Purity,H6942I,qa.dash,ACTION,A100,23,"consecrate; forfeit; sanctify; prepare; dedicate; hallowed; holy; sanctified; separate; apart; consecrated; tabooed; sacred; majestic; honoured; treated; observe; honour; hallow; dedicated; devote; treat; observed"
M12,Purity,H6942J,qa.dash,ACTION,A100,22,"consecrate; prepare; apart; sanctify; dedicate; hallowed; holy; sanctified; separate; consecrated; tabooed; sacred; majestic; honoured; treated; observe; honour; hallow; dedicated; devote; treat; observed"
M12,Purity,H6942K,qa.dash,ACTION,A100,23,"consecrate; holiness; sanctify; prepare; dedicate; hallowed; holy; sanctified; separate; apart; consecrated; tabooed; sacred; majestic; honoured; treated; observe; honour; hallow; dedicated; devote; treat; observed"
M12,Purity,H8502,tikh.lah,STATUS,S100,3,"perfection; completion; completeness"
M12,Purity,H8549G,ta.mim,QUALITY,Q100,13,"unblemished; complete; whole; entire; sound; healthful; wholesome; unimpaired; innocent; integrity; entirely; truth; fact"
M12,Purity,H8549H,ta.mim,QUALITY,Q100,14,"unblemished; blameless; complete; whole; entire; sound; healthful; wholesome; unimpaired; innocent; integrity; entirely; truth; fact"
M12,Purity,H8549I,ta.mim,QUALITY,Q100,13,"unblemished; complete; whole; entire; sound; healthful; wholesome; unimpaired; innocent; integrity; entirely; truth; fact"
M12,Purity,H8549J,ta.mim,QUALITY,Q100,14,"unblemished; thummim; complete; whole; entire; sound; healthful; wholesome; unimpaired; innocent; integrity; entirely; truth; fact"
M13,Truth,G0225,alētheia,STATUS,S100,11,"truth; truthfulness; corresponding; reality; love; sincerity; divine; revealed; practice; accordance; gospel"
M13,Truth,G0226,alētheuō,ACTION,A100,7,"truthful; tell; truth; speak; maintain; truly; sincerely"
M13,Truth,G0227,alēthēs,QUALITY,Q100,8,"true; worthy; credit; trustworthy; valid; truthful; genuine; reliable"
M13,Truth,G0228,alēthinos,QUALITY,Q100,6,"true; sterling; real; genuine; unfeigned; trustworthy"
M13,Truth,G0278,ametameletos,QUALITY,Q100,4,"irrevocable; repented; enduring; regret"
M13,Truth,G0573,haplous,QUALITY,Q100,4,"sound; single; simple; uncompounded"
M13,Truth,G0950,bebaioō,ACTION,A100,12,"confirm; strong; establish; render; constant; unwavering; strengthen; arguments; proofs; ratify; verify; promises"
M13,Truth,G0951,bebaiōsis,STATUS,S100,3,"confirmation; firm; establishment"
M13,Truth,G1505,eilikrineia,STATUS,S100,11,"sincerity; positive; quality; purity; extension; unadulterated; unmixed; substance; clearness; integrity; ingenuousness"
M13,Truth,G4103,pistos,QUALITY,Q100,20,"faithful; trustworthy; reliable; believing; true; trusty; trust; veracious; credible; sure; certain; indubitable; yielding; belief; confidence; specifically; christian; believer; true-hearted; right-mindedly"
M13,Truth,H0529,e.mun,QUALITY,Q88/S12,3,"faithful; faithfulness; trusting"
M13,Truth,H0530,e.mu.nah,STATUS,S100,5,"faithfulness; firmness; fidelity; steadfastness; steadiness"
M13,Truth,H0539,a.man,ACTION,A100,3,"faithful; support; confirm"
M13,Truth,H0544,o.men,STATUS,S100,1,"faithfulness"
M13,Truth,H0548,a.ma.nah,STATUS,S100,4,"sure; faith; support; certain"
M13,Truth,H0571G,e.met,STATUS,S100,21,"truth; faithful; firmness; faithfulness; sureness; reliability; stability; continuance; reliableness; spoken; testimony; judgment; divine; instruction; body; ethical; religious; knowledge; true; doctrine; truly"
M13,Truth,H0571H,e.met,STATUS,S100,20,"truth; true; firmness; faithfulness; sureness; reliability; stability; continuance; reliableness; spoken; testimony; judgment; divine; instruction; body; ethical; religious; knowledge; doctrine; truly"
M13,Truth,H0571I,e.met,STATUS,S100,22,"truth; certain; fixed; firmness; faithfulness; sureness; reliability; stability; continuance; reliableness; spoken; testimony; judgment; divine; instruction; body; ethical; religious; knowledge; true; doctrine; truly"
M13,Truth,H3477G,ya.shar,QUALITY,Q100,4,"upright; right; straight; correct"
M13,Truth,H3477I,ya.shar,QUALITY,Q100,4,"upright; straight; correct; right"
M13,Truth,H5228,na.kho.ach,QUALITY,Q100,5,"straightforward; straight; right; straightness; front"
M13,Truth,H5749B,ud,ACTION,A100,2,"testify; witness"
M13,Truth,H8088A,she.ma,—,,1,"sound"
M13,Truth,H8266,sha.qar,ACTION,A100,5,"deal; falsely; false; trick; cheat"
M13,Truth,H8537,tom,STATUS,S100,2,"integrity; completeness"
M13,Truth,H8538,tum.mah,STATUS,S100,1,"integrity"
M14,Deceit,G0539,apatē,STATUS,S100,4,"deceit; deception; deceitfulness; delusion"
M14,Deceit,G0802,asunthetos,QUALITY,Q100,5,"untrustworthy; faithless; unable; trusted; undutiful"
M14,Deceit,G1386,dolios,QUALITY,Q100,4,"deceitful; fraudulent; dishonest; tricky"
M14,Deceit,G1387,dolioō,ACTION,A100,4,"deceive; practice; deceit; fraud"
M14,Deceit,G1388,dolos,STATUS,S100,14,"deceit; bait; contrivance; entrapping; fraud; cunning; guile; slyness; trickery; extension; base; trapping; animal; baiting"
M14,Deceit,G1389,doloō,ACTION,A100,6,"distort; falsify; entrap; beguile; adulterate; corrupt"
M14,Deceit,G1426,dusfēmia,STATUS,S100,7,"slander; bad; report; ill; omen; reproach; contumely"
M14,Deceit,G1917,epiboulē,STATUS,S100,5,"plot; plan; purpose; design; conspiracy"
M14,Deceit,G2636,katalalia,STATUS,S100,8,"slander; defamation; evil; speech; evil-speaking; detraction; backbiting; slandering"
M14,Deceit,G2637,katalalos,QUALITY,Q100,4,"slanderous; defamatory; detractor; slanderer"
M14,Deceit,G2686,katasofizomai,ACTION,A100,13,"cunning; deal; craftily; exercise; cleverness; detriment; shrewdly; outwit; victim; subtlety; practice; insidious; dealing"
M14,Deceit,G4273,prodotēs,STATUS,S100,3,"traitor; betrayer; treacherous"
M14,Deceit,G5271,hupokrinō,ACTION,A100,9,"pretend; believe; answer; respond; stage; assume; counterfeit; character; feign"
M14,Deceit,G5272,hupokrisis,STATUS,S100,14,"hypocrisy; implying; arrogance; hardness; heart; utterly; devoid; sincerity; genuineness; response; answer; over-acting; personification; simulation"
M14,Deceit,G5273,hupokritēs,STATUS,S100,16,"hypocrite; implying; arrogance; hardness; heart; utterly; devoid; sincerity; genuineness; giver; answer; response; stageplayer; actor; religious; counterfeit"
M14,Deceit,G5542,chrēstologia,STATUS,S100,8,"smooth; talk; attractive; speech; bland; address; fair; speaking"
M14,Deceit,G5569,pseudadelfos,STATUS,S100,4,"false; brother; pretend; christian"
M14,Deceit,G5578,pseudoprofētēs,STATUS,S100,13,"false; prophet; falsely; claims; speak; divine; inspiration; whether; foreteller; future; events; teacher; doctrines"
M14,Deceit,G5580,pseudochristos,STATUS,S100,5,"false; christ; christs; pretend; messiah"
M14,Deceit,H0899A,be.ged,STATUS,S100,2,"treachery; deceit"
M14,Deceit,H0900,bo.ge.dot,STATUS,S100,4,"treachery; treacherous; treacherousness; behaviour"
M14,Deceit,H0901,ba.god,QUALITY,Q100,2,"treacherous; deceitful"
M14,Deceit,H1681,dib.bah,STATUS,S100,5,"slander; whispering; defamation; evil; report"
M14,Deceit,H1848,do.phi,STATUS,S100,3,"slander; blemish; fault"
M14,Deceit,H2019,ha.phakh.pakh,QUALITY,Q100,2,"crooked; perverted"
M14,Deceit,H2790A,cha.rash,ACTION,A100,6,"plow; plot; cut; plough; engrave; devise"
M14,Deceit,H2810,chish.sha.von,STATUS,S100,2,"invention; device"
M14,Deceit,H3868,luz,ACTION,A100,3,"devious; depart; aside"
M14,Deceit,H3908,la.chash,STATUS,S100,3,"charm; whispering; charming"
M14,Deceit,H4209,me.zim.mah,STATUS,S100,4,"plot; purpose; discretion; device"
M14,Deceit,H4284,ma.cha.sha.vah,STATUS,S100,3,"plot; thought; device"
M14,Deceit,H4820,mir.mah,STATUS,S100,2,"deceit; treachery"
M14,Deceit,H5558,se.leph,STATUS,S100,4,"crookedness; perverseness; crooked; dealing"
M14,Deceit,H5956,a.lam,ACTION,A100,5,"conceal; hide; hidden; concealed; secret"
M14,Deceit,H6195,or.mah,STATUS,S100,3,"craftiness; shrewdness; prudence"
M14,Deceit,H7400,ra.khil,STATUS,S100,5,"slander; slanderer; tale; bearer; informer"
M14,Deceit,H7411B,ra.mah,ACTION,A100,5,"deceive; beguile; mislead; deal; treacherously"
M14,Deceit,H7423A,re.miy.yah,STATUS,S100,2,"deceit; treachery"
M14,Deceit,H7423B,re.miy.yah,STATUS,S100,3,"slackness; laxness; slackening"
M14,Deceit,H8267,she.qer,STATUS,S100,4,"deception; lie; disappointment; falsehood"
M14,Deceit,H8649A,tor.mah,STATUS,S100,2,"treachery; treacherously"
M14,Deceit,H8649B,tar.mit,STATUS,S100,4,"deceitfulness; treachery; fraud; deceit"
M15,Wisdom,G0050,agnoeō,ACTION,A100,5,"ignorant; know; understand; sin; ignorance"
M15,Wisdom,G0145,aisthētērion,STATUS,S100,4,"organ; perception; internal; faculty"
M15,Wisdom,G0781,asofos,QUALITY,Q100,5,"unwise; foolish; destitute; christian; wisdom"
M15,Wisdom,G0801,asunetos,QUALITY,Q100,9,"senseless; dull; understanding; foolish; unintelligent; reckless; perverse; unenlightened; heathenish"
M15,Wisdom,G1011,bouleuō,ACTION,A100,9,"plan; plans; consider; decide; plot; counsel; deliberate; purpose; determine"
M15,Wisdom,G1014,boulomai,ACTION,A100,11,"plan; wish; desire; choose; determine; willing; disposed; intend; pleased; decree; appoint"
M15,Wisdom,G1106,gnōmē,STATUS,S100,16,"resolution; purpose; resolve; judgment; consent; mind; knowing; judging; assent; opinion; suggestion; suggested; advice; distinguished; positive; injunction"
M15,Wisdom,G1128,gumnazō,ACTION,A100,5,"train; exercise; gymnastic; discipline; anything"
M15,Wisdom,G1226,diabebaioō,ACTION,A100,6,"insist; confidently; affirm; stress; assert; strongly"
M15,Wisdom,G1231,diaginōskō,ACTION,A100,8,"decide; determine; distinguish; resolve; determinately; examine; inquire; judicially"
M15,Wisdom,G1252,diakrinō,ACTION,A100,22,"judge; doubt; distinction; dispute; hesitate; waver; separate; sever; difference; differ; distinguish; prefer; confer; superiority; examine; scrutinize; estimate; discern; discriminate; decide; contend; mentally"
M15,Wisdom,G1256,dialegō,ACTION,A100,8,"dispute; reason; discuss; discourse; argue; address; speak; contend"
M15,Wisdom,G1260,dialogizomai,ACTION,A100,13,"discuss; think; wonder; talk; argue; settlement; accounts; reason; deliberate; ponder; consider; dispute; contend"
M15,Wisdom,G1261,dialogismos,STATUS,S100,12,"reasoning; thought; doubt; argument; dispute; cogitation; purpose; discourse; disputation; contention; hesitation; scruple"
M15,Wisdom,G1270,dianoēma,STATUS,S100,1,"thought"
M15,Wisdom,G1328,diermēneutēs,STATUS,S100,2,"interpreter; translator"
M15,Wisdom,G1503,eikō,ACTION,A100,2,"resemble; dative"
M15,Wisdom,G1760,enthumeomai,ACTION,A100,8,"reflect; think; ponder; revolve; thoroughly; mind; consider; carefully"
M15,Wisdom,G1761,enthumēsis,STATUS,S100,7,"reflection; thought; design; idea; result; invention; device"
M15,Wisdom,G1771,ennoia,STATUS,S100,6,"thought; purpose; attitude; notion; idea; intention"
M15,Wisdom,G1963,epinoia,STATUS,S100,5,"thought; intention; purpose; device; intent"
M15,Wisdom,G1990,epistēmōn,QUALITY,Q100,5,"knowing; understanding; expert; learned; discreet"
M15,Wisdom,G2058,hermēneia,STATUS,S100,6,"interpretation; explanation; meton; power; faculty; interpreting"
M15,Wisdom,G3053,logismos,STATUS,S100,8,"thought; argument; reasoning; computation; computing; cogitation; conception; device"
M15,Wisdom,G3056,logos,STATUS,S100,43,"spoken; written; focus; content; communication; matter; title; christ; emphasizing; deity; god; uttered; speech; language; talk; converse; mere; wordy; mode; discourse; style; speaking; saying; expression; formula; propounded; message; announcement; prophetic; account; statement; story; report; narrative; treatise; doctrine; subject-matter; reckoning; plea; motive; reason; gospel; divine"
M15,Wisdom,G3177,methermēneuō,ACTION,A100,3,"mean; translate; interpret"
M15,Wisdom,G3312,meristēs,STATUS,S100,3,"arbiter; divider; arbitrator"
M15,Wisdom,G3540,noēma,STATUS,S100,15,"mind; thought; scheme; design; plot; understanding; intellect; heart; soul; affections; feelings; disposition; conception; purpose; device"
M15,Wisdom,G4307,pronoia,STATUS,S100,6,"foresight; provision; care; forethought; providence; provident"
M15,Wisdom,G4388,protithēmi,ACTION,A100,8,"plan; present; purpose; propose; publicly; determine; design; beforehand"
M15,Wisdom,G4678,sofia,STATUS,S100,21,"wisdom; christ; god; basis; personified; knowledge; ability; practical; prudence; learning; science; scientific; skill; professed; human; philosophy; superior; enlightenment; divine; revealed; christian"
M15,Wisdom,G4679,sofizo,ACTION,A100,8,"wise; cleverly; invented; enlighten; invent; skilfully; devise; artfully"
M15,Wisdom,G4680,sofos,QUALITY,Q100,16,"wise; expert; skilled; class; woman; shrewd; clever; learned; intelligent; divinely; instructed; furnished; christian; wisdom; spiritually; enlightened"
M15,Wisdom,G4894,suneidō,ACTION,A100,11,"aware; share; knowledge; conscious; defective; actually; but; present; privy; clear; conscience"
M15,Wisdom,G4907,sunesis,STATUS,S100,16,"understanding; insight; intelligence; faculty; comprehension; referring; wisdom; spiritual; matters; sending; together; junction; streams; discernment; intellect; mind"
M15,Wisdom,G4908,sunetos,QUALITY,Q100,5,"intelligent; learned; discerning; wise; prudent"
M15,Wisdom,G4920,suniēmi,ACTION,A100,18,"understand; realize; bdag; discussion; send; together; comprehend; thoroughly; realise; perceive; clearly; well; judging; sensible; spiritually; intelligent; religiously; wise"
M15,Wisdom,G5424,frēn,STATUS,S100,6,"thinking; understanding; diaphragm; midriff; mind; intellect"
M15,Wisdom,G5426,froneō,ACTION,A100,18,"reason; think; opinion; mind; attitude; thought; considerate; entertain; sentiments; inclinations; minded; certain; frame; imagine; conceit; heed; pay; incline"
M15,Wisdom,G5428,fronesis,STATUS,S100,6,"understanding; wisdom; thoughtful; frame; rightmindedness; intelligence"
M15,Wisdom,G5429,fronimos,QUALITY,Q100,6,"thoughtful; considerate; prudent; discreet; sensible; wise"
M15,Wisdom,G6063,oida,ACTION,A100,16,"know; anything; knowledge; understand; perceiveof; fact; force; definite; how; skilled; cherish; pay; attention; occurs; present; pluperfect"
M15,Wisdom,H0995,bin,ACTION,A100,4,"understand; discern; consider; prudent"
M15,Wisdom,H0998,bi.nah,STATUS,S100,2,"understanding; discernment"
M15,Wisdom,H0999,bi.nah,QUALITY,Q100,2,"understanding; discernment"
M15,Wisdom,H1843,de.a,STATUS,S100,2,"knowledge; opinion"
M15,Wisdom,H1844,de.ah,STATUS,S100,1,"knowledge"
M15,Wisdom,H1847,da.at,STATUS,S100,1,"knowledge"
M15,Wisdom,H1900,ha.gut,STATUS,S100,3,"meditation; utterance; musing"
M15,Wisdom,H1901,ha.gig,STATUS,S100,4,"meditation; whisper; musing; murmuring"
M15,Wisdom,H1902H,hig.ga.von,STATUS,S100,4,"meditation; resounding; music; musing"
M15,Wisdom,H2161,za.mam,ACTION,A100,5,"plan; thought; devise; consider; purpose"
M15,Wisdom,H2445,chak.kim,QUALITY,Q100,1,"wise"
M15,Wisdom,H2450,cha.kham,QUALITY,Q100,1,"wise"
M15,Wisdom,H2452,chokh.mah,QUALITY,Q100,1,"wisdom"
M15,Wisdom,H2803G,cha.shav,ACTION,A100,26,"devise; design; skillful; think; plan; esteem; calculate; invent; judgment; imagine; count; account; mean; charge; impute; reckon; value; accounted; thought; esteemed; computed; reckoned; imputed; consider; mindful; considered"
M15,Wisdom,H2803H,cha.shav,ACTION,A100,24,"devise; count; think; plan; esteem; calculate; invent; judgment; imagine; account; mean; charge; impute; reckon; value; accounted; thought; esteemed; computed; reckoned; imputed; consider; mindful; considered"
M15,Wisdom,H2803I,cha.shav,ACTION,A100,25,"devise; plot; plan; think; esteem; calculate; invent; judgment; imagine; count; account; mean; charge; impute; reckon; value; accounted; thought; esteemed; computed; reckoned; imputed; consider; mindful; considered"
M15,Wisdom,H2803J,cha.shav,ACTION,A100,24,"devise; think; imagine; plan; esteem; calculate; invent; judgment; count; account; mean; charge; impute; reckon; value; accounted; thought; esteemed; computed; reckoned; imputed; consider; mindful; considered"
M15,Wisdom,H2808,chesh.bon,STATUS,S100,4,"explanation; account; reasoning; reckoning"
M15,Wisdom,H2938,ta.am,ACTION,A100,3,"perceive; taste; eat"
M15,Wisdom,H3045,ya.da,ACTION,A100/S0,1,"know"
M15,Wisdom,H3289,ya.ats,ACTION,A100,6,"advise; consult; counsel; purpose; devise; plan"
M15,Wisdom,H4093,mad.da,STATUS,S100,2,"knowledge; thought"
M15,Wisdom,H4486,man.da,QUALITY,Q100,4,"knowledge; power; knowing; mad"
M15,Wisdom,H5779,uts,ACTION,A100,2,"plan; counsel"
M15,Wisdom,H6175,a.rum,QUALITY,Q100,6,"prudent; subtle; shrewd; crafty; sly; sensible"
M15,Wisdom,H6191,a.rom,ACTION,A100,6,"shrewd; subtle; crafty; beware; counsel; prudent"
M15,Wisdom,H6245B,a.shat,ACTION,A100,2,"think; shit"
M15,Wisdom,H6246,a.shit,QUALITY,Q100,3,"plan; think; shat"
M15,Wisdom,H6248,ash.tut,STATUS,S100,2,"thought; idea"
M15,Wisdom,H6250,esh.to.nah,STATUS,S100,1,"thought"
M15,Wisdom,H6592,pe.sher,STATUS,S100,2,"interpretation; solution"
M15,Wisdom,H7454,re.a,STATUS,S100,3,"thought; purpose; aim"
M15,Wisdom,H7476,ra.yon,QUALITY,Q100,1,"thought"
M15,Wisdom,H7808,se.ach,STATUS,S100,1,"thought"
M15,Wisdom,H7878,si.ach,ACTION,A100,7,"muse; mediate; commune; speak; complain; ponder; sing"
M15,Wisdom,H7881,si.chah,STATUS,S100,6,"meditation; reflection; prayer; devotion; complaint; musing"
M15,Wisdom,H7896K,shit,ACTION,A100,10,"consider; lay; station; appoint; fix; mind; constitute; perform; waste; imposed"
M15,Wisdom,H7919A,sa.khal,ACTION,A100,5,"prudent; circumspect; wisely; understand; prosper"
M15,Wisdom,H7920,se.khal,QUALITY,Q100,2,"contemplate; consider"
M15,Wisdom,H7922,se.khel,STATUS,S100,3,"understanding; prudence; insight"
M15,Wisdom,H8394,te.vu.nah,STATUS,S100,2,"understanding; intelligence"
M15,Wisdom,H8454,tu.shiy.yah,STATUS,S100,6,"wisdom; sound; knowledge; success; efficient; abiding"
M15,Wisdom,H8637,tir.gal,ACTION,A100,4,"teach; foot; spy; walk"
M16,Folly,G0877,afrosunē,STATUS,S100,8,"foolishness; lack; inconsiderateness; folly; boastful; levity; wickedness; impiety"
M16,Folly,G0878,afrōn,QUALITY,Q100,9,"foolish; ignorant; unwise; inconsiderate; simple; religiously; unenlightened; boastfully; vain"
M16,Folly,G3105,mainomai,ACTION,A100,14,"rave; disordered; mind; mad; insane; think; reason; irrational; manifested; erratic; actions; lack; reasonable; speech"
M16,Folly,G3130,mania,STATUS,S100,2,"insanity; madness"
M16,Folly,G3471,mōrainō,ACTION,A100,16,"foolish; fool; saltless; tasteless; inert; insipid; play; transitive; convict; folly; convicted; incur; character; rendered; lose; savour"
M16,Folly,G3472,mōria,STATUS,S100,1,"foolishness"
M16,Folly,G3474,mōros,QUALITY,Q100,6,"foolish; dull; hebrew; fool; senseless; wickedness"
M16,Folly,G3636,oknēros,QUALITY,Q100,7,"lazy; idle; troublesome; slow; slothful; indolent; tedious"
