strongNumber,stepGloss,count,matched_clusters,matched_words
H6298,to meet,14,M37,meet
H8478K,underneath: owning,14,FLAG,owning
H0759G,citadel: palace,13,M23,palace
H5375L,to lift: exalt,13,"M08,M19","exalt,lift"
G0971,to force,13,M23,force
G2210,to lose,13,M20,lose
G1265,to remain,13,M34,remain
G0715,bear,13,M23,bear
H2263,to embrace,13,M05,embrace
H7822,boil,13,M02,boil
H1350H,to redeem: avenge,13,M26,avenge
H3867A,to join,12,M10,join
H1964H,temple: palace,12,"M23,M27","palace,temple"
H1677,bear,12,M23,bear
G0630H,to release: divorce,12,"M11,T2","divorce,release"
G2244,age/height,12,M08,height
G3327,to depart,12,M30,depart
G4017,to look around,12,"M18,M30,T2","around,look"
G4413J,first: best,12,"M08,T2",first
G0626,to defend oneself,12,FLAG,"defend,oneself"
G7530,well done,12,M33,well
G1304,to remain,12,M34,remain
G2561,oppression,12,M24,oppression
G1977,to throw on,12,M07,throw
H3906,oppression,12,M24,oppression
H5549,to build,12,"M05,T2",build
H0934,bright spot,12,FLAG,spot
H1964I,temple: nave,12,M27,temple
H7144,bald spot,11,FLAG,spot
H8154,to plunder,11,M24,plunder
G1925,to show/prove,11,"M05,M21",show
G3199,to concern,11,M20,concern
G3444,form,11,"FLAG,M12",form
G4814,to talk with,11,M14,talk
G4963,commotion/plot,11,M14,plot
G2101,well-pleasing,11,"M04,M33,M39","pleasing,well"
G1641,to have little,11,"M31,T2",little
G2740,burning,11,"M01,M02",burning
H5800C,to leave: release,11,M11,"leave,release"
H7225H,first: best,10,"M08,T2",first
G1918,to marry,10,FLAG,marry
G5221,to go meet,10,M37,meet
G2221,to capture alive,10,M25,alive
G3656,to talk,10,M14,talk
G5453,to grow,10,"M23,T2",grow
H5375V,to lift: count,10,"M15,M19,M26","count,lift"
H2436I,bosom: lap,10,M05,bosom
H5709,to pass on/over/away,9,"FLAG,M07","away,pass"
G0645,to draw away,9,M07,away
G2608,to break,9,"FLAG,T2",break
G4856,to agree with,9,M44,agree
G1229,to proclaim,9,"M41,T2",proclaim
G0634,to fall from,9,"M02,T2",fall
G1599,to send away/out,9,M07,away
G1804,to proclaim,9,"M41,T2",proclaim
H5445,to bear,9,M23,bear
H6006,to lift,9,M19,lift
H5736,to remain,9,M34,remain
H5777,lead,9,M23,lead
H6699,design,9,M15,design
H1697N,word: portion,8,"FLAG,M15,T2","portion,word"
H1965G,temple,8,M27,temple
H8210I,to pour: build siege mound,8,"M05,T2","build,pour,siege"
G0805,to secure,8,M19,secure
G0916,to burden,8,M36,burden
G2649,to testify against,8,"M13,T2","against,testify"
G4357,to remain/persist,8,M34,remain
G3858,to welcome,8,M41,welcome
G1659,to set free,8,M38,free
G1720,to breathe into,8,M25,breathe
G4413H,first: previous,8,"M08,T2",first
G0553,to expect,8,M18,expect
G4932,to cut short,8,"FLAG,T2",short
G0578,to look ahead,8,"M18,M30,T2",look
H2921,to spot,8,FLAG,spot
H7647,abundance,8,M46,abundance
H8666,turn,8,M30,turn
H3233H,right: south,8,M13,right
H4521,portion,8,"FLAG,T2",portion
H2720B,desolate,8,"M27,T2",desolate
H7560,to sign,7,M43,sign
H7725L,to return: refuse,7,"M11,M27,M45","refuse,return"
G0617,to roll away,7,"M07,T2","away,roll"
G4160I,to do/make: appoint,7,FLAG,appoint
G3911,to take away,7,M07,away
G0511,higher,7,M23,higher
G4535,tossing,7,M01,tossing
G1747,plot/ambush,7,M14,plot
G2013,to obtain,7,FLAG,obtain
G4828,to testify with,7,M13,testify
G0135,obscure thing,7,"M25,M28,T2",thing
G1366,double-edged,7,"M20,T2",double
G1983,to oversee/care for,7,M05,care
G3895,to defect,7,M07,defect
G4881,to die/destroy with,7,"FLAG,M10,T2",destroy
G1957,to testify to,7,M13,testify
H0821,watch,7,M06,watch
H7218L,head: count,7,"M15,M26",count
H6600,edict,6,"FLAG,T2",edict
H6842,male goat,6,"FLAG,T2","goat,male"
H5375R,to lift: fight,6,"M19,M35","fight,lift"
G0906J,to throw: pour,6,"M07,T2","pour,throw"
G2044,to utter/proclaim,6,"M41,T2",proclaim
G5438H,prison/watch: watch,6,M06,watch
G2231,reign,6,M23,reign
G4045,to fall upon,6,"M02,T2",fall
G4110,formed thing,6,"FLAG,M25,M28,T2","formed,thing"
G1624,to turn/wander away,6,"M07,M20,M30","away,turn,wander"
G1828,to drag out/away,6,M07,away
H0046,mighty,6,"M23,T2",mighty
H1803B,poor,6,M24,poor
H3423I,to possess: poor,6,"FLAG,M24","poor,possess"
H2436H,bosom: garment,6,M05,bosom
H5414L,to give: throw,6,M07,throw
H7847,to turn aside,6,M30,"aside,turn"
H0935L,to come [in]: marry,6,FLAG,marry
H8155,to plunder,6,M24,plunder
H5307M,to fall: fell [trees],6,"M02,T2",fall
H8229,abundance,6,M46,abundance
H6728,wild beast,6,"FLAG,T2","beast,wild"
H4483,to reckon/appoint,5,"FLAG,T2","appoint,reckon"
H1965H,temple: palace,5,"M23,M27","palace,temple"
H1660,wine press,5,"FLAG,M03",press
H1949,to make noise,5,M42,noise
H7896I,to set: appoint,5,FLAG,appoint
G4411,place of honor,5,"FLAG,M22,T2","honor,place"
G1010,member of a council,5,M17,council
G4413I,first: chief,5,"M08,T2",first
G4903,to work with,5,"M36,T2",work
G0723,plow,5,M14,plow
G1547,to marry,5,FLAG,marry
G1959,to care,5,M05,care
G5442H,to keep/guard: guard,5,"FLAG,M30","guard,keep"
G2975,to choose by lot,5,M37,choose
G1237,to receive in turn,5,M30,turn
G1826,to go out/away,5,M07,away
G0072,self-conduct,5,"M08,M15,M19,M22,M28,T2","conduct,self"
G2558,to torment,5,M03,torment
G4451,burning,5,"M01,M02",burning
G5031,quick,5,M02,quick
H0410J,El [Most High],5,"M08,T2",high
H0611,harm,5,"M03,M24,M27",harm
H3717,to double,5,"M20,T2",double
H5375S,to lift: enthuse,5,M19,lift
H6775,to join,5,M10,join
H2596,to dedicate,5,"M12,T2",dedicate
H2994,sister-in-law,5,M44,sister
H5307L,to fall: fail,5,"M02,T2",fall
H7541,temple,5,M27,temple
H1826I,to silence: destroyed,5,"M01,M27,M33","destroyed,silence"
