strongNumber,stepGloss,stepTransliteration,language,count,type
H0828,Ashpenaz,ash.pe.naz,Hebrew,1,proper_noun
H0894,Babylon,ba.vel ba.vel,Hebrew,262,proper_noun
H1095,Belteshazzar,be.le.te.shats.tsar,Hebrew,2,proper_noun
H1840G,Daniel,da.niy.yel da.ni.el,Hebrew,32,proper_noun
H2608T,Hananiah,cha.nan.ya.hu,Hebrew,4,proper_noun
H3063G,Judah,ye.hu.dah,Hebrew,810,proper_noun
H3079,Jehoiakim,ye.ho.ya.qim,Hebrew,37,proper_noun
H3389,Jerusalem,ye.ru.sha.laim ye.rush.lem,Hebrew,644,proper_noun
H3478,Israel,yis.ra.el,Hebrew,2514,proper_noun
H3778,Chaldea,kas.dim,Hebrew,86,proper_noun
H4332I,Mishael,mi.sha.el,Hebrew,4,proper_noun
H4335,Meshach,me.shakh,Hebrew,1,proper_noun
H5019,Nebuchadnezzar,ne.vu.khad.rets.tsar ne.vu.khad.nets.tsar,Hebrew,60,proper_noun
H5664,Abednego,a.ved ne.go,Hebrew,2,proper_noun
H5838Z,Azariah,a.zar.yah,Hebrew,4,proper_noun
H7714,Shadrach,shad.rakh,Hebrew,1,proper_noun
H8152,Shinar,shin.ar,Hebrew,8,proper_noun
H3566,Cyrus,ko.resh,Hebrew,15,proper_noun
H0746B,Arioch,a.r.yokh,Hebrew,5,proper_noun
H0762,Aramaic,a.ra.mit,Hebrew,5,proper_noun
H0895,Babylon,ba.vel ba.vel,Hebrew,25,proper_noun
H1841H,Daniel,da.niy.yel da.ni.el,Hebrew,55,proper_noun
H3779,Chaldean,kas.day,Hebrew,23,proper_noun
H1096,Belteshazzar,be.le.te.shats.tsar,Hebrew,8,proper_noun
H2608B,Hananiah,cha.nan.yah,Hebrew,1,proper_noun
H3061,Judah,ye.hud,Hebrew,7,proper_noun
H4333,Mishael,mi.sha.el,Hebrew,1,proper_noun
H5020,Nebuchadnezzar,ne.vu.khad.rets.tsar ne.vu.khad.nets.tsar,Hebrew,37,proper_noun
H5839,Azariah,a.zar.yah,Hebrew,1,proper_noun
H1757,Dura,du.ra,Hebrew,1,proper_noun
H4336,Meshach,me.shakh,Hebrew,14,proper_noun
H5665,Abednego,a.ved ne.go,Hebrew,28,proper_noun
H7715,Shadrach,shad.rakh,Hebrew,14,proper_noun
H1113,Belshazzar,be.le.shats.tsar be.le.shats.tsar,Hebrew,7,proper_noun
H3390,Jerusalem,ye.ru.sha.laim ye.rush.lem,Hebrew,26,proper_noun
H4076G,Mede,ma.day,Hebrew,7,proper_noun
H6540,Persia,pa.ras,Hebrew,6,proper_noun
H1868H,Darius,da.re.ya.vesh,Hebrew,6,proper_noun
H0195,Ulai,u.lay,Hebrew,2,proper_noun
H1112,Belshazzar,be.le.shats.tsar be.le.shats.tsar,Hebrew,1,proper_noun
H1403,Gabriel,gav.ri.el,Hebrew,2,proper_noun
H3120H,Greece,ya.van,Hebrew,7,proper_noun
H4074H,Media,ma.day,Hebrew,7,proper_noun
H5867A,Elam,e.lam,Hebrew,18,proper_noun
H6539,Persia,pa.ras,Hebrew,28,proper_noun
H7800,Susa,shu.shan,Hebrew,21,proper_noun
H0325,Ahasuerus,a.chash.ve.rosh,Hebrew,34,proper_noun
H1867I,Darius,da.re.ya.vesh,Hebrew,2,proper_noun
H3414L,Jeremiah,yir.me.ya.hu,Hebrew,135,proper_noun
H4074I,Mede,ma.day,Hebrew,7,proper_noun
H4714G,Egypt,mits.ra.yim,Hebrew,633,proper_noun
H4872,Moses,mo.sheh,Hebrew,766,proper_noun
H0210,Uphaz,u.phaz,Hebrew,2,proper_noun
H2313,Tigris,chid.de.qel,Hebrew,2,proper_noun
H4317Q,Michael,mi.kha.el,Hebrew,3,proper_noun
H0123G,Edom,e.dom,Hebrew,93,proper_noun
H3569G,Cushite,ku.shi,Hebrew,25,proper_noun
H3794H,Cyprus,kit.ti,Hebrew,12,proper_noun
H3864,Libya,luv,Hebrew,4,proper_noun
H4075,Mede,ma.da.ah,Hebrew,1,proper_noun
H4124G,Moab,mo.av,Hebrew,167,proper_noun
H5983,Ammon,am.mon,Hebrew,106,proper_noun
H0573,Amittai,a.mit.tay,Hebrew,2,proper_noun
H3124,Jonah,yo.nah,Hebrew,19,proper_noun
H3305,Joppa,ya.pho,Hebrew,4,proper_noun
H5210,Nineveh,ni.ne.veh,Hebrew,17,proper_noun
H5680,Hebrew,iv.ri,Hebrew,34,proper_noun
H8659H,Tarshish,tar.shish,Hebrew,25,proper_noun
H3100T,Joel,yo.el,Hebrew,1,proper_noun
H6602,Pethuel,pe.tu.el,Hebrew,1,proper_noun
H0197J,Portico,u.lam,Hebrew,27,proper_noun
H5731B,Eden,e.den,Hebrew,14,proper_noun
H6726,Zion,tsiy.yon,Hebrew,154,proper_noun
H3125,Greek,ye.va.ni,Hebrew,1,proper_noun
H6429,Philistia,pe.le.shet,Hebrew,8,proper_noun
H6721H,Sidon,tsi.don,Hebrew,18,proper_noun
H6865,Tyre,tsor,Hebrew,42,proper_noun
H7615,Sabean,she.va.i,Hebrew,1,proper_noun
H3130G,Joseph,yo.seph,Hebrew,208,proper_noun
H3290,Jacob,ya.a.qov,Hebrew,350,proper_noun
H3669A,Canaanite,ke.na.a.ni,Hebrew,68,proper_noun
H5045G,Negeb,ne.gev,Hebrew,43,proper_noun
H5614,Sepharad,se.pha.rad,Hebrew,1,proper_noun
H5662R,Obadiah,o.vad.ya.hu,Hebrew,1,proper_noun
H6215H,Esau,e.sav,Hebrew,16,proper_noun
H6886,Zarephath,tsa.re.phat,Hebrew,3,proper_noun
H8487H,Teman,te.man,Hebrew,6,proper_noun
H0271G,Ahaz,a.chaz,Hebrew,38,proper_noun
H0392G,Achzib,akh.ziv,Hebrew,2,proper_noun
H1018,Beth-ezel,bet ha.e.tsel,Hebrew,2,proper_noun
H1036,Beth-le-aphrah,bet le.aph.rah,Hebrew,2,proper_noun
H1661,Gath,gat,Hebrew,33,proper_noun
H3147H,Jotham,yo.tam,Hebrew,19,proper_noun
H3169H,Hezekiah,ye.chiz.qiy.yah,Hebrew,2,proper_noun
H3923,Lachish,la.khish,Hebrew,24,proper_noun
H4182,Moresheth-gath,mo.re.shet gat,Hebrew,2,proper_noun
H4183,Moreshethite,mo.rash.ti,Hebrew,2,proper_noun
H4318K,Micah,mi.khah,Hebrew,2,proper_noun
H4762G,Mareshah,ma.re.shah,Hebrew,7,proper_noun
H4796,Maroth,ma.rot,Hebrew,1,proper_noun
H5725,Adullam,a.dul.lam,Hebrew,8,proper_noun
H6630,Zaanan,tsa.a.nan,Hebrew,1,proper_noun
H8111,Samaria,sho.me.ron,Hebrew,109,proper_noun
H8208,Shaphir,sha.phir,Hebrew,1,proper_noun
H0672G,Ephrathah,eph.ra.tah,Hebrew,4,proper_noun
H0804G,Assyria,ash.shur,Hebrew,149,proper_noun
H1035G,Bethlehem,bet le.chem,Hebrew,80,proper_noun
H5248,Nimrod,nim.rod,Hebrew,4,proper_noun
H0175,Aaron,a.ha.ron,Hebrew,347,proper_noun
H0256G,Ahab,ach.av,Hebrew,91,proper_noun
H1109A,Balaam,bil.am,Hebrew,60,proper_noun
H1111,Balak,ba.laq,Hebrew,43,proper_noun
H1160H,Beor,be.or,Hebrew,8,proper_noun
H1537G,Gilgal,gil.gal,Hebrew,38,proper_noun
H4813G,Miriam,mir.yam,Hebrew,14,proper_noun
H6018G,Omri,om.ri,Hebrew,15,proper_noun
H7851G,Shittim,shit.tim,Hebrew,4,proper_noun
H0085,Abraham,av.ra.ham,Hebrew,175,proper_noun
H1316,Bashan,ba.shan,Hebrew,60,proper_noun
H1568G,Gilead,gil.ad,Hebrew,90,proper_noun
H4693,Egypt,ma.tsor,Hebrew,5,proper_noun
H5104G,River,na.har,Hebrew,34,proper_noun
H0882H,Beeri,be.e.ri,Hebrew,1,proper_noun
H1954J,Hosea,ho.she.a,Hebrew,3,proper_noun
H3058H,Jehu,ye.hu,Hebrew,49,proper_noun
H3101J,Joash,yo.ash,Hebrew,15,proper_noun
H3157H,Jezreel,yiz.re.el,Hebrew,25,proper_noun
H3157K,Jezreel,yiz.re.el,Hebrew,2,proper_noun
H3379H,Jeroboam,ya.ra.ve.am,Hebrew,14,proper_noun
H5818G,Uzziah,uz.ziy.ya.hu,Hebrew,23,proper_noun
H1168A,Baal,ba.al,Hebrew,76,proper_noun
H7676,Sabbath,shab.bat,Hebrew,119,proper_noun
H1732,David,da.vid,Hebrew,1076,proper_noun
H0669G,Ephraim,eph.ra.yim,Hebrew,173,proper_noun
H1007,Beth-aven,bet a.ven,Hebrew,14,proper_noun
H1144G,Benjamin,bin.ya.min,Hebrew,163,proper_noun
H1390H,Gibeah,giv.ah,Hebrew,43,proper_noun
H4709H,Mizpah,mits.pah,Hebrew,5,proper_noun
H7414G,Ramah,ra.mah,Hebrew,17,proper_noun
H0121G,Adam,a.dam,Hebrew,11,proper_noun
H7927G,Shechem,she.khem,Hebrew,51,proper_noun
H4644,Memphis,moph,Hebrew,1,proper_noun
H0206H,Aven,a.ven,Hebrew,1,proper_noun
H1008G,Bethel,bet-el,Hebrew,138,proper_noun
H1009,Beth-arbel,bet ar.vel,Hebrew,2,proper_noun
H8020,Shalman,shal.man,Hebrew,1,proper_noun
H0126,Admah,ad.mah,Hebrew,5,proper_noun
H6636,Zeboiim,tse.vo.yim,Hebrew,15,proper_noun
H0758O,Aram,a.ram,Hebrew,1,proper_noun
H3844G,Lebanon,le.va.non,Hebrew,63,proper_noun
H0567,Amorite,e.mo.ri,Hebrew,87,proper_noun
H0758I,Syria,a.ram,Hebrew,120,proper_noun
H0831,Ashkelon,ash.qe.lon,Hebrew,12,proper_noun
H1040,Beth-eden,bet e.den,Hebrew,2,proper_noun
H1130I,Ben-hadad,ben-ha.dad,Hebrew,8,proper_noun
H1224G,Bozrah,bots.rah,Hebrew,7,proper_noun
H1834,Damascus,dam.me.seq,Hebrew,45,proper_noun
H2371,Hazael,cha.za.h.el,Hebrew,23,proper_noun
H3760G,Carmel,kar.mel,Hebrew,17,proper_noun
H5804,Gaza,az.zah,Hebrew,21,proper_noun
H5986,Amos,a.mos,Hebrew,7,proper_noun
H6138,Ekron,eq.ron,Hebrew,22,proper_noun
H6430G,Philistine,pe.lish.ti,Hebrew,291,proper_noun
H7024B,Kir,qir,Hebrew,4,proper_noun
H7152H,Kerioth,qe.riy.yot,Hebrew,3,proper_noun
H7237,Rabbah,rab.bah,Hebrew,15,proper_noun
H8620,Tekoa,te.qo.a,Hebrew,7,proper_noun
G0006,Abel,abel,Greek,17,proper_noun
G0011,Abraham,abraam,Greek,255,proper_noun
G0125,Egypt,aiguptos,Greek,617,proper_noun
G0256,Alphaeus,alfaios,Greek,5,proper_noun
G0406,Andrew,andreas,Greek,13,proper_noun
G0707,Arimathea,arimathaia,Greek,4,proper_noun
G0745,Archelaus,archelaos,Greek,1,proper_noun
G0897,Babylon,babulōn,Greek,274,proper_noun
G0912,Barabbas,barabbas,Greek,11,proper_noun
G0914,Barachiah,barachias,Greek,14,proper_noun
G0918,Bartholomew,bartholomaios,Greek,4,proper_noun
G0920,Bar-Jonah,bariōnas,Greek,1,proper_noun
G0938H,Queen,basilissa,Greek,4,proper_noun
G0954,Beelzebul,beelzeboul,Greek,7,proper_noun
G0963,Bethany,bēthania,Greek,12,proper_noun
G0965,Bethlehem,bēthleem,Greek,53,proper_noun
G0966,Bethsaida,bēthsaida,Greek,7,proper_noun
G1046,Gadara,gadarēnos,Greek,4,proper_noun
G1056G,Galilee,galilaia,Greek,75,proper_noun
G1057,Galilean,galilaios,Greek,11,proper_noun
G1068,Gethsemane,gethsēmanē,Greek,2,proper_noun
G1115,Golgotha,golgotha,Greek,3,proper_noun
G1116,Gomorrah,gomorra,Greek,25,proper_noun
G1138,David,daueid dauid dabid,Greek,1150,proper_noun
G1158,Daniel,daniēl,Greek,83,proper_noun
G1179,Decapolis,dekapolis,Greek,3,proper_noun
G1212,Urim,dēlos,Greek,9,proper_noun
G1484,Gentiles,ethnos,Greek,872,proper_noun
G1638,Olivet,elaiōn,Greek,23,proper_noun
G1694,Immanuel,emmanouēl,Greek,2,proper_noun
G2194,Zebulun,zaboulōn,Greek,51,proper_noun
G2197G,Zechariah,zacharias,Greek,57,proper_noun
G2199G,Zebedee,zebedaios,Greek,12,proper_noun
G2241,Eli,ēli,Greek,2,proper_noun
G2243,Elijah,hēlias,Greek,120,proper_noun
G2264G,Herod,hērōdēs,Greek,45,proper_noun
G2264H,Herod,hērōdēs,Greek,55,proper_noun
G2265,Herodian,hērōdianoi,Greek,3,proper_noun
G2266G,Herodias,hērōdias,Greek,6,proper_noun
G2268,Isaiah,hēsaias,Greek,55,proper_noun
G2280,Thaddaeus,thaddaios,Greek,2,proper_noun
G2381,Thomas,thōmas,Greek,12,proper_noun
G2384G,Jacob,iakōb,Greek,403,proper_noun
G2384H,Jacob,iakōb,Greek,27,proper_noun
G2385G,James,iakōbos,Greek,43,proper_noun
G2385H,James,iakōbos,Greek,6,proper_noun
G2385I,James,iakōbos,Greek,12,proper_noun
G2408,Jeremiah,hieremias,Greek,126,proper_noun
G2410,Jericho,hierichō,Greek,67,proper_noun
G2414,Jerusalem,hierosoluma,Greek,68,proper_noun
G2419,Jerusalem,hierousalēm,Greek,759,proper_noun
G2421,Jesse,iessai,Greek,48,proper_noun
G2423,Jechoniah,iechonias,Greek,14,proper_noun
G2424G,Jesus,iēsous,Greek,1288,proper_noun
G2446,Jordan,iordanēs,Greek,212,proper_noun
G2448,Judah,iouda,Greek,118,proper_noun
G2449,Judea,ioudaia,Greek,97,proper_noun
G2455H,Judas,ioudas,Greek,23,proper_noun
G2455I,Jude,ioudas,Greek,3,proper_noun
G2455N,Judah,ioudas,Greek,7,proper_noun
G2464,Isaac,isaak,Greek,140,proper_noun
G2469,Iscariot,iskariōtēs iskariōth,Greek,12,proper_noun
G2474,Israel,israēl,Greek,2620,proper_noun
G2491G,John,iōannēs,Greek,140,proper_noun
G2491H,John,iōannēs,Greek,70,proper_noun
G2495H,Jonah,iōnas,Greek,9,proper_noun
G2501G,Joseph,iōsēf,Greek,261,proper_noun
G2501H,Joseph,iōsēf,Greek,1,proper_noun
G2501I,Joseph,iōsēf,Greek,6,proper_noun
G2502,Josiah,iōsias,Greek,60,proper_noun
G2533G,Caiaphas,kaiafas,Greek,9,proper_noun
G2541J,Caesar,kaisar,Greek,16,proper_noun
G2584,Capernaum,kapernaoum,Greek,16,proper_noun
G2878,Corban,korban,Greek,2,proper_noun
G2898,Skull,kranion,Greek,6,proper_noun
G2956,Cyrene,kurēnaios,Greek,6,proper_noun
G3003,Legion,legeōn,Greek,4,proper_noun
G3093,Magadan,magdala magadan,Greek,1,proper_noun
G3094,Magdalene,magdalēnē,Greek,12,proper_noun
G3137G,Mary,maria,Greek,70,proper_noun
G3137I,Mary,maria,Greek,20,proper_noun
G3156,Matthew,matthaios,Greek,5,proper_noun
G3475,Moses,mōusēs mōsēs,Greek,872,proper_noun
G3478,Nazareth,nazareth nazara,Greek,15,proper_noun
G3480,Nazareth,nazōraios,Greek,15,proper_noun
G3508,Naphtali,nefthaleim,Greek,55,proper_noun
G3536,Ninevite,nineuitēs,Greek,3,proper_noun
G3575,Noah,nōe,Greek,54,proper_noun
G3774,Uriah,ourias,Greek,42,proper_noun
G3904,Preparation,paraskeuē,Greek,8,proper_noun
G4074G,Peter,petros,Greek,174,proper_noun
G4091,Pilate,pilatos,Greek,56,proper_noun
G4461,Rabbi,rabbi,Greek,17,proper_noun
G4471,Ramah,rama,Greek,35,proper_noun
G4478,Rachel,rachēl,Greek,51,proper_noun
G4521,Sabbath,sabbaton,Greek,180,proper_noun
G4523,Sadducee,saddoukaios,Greek,14,proper_noun
G4541,Samaritan,samareitēs,Greek,47,proper_noun
G4605,Sidon,sidōn,Greek,37,proper_noun
G4613G,Simon,simōn,Greek,77,proper_noun
G4613H,Simon,simōn,Greek,2,proper_noun
G4613I,Simon,simōn,Greek,2,proper_noun
G4613J,Simon,simōn,Greek,4,proper_noun
G4613O,Simon,simōn,Greek,51,proper_noun
G4622,Zion,siōn,Greek,198,proper_noun
G4670,Sodom,sodoma,Greek,50,proper_noun
G4672G,Solomon,solomōn salōmōn,Greek,317,proper_noun
G4947,Syria,suria,Greek,133,proper_noun
G5140,Three,treis,Greek,391,proper_noun
G5184,Tyre,turos,Greek,67,proper_noun
G5310,Highest,hupsistos,Greek,67,proper_noun
G5330,Pharisee,farisaios,Greek,105,proper_noun
G5376G,Philip,filippos,Greek,38,proper_noun
G5376H,Philip,filippos,Greek,3,proper_noun
G5376K, Philippi,filippos,Greek,2,proper_noun
G5478,Canaanite,chanaanaios,Greek,2,proper_noun
G5523,Chorazin,chorazin,Greek,2,proper_noun
G5614,Hosanna,hōsanna,Greek,6,proper_noun
G0005,Abba,abba,Greek,4,proper_noun
G0008,Abiathar,abiathar,Greek,31,proper_noun
G0223G,Alexander,alexandros,Greek,6,proper_noun
G0924,Bartimaeus,bartimaios,Greek,1,proper_noun
G0993,Boanerges,boanerges,Greek,1,proper_noun
G1682,Eloi,elōi,Greek,4,proper_noun
G2383,Jairus,iaeiros,Greek,2,proper_noun
G2401,Idumea,idoumaia,Greek,137,proper_noun
G2415,Jerusalem,hierosolumitēs,Greek,2,proper_noun
G2500G,Joses,iōsēs,Greek,6,proper_noun
G3017I,Levi,leui,Greek,6,proper_noun
G3479,Nazareth,nazarēnos,Greek,6,proper_noun
G4315,Friday,prosabbaton,Greek,1,proper_noun
G4462,Rabboni,rabboni,Greek,2,proper_noun
G4504G,Rufus,roufos,Greek,2,proper_noun
G4539,Salome,salōmē,Greek,2,proper_noun
G4949,Syrophoenician,surofoinissa,Greek,1,proper_noun
G5090,Timaeus,timaios,Greek,1,proper_noun
G0002,Aaron,aarōn,Greek,361,proper_noun
G0007H,Abijah,abia,Greek,1,proper_noun
G0009,Abilene,abilēnē,Greek,1,proper_noun
G0076,Adam,adam,Greek,37,proper_noun
G0451,Anna,anna,Greek,1,proper_noun
G0452,Annas,annas,Greek,15,proper_noun
G0768,Asher,asēr,Greek,47,proper_noun
G0967,Bethphage,bēthfagē,Greek,3,proper_noun
G1043,Gabriel,gabriēl,Greek,4,proper_noun
G1082,Gennesaret,gennēsaret,Greek,3,proper_noun
G1665,Elizabeth,elisabet,Greek,10,proper_noun
G1666,Elisha,elissaios,Greek,101,proper_noun
G1695,Emmaus,emmaous,Greek,1,proper_noun
G1800,Enos,enōs,Greek,8,proper_noun
G2195,Zacchaeus,zakchaios,Greek,3,proper_noun
G2197H,Zechariah,zacharias,Greek,9,proper_noun
G2242,Heli,hēli,Greek,39,proper_noun
G2321,Theophilus,theofilos,Greek,2,proper_noun
G2385J,James,iakōbos,Greek,12,proper_noun
G2455G,Judas,ioudas,Greek,737,proper_noun
G2484,Ituraea,itouraia,Greek,1,proper_noun
G2489,Joanna,iōanna iōanan,Greek,2,proper_noun
G2541G,Caesar,kaisar,Greek,31,proper_noun
G2810,Cleopas,kleopas,Greek,1,proper_noun
G2976G,Lazarus,lazaros,Greek,15,proper_noun
G3019,Levite,leuitēs,Greek,272,proper_noun
G3078,Lysanias,lusanias,Greek,1,proper_noun
G3091,Lot,lōt,Greek,39,proper_noun
G3136,Martha,martha,Greek,13,proper_noun
G3137J,Mary,maria,Greek,21,proper_noun
G3484,Nain,nain,Greek,2,proper_noun
G3497,Naaman,neeman naiman,Greek,22,proper_noun
G4194,Pontius,pontios,Greek,4,proper_noun
G4540,Samaria,samareia,Greek,102,proper_noun
G4589,Seth,sēth,Greek,11,proper_noun
G4611,Siloam,silōam,Greek,4,proper_noun
G4677,Susanna,sousanna,Greek,1,proper_noun
G4826G,Simeon,sumeōn,Greek,58,proper_noun
G4948,Syrian,suros,Greek,32,proper_noun
G5086,Tiberius,tiberios,Greek,1,proper_noun
G5139,Trachonitis,trachōnitis,Greek,1,proper_noun
G5323,Phanuel,fanouēl,Greek,8,proper_noun
G5376I,Philip,filippos,Greek,1,proper_noun
G5529,Chuza,chouzas,Greek,1,proper_noun
G0137,Aenon,ainōn,Greek,1,proper_noun
G0964,Bethesda,bēthzatha,Greek,1,proper_noun
G1042,Gabbatha,gabbatha,Greek,1,proper_noun
G1324,Twin,didumos,Greek,9,proper_noun
G1447,Hebrew,hebraisti,Greek,7,proper_noun
G1676,Greek,hellēnisti,Greek,2,proper_noun
G2187,Ephraim,efraim,Greek,191,proper_noun
G2475,Israelite,israēlitēs,Greek,20,proper_noun
G2495G,John,iōnas,Greek,27,proper_noun
G2501N,Joseph,iōsēf,Greek,9,proper_noun
G2580,Cana,kana,Greek,19,proper_noun
G2748,Kidron,kedros,Greek,56,proper_noun
G2786,Cephas,kēfas,Greek,9,proper_noun
G2832,Clopas,klōpas,Greek,1,proper_noun
G2976H,Lazarus,lazaros,Greek,11,proper_noun
G3124,Malchus,malchos,Greek,1,proper_noun
G3137K,Mary,maria,Greek,1,proper_noun
G3323,Messiah,messias,Greek,2,proper_noun
G3482,Nathanael,nathanaēl,Greek,20,proper_noun
G3530,Nicodemus,nikodēmos,Greek,5,proper_noun
G4514,Roman,rōmaios,Greek,13,proper_noun
G4530,Salim,saleim,Greek,1,proper_noun
G4542,Samaria,samareitis,Greek,2,proper_noun
G4613L,Simon,simōn,Greek,4,proper_noun
G4745, Portico,stoa,Greek,8,proper_noun
G4965,Sychar,suchar,Greek,1,proper_noun
G5085H,Tiberias,tiberias,Greek,1,proper_noun
G0013,Agabus,agabos,Greek,2,proper_noun
G0067,Agrippa,agrippas,Greek,12,proper_noun
G0098,Adramyttium,adramuttēnos,Greek,1,proper_noun
G0108,Azotus,azōtos,Greek,22,proper_noun
G0116,Athens,athēnai,Greek,6,proper_noun
G0117,Athenian,athēnaios,Greek,2,proper_noun
G0124,Egyptian,aiguptios,Greek,132,proper_noun
G0128,Ethiopian,aithiops,Greek,43,proper_noun
G0132,Aeneas,aineas,Greek,2,proper_noun
G0184,Akeldama,akeldama,Greek,1,proper_noun
G0207,Aquila,akulas,Greek,7,proper_noun
G0221,Alexandrian,alexandreus,Greek,2,proper_noun
G0222,Alexandria,alexandrinos,Greek,2,proper_noun
G0223H,Alexander,alexandros,Greek,2,proper_noun
G0223I,Alexander,alexandros,Greek,2,proper_noun
G0295,Amphipolis,amfipolis,Greek,1,proper_noun
G0367G,Ananias,ananias,Greek,45,proper_noun
G0367H,Ananias,ananias,Greek,13,proper_noun
G0367I,Ananias,ananias,Greek,4,proper_noun
G0490G,Antioch,antiocheia,Greek,18,proper_noun
G0490H,Antioch,antiocheia,Greek,4,proper_noun
G0491,Antiochian,antiocheus,Greek,1,proper_noun
G0494,Antipatris,antipatris,Greek,1,proper_noun
G0624,Apollonia,apollōnia,Greek,1,proper_noun
G0625,Apollos,apollōs,Greek,11,proper_noun
G0675, Appius,appios,Greek,1,proper_noun
G0690,Arabian,araps,Greek,5,proper_noun
G0697,Areopagus,areios pagos,Greek,4,proper_noun
G0698,Areopagite,areopagitēs,Greek,1,proper_noun
G0708,Aristarchus,aristarchos,Greek,5,proper_noun
G0735,Artemis,artemis,Greek,6,proper_noun
G0773,Asia,asia,Greek,20,proper_noun
G0775,Asiarch,asiarchēs,Greek,1,proper_noun
G0789,Assos,assos,Greek,2,proper_noun
G0825,Attalia,attaleia,Greek,1,proper_noun
G0882,Achaia,achaia,Greek,11,proper_noun
G0919,Bar-Jesus,bariēsous,Greek,1,proper_noun
G0921G,Barnabas,barnabas,Greek,29,proper_noun
G0923G,Barsabbas,barsabas,Greek,2,proper_noun
G0923H,Barsabbas,barsabas,Greek,2,proper_noun
G0958,Benjamin,beniamin,Greek,189,proper_noun
G0959,Bernice,bernikē,Greek,3,proper_noun
G0960,Berea,beroia,Greek,2,proper_noun
G0978,Bithynia,bithunia,Greek,2,proper_noun
G0986,Blastus,blastos,Greek,13,proper_noun
G1048,Gaza,gaza,Greek,23,proper_noun
G1050G,Gaius,gaios,Greek,5,proper_noun
G1054,Galatia,galatikos,Greek,2,proper_noun
G1058,Gallio,galliōn,Greek,3,proper_noun
G1059,Gamaliel,gamaliēl,Greek,7,proper_noun
G1152,Damaris,damaris,Greek,1,proper_noun
G1154,Damascus,damaskos,Greek,62,proper_noun
G1191,Derbe,derbē,Greek,3,proper_noun
G1216,Demetrius,dēmētrios,Greek,3,proper_noun
G1354,Dionysius,dionusios,Greek,1,proper_noun
G1393,Dorcas,dorkas,Greek,14,proper_noun
G1409,Drusilla,drousilla,Greek,1,proper_noun
G1445,Hebrews,hebraios,Greek,36,proper_noun
G1446,Hebrew,hebrais,Greek,3,proper_noun
G1671,Greece,hellas,Greek,3,proper_noun
G1675,Hellenist,hellēnistēs,Greek,3,proper_noun
G1681,Elymas,elumas,Greek,1,proper_noun
G1697,Hamor,emmor,Greek,14,proper_noun
G1946,Epicurean,epikoureios,Greek,1,proper_noun
G2037,Erastus,erastos,Greek,3,proper_noun
G2060G,Hermes,hermēs,Greek,1,proper_noun
G2161,Eutychus,eutuchos,Greek,1,proper_noun
G2180,Ephesian,efesios,Greek,7,proper_noun
G2181,Ephesus,efesos,Greek,16,proper_noun
G2203,Zeus,zeus dis,Greek,2,proper_noun
G2264I,Herod,hērōdēs,Greek,11,proper_noun
G2331,Thessalonian,thessalonikeus,Greek,6,proper_noun
G2332,Thessalonica,thessalonikē,Greek,5,proper_noun
G2333,Theudas,theudas,Greek,1,proper_noun
G2363,Thyatira,thuateira,Greek,4,proper_noun
G2394,Jason,iasōn,Greek,5,proper_noun
G2424I,Joshua,iēsous,Greek,2,proper_noun
G2430,Iconium,ikonion,Greek,6,proper_noun
G2445,Joppa,ioppē,Greek,14,proper_noun
G2455K,Judas,ioudas,Greek,1,proper_noun
G2455L,Judas,ioudas,Greek,1,proper_noun
G2455M,Judas,ioudas,Greek,3,proper_noun
G2457,Julius,ioulios,Greek,2,proper_noun
G2459G,Justus,ioustos,Greek,3,proper_noun
G2459I,Justus,ioustos,Greek,1,proper_noun
G2482,Italy,italia,Greek,5,proper_noun
G2483,Italian,italikos,Greek,1,proper_noun
G2491I,John,iōannēs,Greek,2,proper_noun
G2491J,John,iōannēs,Greek,9,proper_noun
G2493,Joel,iōēl,Greek,25,proper_noun
G2500I,Joses,iōsēs,Greek,1,proper_noun
G2501M,Joseph,iōsēf,Greek,1,proper_noun
G2541H,Caesar,kaisar,Greek,12,proper_noun
G2542H,Caesarea,kaisareia,Greek,31,proper_noun
G2582,Candace,kandakē,Greek,1,proper_noun
G2747,Cenchreae,kenchreai,Greek,3,proper_noun
G2791,Cilicia,kilikia kilikia,Greek,8,proper_noun
G2797,Kish,kis,Greek,21,proper_noun
G2802,Cauda,klaudē kauda,Greek,1,proper_noun
G2804G,Claudius,klaudios,Greek,3,proper_noun
G2804H,Claudius,klaudios,Greek,1,proper_noun
G2834,Cnidus,knidos,Greek,1,proper_noun
G2881,Corinthian,korinthios,Greek,4,proper_noun
G2882,Corinth,korinthos,Greek,8,proper_noun
G2883,Cornelius,kornēlios,Greek,10,proper_noun
G2912,Cretan,krēs,Greek,6,proper_noun
G2914,Crete,krētē,Greek,6,proper_noun
G2921,Crispus,krispos,Greek,2,proper_noun
G2953,Cyprus,kuprios,Greek,3,proper_noun
G2954,Cyprus,kupros,Greek,7,proper_noun
G2996,Lasea,lasaia,Greek,1,proper_noun
G3032,Freedmen,libertinos,Greek,1,proper_noun
G3066,Lucius,loukios,Greek,2,proper_noun
G3069,Lydda,ludda,Greek,3,proper_noun
G3070,Lydia,ludia,Greek,5,proper_noun
G3071,Lycaonia,lukaonia,Greek,1,proper_noun
G3072,Lycaonian,lukaonisti,Greek,1,proper_noun
G3079,Lysias,lusias,Greek,3,proper_noun
G3082,Lystra,lustra,Greek,6,proper_noun
