"strong","strong_variant","mounce_parsed","row_type"
"G2836","","any and all internal organs, translated in context as: belly, stomach, womb, etc.; by extension: the source of feelings and emotions. ""The fruit of the womb"" means ""a child.""","description"
"G1169","","afraid, cowardly, timid","lookup"
"G1568","","(passive) to be overwhelmed with wonder, distressed, alarmed","description"
"G2124","","reverence, reverent submission","lookup"
"G2284","","(passive) to be amazed, astoundedastonish","description"
"G5401","","fear, terror; respect, reverence; see also G4989","description"
"G6156","","to stand in awe","description"
"G6786","","be in awe","lookup"
"G6791","","awful","lookup"
"G7904","","be struck with awe","description"
"G4087","","to turn sour, make bitter; to become sour, embittered embitter","description"
"G4088","","bitterness","lookup"
"G4089","","bitter, salty","lookup"
"G7895","","very bitter","lookup"
"G8793","","bitterness","lookup"
"G8794","","a bitter herb","lookup"
"G0212","","boasting, pretension, arrogance","lookup"
"G0213","","boaster, braggart","lookup"
"G0850","","dark","lookup"
"G2620","","to boast about; to triumphglory over","description"
"G2744","","to boast, brag about; to rejoice in, glory in; this can refer to proper or improper boasting, depending on the object of the boast","description"
"G2745","","something to boast about, boasting; pride, joy","description"
"G2746","","boasting, pride;","lookup"
"G2755","","conceited, a state of pride that has no proper basis","description"
"G3004","G",": speak/ask","lookup"
"G3004","G","- properly, to ""lay"" forth, i.e. (figuratively) relate (in words (usually of systematic or set discourse; whereas G2036 and G5346 generally refer to an individual expression or speech respectively; while G4483 is properly to break silence merely, and G2980 means an extended or random harangue)); by implication, to mean","description"
"G3166","","to boast","lookup"
"G4068","","to boast, brag","lookup"
"G5111","","to dare, be bold, courageous","description"
"G5246","","boastful, bombastic","lookup"
"G6094","","","not applicable"
"G7013","","to boast of","lookup"
"G0662","","to bring forth boldly","description"
"G2292","","to have confidence, be bold be confident","description"
"G3954","","boldness, confidence, frankness; public, openness (of speech)","description"
"G3955","","to speak boldly, preach fearlessly","description"
"G4006","","confidence, trust","lookup"
"G5112","","bold, daring, audacious; (comp. adv.) quite boldly","description"
"G5113","","bold man, daring man","description"
"G7683","","boldness","lookup"
"G7684","","bold-hearted","lookup"
"G7686","","bold; rash","lookup"
