"strong","strong_variant","sort","sense_code","gloss","verse_refs","note","row_type"
"G0014","","0","","to do good, confer benefits","Act.14.17; 1Ti.6.18","*","description"
"G0015","","0","","to do good, to do right","","","description"
"G0015","","1","","do well; to do what is morally correct","1Pe.2.15, 20","( )","description"
"G0016","","0","","doing good","","","lookup"
"G0016","","1","","well-doing","1Pe.4.19","*","lookup"
"G0017","","0","","one who does good, right","","","description"
"G0017","","1","","doing good","","or","lookup"
"G0017","","1","","right;","","substantive","lookup"
"G0017","","1","","a well-doer","1Pe.2.14","*","lookup"
"G0018","","0","","goodness, good thing, one who does good","","","description"
"G0019","","0","","goodness, virtue, beneficence","Rom.15.14; Eph.5.9; 2Th.1.11","","lookup"
"G0019","","0","","generosity","Gal.5.22","*","lookup"
"G0020","","0","","delight, great joy","","","lookup"
"G0020","","1","","exultation, extreme joy","","","lookup"
"G0021","","0","","to be filled with delight, with great joy","","","description"
"G0021","","1","","to celebrate, praise;","","usually in the middle in the NT ( ἀγαλλιάομαι )","lookup"
"G0021","","1","","to exult, rejoice exceedingly; to fill with delight; to desire ardently","Jhn.8.56","","description"
"G0023","","0","","to be indignant","","","lookup"
"G0023","","1","","to be pained; to be angry, vexed; to manifest indignation","Mrk.14.4; Luk.13.14",";","description"
"G0024","","0","","indignation","2Co.7.11","*","lookup"
"G0025","","0","","to love; in the NT usually the active love of God for his Son and his people, and the active love his people are to have for God, each other, and even enemies","","","description"
"G0025","","1","","to love, value, esteem, feel or manifest generous concern for, be faithful towards; to delight in, to set store upon","Rev.12.11","","description"
"G0026","","0","","love, in the NT usually the active love of God for his Son and his people, and the active love his people are to have for God, each other, and even enemies; love feast, the common meal shared by Christians in connection with church meetings","","","description"
"G0026","","1","","love, generosity, kindly concern, devotedness;","","plural","description"
"G0026","","1","","love-feasts","","Jude 12","lookup"
"G0027","","0","","dearly loved one; the object of special affection and of special relationship, as with Jesus the beloved of the Father","","","description"
"G0027","","1","","beloved, dear; worthy of love","","","description"
"G0036","","0","","lowly, insignificant, implying low social standing","","","description"
"G0036","","1","","without kin","","literally , ; figuratively","lookup"
"G0036","","1","","base, low, insignificant","1Co.1.28","*","lookup"
"G0037","","0","","to sanctify, set apart, make holy; this can mean active dedication and service to God or the act of regarding or honoring as holy","","","description"
"G0037","","1","","to separate, consecrate; cleanse, purify; regard","","or","description"
"G0037","","1","","reverence as holy","","","lookup"
"G0038","","0","","holiness","","","lookup"
"G0038","","1","","sanctification, moral purity, sanctity","","","description"
"G0039","","0","","A location in Jerusalem first mentioned at Exo.26.33;","","","description"
"G0039","","1","","referred to as Holy_Place or Holy Place (קֹ֫דֶשׁ), or Holy Place (ἅγιον).","","","description"
"G0040","","0","","holy","","","lookup"
"G0040","","1","","holy, sacred, pure persons","","","description"
"G0041","","0","","holiness, a characteristic of God, shared by his people, requiring a lifestyle acceptable to God","","","description"
"G0041","","1","","sanctity","Heb.12.10","*","lookup"
"G0042","","0","","holiness, a characteristic of God, shared by his people, requiring a lifestyle acceptable to God","","","description"
"G0042","","1","","sanctification, sanctity","Rom.1.4; 2Co.7.1; 1Th.3.13","*","lookup"
"G0047","","0","","purity, in the sense of moral purity and proper sexual conduct","","","description"
"G0047","","1","","chastity","1Ti.4.12","5:2*","lookup"
"G0048","","0","","to purify, ceremonially cleanse","","","description"
"G0048","","1","","to purify morally, reform, to live like one under a vow of abstinence","","as the Nazarites","description"
"G0050","","0","","to be ignorant, not know, not understand","","","description"
"G0050","","1","","sin through ignorance","","","lookup"
"G0051","","0","","error, sin of ignorance, sin committed in ignorance","Heb.9.7","*","description"
"G0053","","0","","pure (in some contexts morally pure), innocent","","","description"
"G0053","","1","","chaste, modest, blameless","","","lookup"
"G0054","","0","","purity, life of purity","2Co.6.6","11:3*","description"
"G0055","","0","","- purely, i.e. honestly, with pure motives: .","Php.1.17","","description"
"G0055","","1","","purely, sincerely","","","lookup"
"G0056","","0","","ignorance, with a focus on talk or action that opposes God","1Co.15.34; 1Pe.2.15","*","description"
"G0060","","0","","marketplace, place where the courts meet","","","description"
"G0060","","1","","one who visits the forum; a lounger, one who idles away his time in public places, a low fellow","Act.17.5","","description"
"G0060","","1","","pertaining to the forum, judicial;","","ἀγόραιοι","description"
"G0060","","1","","court days","Act.19.38","*","lookup"
"G0069","","0","","to keep awake, keep alert","","","description"
"G0069","","1","","to be awake, watch; to be watchful, vigilant","","","description"
"G0073","","0","","struggle, fight, often an athletic contest","","","description"
"G0073","","1","","place of contest, race-course, stadium; a contest, strife, contention; peril, toil","","","description"
"G0074","","0","","contest, violent struggle; agony, anguish, anxiety","Luk.22.44","*","description"
"G0080","","0","","brother, fellow countryman, neighbor (often inclusive in gender); by extension a fellow believer in the family of faith; in the plural ""brothers"" regularly refers to men and women","","","description"
"G0080","","1","","a brother, near kinsman","","or","description"
"G0080","","1","","relative; one of the same nation","","or","description"
"G0080","","1","","nature; one of equal rank and dignity; an associate, a member of the Christian community","","","description"
"G0085","","0","","to be troubled, distressed","","","description"
"G0085","","1","","to be depressed","","or","lookup"
"G0085","","1","","dejected, full of anguish","","or","description"
"G0085","","1","","sorrow","Mat.26.37; Mrk.14.33; Php.2.26","; ; *","lookup"
"G0090","","0","","sincerity, integrity, incorruptibility, soundness, unspoilable","","","description"
"G0092","","0","","crime, unrighteous or unjust act","","","description"
"G0092","","1","","an act of injustice","Act.18.14; Rev.18.5","24:20; *","description"
"G0093","","0","","wickedness, evil, wrongdoing","","","lookup"
"G0093","","1","","injustice, wrong; iniquity, falsehood, deceitfulness","","","description"
"G0094","","0","","unjust judge, unrighteous","","","lookup"
"G0096","","0","","failing the test, rejected","","","description"
"G0096","","1","","unable to stand test, refuse, worthless","","","description"
"G0097","","0","","pure, uncontaminated or tainted","","","description"
"G0097","","1","","without deceit, sincere","1Pe.2.2","*","lookup"
"G0101","","0","","not to be able; to be impossible","Mat.17.20; Luk.1.37","; *","description"
"G0102","","0","","impossible, powerless","","","lookup"
"G0102","","1","","impotent, weak","","","lookup"
"G0103","","0","","to sing","Eph.5.19; Col.3.16; Rev.5.9","14:3; 15:3*","lookup"
"G0111","","0","","unlawful, criminal, wicked, detestable","Act.10.28; 1Pe.4.3","*","description"
"G0114","","0","","to reject, set aside","","","description"
"G0114","","1","","to displace; to abrogate, annul, violate, swerve from; reject, condemn","","primarily","description"
"G0120","","0","","to be discouraged, lose heart","Col.3.21","*","description"
"G0121","","0","","unpunished;","","metaphorically","lookup"
"G0121","","0","","innocent","Mat.27.4, 24","*","lookup"
"G0133","","0","","praise, speaking of the excellence of someone or something","","","description"
"G0133","","1","","praise","Heb.13.15","*","lookup"
"G0134","","0","","to praise; in the NT, speaking of the excellence of God","","","description"
"G0134","","1","","celebrate","","","lookup"
"G0136","","0","","praise","Mat.21.16; Luk.18.43","; *","lookup"
"G0139","","0","","a choice","","strictly, or","lookup"
"G0139","","0","","option;","","hence","lookup"
"G0139","","0","","a religious sect, faction;","","by implication","description"
"G0139","","0","","discord, contention, heresy","","","lookup"
"G0141","","0","","one who creates","","or","lookup"
"G0141","","0","","fosters factions, is divisive","Tit.3.10","*","description"
"G0143","","0","","to perceive, understand, grasp, have the capacity to understand","Luk.9.45","*","description"
"G0144","","0","","insight","","","lookup"
"G0144","","1","","perception, understanding","Php.1.9","*","lookup"
"G0145","","0","","an organ of perception; internal sense, faculty","Heb.5.14","*","description"
"G0146","","0","","eager for dishonorable or dishonest gain, greedy","1Ti.3.8; Tit.1.7","*","description"
"G0147","","0","","for the sake of base gain, in greediness for money, greedily","1Pe.5.2","*","description"
"G0149","","0","","deformed","","strictly, opposed to καλός ; metaphorically","lookup"
"G0149","","0","","shameful, indecent, disgraceful, dishonorable, vile","1Co.11.6; Eph.5.12; Tit.1.11","14:35; * shameful","description"
"G0150","","0","","disgraceful, shameful","","","lookup"
"G0150","","1","","deformed","","strictly, opposed to καλός ; metaphorically","lookup"
"G0150","","1","","shameful, indecent, disgraceful, dishonorable, vile","1Co.11.6; Eph.5.12; Tit.1.11","14:35; * shameful","description"
"G0152","","0","","shame, disgrace; shamefulness; cause of shame, dishonorable conduct","","","description"
"G0153","","0","","to be ashamed, dishonored, ; Pe.4.16, ; with inf.","2Co.10.8; Php.1.20, 1; 1Jn.2.28; Luk.16.3  ","","description"
"G0154","","0","","to ask, request; demand; desire","Act.7.46","","description"
"G0156","","0","","(legal) charge; reason, cause","","","description"
"G0156","","1","","cause, motive, incitement; accusation, charge, crime, case","","","description"
"G0158","","0","","causative;","","αἴτιος","lookup"
"G0158","","0","","an author","","or","lookup"
"G0158","","0","","causer","Heb.5.9","τὸ αἴτιον , equivalent to aijtiva basis, reason or cause (for legal charges)","lookup"
"G0159","","0","","causer, the originator of","","","description"
"G0165","","0","","eternity, age (time period); ""this age"" can mean the universe or even the current world system, the ""god of this age"" refers to the devil","","","description"
"G0165","","1","","a period of time of significant character; life; an era; an age:","","primarily hence","description"
"G0165","","1","","a state of things marking an age","","or","description"
"G0165","","1","","era; the present order of nature; the natural condition of man, the world;","","ὁ αἰών","description"
"G0165","","1","","illimitable duration, eternity;","","as also, οἱ αἰῶνες , ὁ αἰῶν τῶν αἰώνων , οἱ αἰῶνες τῶν αἰώνων ; by an Aramaism οἱ αἰῶνες","lookup"
"G0165","","1","","the material universe","Heb.1.2","","lookup"
"G0167","","0","","impurity, a state of moral filthiness, especially in relation to sexual sin","","","description"
"G0167","","1","","uncleanness; lewdness","1Th.2.3","of motive","lookup"
"G0168","","0","","uncleanness","","","lookup"
"G0169","","0","","impure, unclean; lewd; foul; evil","","","description"
"G0172","","0","","free from evil, innocent, blameless; simple, unsuspecting","Rom.16.18; Heb.7.26","*","description"
"G0176","","0","","not worthy of condemnation, cannot be criticized","","primarily by a judge; hence","description"
"G0176","","0","","irreprehensible","Tit.2.8","*","lookup"
"G0181","","0","","instability;","","primarily hence","lookup"
"G0181","","0","","an unsettled state; disorder, commotion, tumult, sedition; rebellion, riot","Luk.21.9; 1Co.14.33; 2Co.6.5; Jas.3.16","; 12:20; *","description"
"G0185","","0","","unmixed:","","primarily hence","lookup"
"G0185","","0","","without mixture of vice","","or","description"
"G0185","","0","","deceit, sincere, blameless, innocent","Mat.10.16; Rom.16.19; Php.2.15","; *","description"
"G0189","","0","","(act of) hearing, what is heard","","","description"
"G0189","","1","","hearing; the act","","or","lookup"
"G0189","","1","","sense of hearing","1Co.12.17; 2Pe.2.8","","lookup"
"G0189","","1","","the instrument of hearing, the ear","Mrk.7.35",";","description"
"G0189","","1","","a thing heard;","","announcement","lookup"
"G0189","","1","","instruction, doctrine","Jhn.12.38; Rom.10.16",";","lookup"
"G0189","","1","","report","Mat.4.24","et al","lookup"
"G0191","","0","","to hear; to hearken, listen to, to heed, obey, to understand, to take in or admit to mental acceptance","Mrk.4.3;; Luk.19.48;; Mat.18.15;; Act.4.19;; 1Co.14.2;; Mrk.4.33;; Jhn.8.43, 47","","description"
"G0192","","0","","intemperance, self-indulgence","Mat.23.25",";","lookup"
"G0192","","0","","unruly appetite, lustfulness, lack of self-control","1Co.7.5","*","description"
"G0193","","0","","without self-control, intemperate","2Ti.3.3","","lookup"
"G0194","","0","","undiluted (of wine not watered down)","","","description"
"G0194","","1","","unmixed, unmingled","Rev.14.10","wine, *","lookup"
"G0198","","0","","to inquire accurately","","or","lookup"
"G0198","","0","","diligently, find out exactly","Mat.2.7, 16","cf. 8)*","description"
"G0212","","0","","boasting, pretension, arrogance","","","lookup"
"G0212","","1","","presumptuous speech","Jas.4.16","","lookup"
"G0212","","1","","haughtiness","1Jn.2.16","*","lookup"
"G0213","","0","","boaster, braggart","","","lookup"
"G0213","","1","","prideful, arrogant, boasting","Rom.1.30; 2Ti.3.2","*","lookup"
"G0214","","0","","to clang, wail","","","lookup"
"G0214","","1","","to raise the war-cry","","primarily ἀλαλά : hence","description"
"G0214","","1","","to utter","","other","lookup"
"G0214","","1","","loud sounds; to wail","Mrk.5.38",";","description"
"G0214","","1","","to tinkle, ring","1Co.13.1","*","lookup"
"G0218","","0","","to anoint, pour on","","with oil or ointment","description"
"G0225","","0","","truth, truthfulness; corresponding to reality","","","description"
"G0225","","1","","truth","Mrk.5.33",";","lookup"
"G0225","","1","","love of truth, sincerity","1Co.5.8","divine","description"
"G0225","","1","","truth","Jhn.1.17","revealed to man, ;","lookup"
"G0225","","1","","practice in accordance with","","Gospel","description"
"G0225","","1","","truth","Jhn.3.21; 2","Jn. 4","lookup"
"G0226","","0","","to be truthful, tell the truth","","","description"
"G0226","","1","","to speak","","or","lookup"
"G0226","","1","","maintain the truth; to act truly","","or","description"
"G0226","","1","","sincerely","Gal.4.16; Eph.4.15","*","lookup"
"G0227","","0","","true","Jhn.4.18",";","lookup"
"G0227","","0","","worthy of credit, trustworthy, valid","Jhn.5.31",";","description"
"G0227","","0","","truthful, genuine, reliable","Jhn.7.18","","lookup"
"G0228","","0","","sterling","Luk.16.11",";","lookup"
"G0228","","0","","real, genuine","Jhn.6.32; 1Th.1.9",";","lookup"
"G0228","","0","","unfeigned, trustworthy, true","Jhn.19.35","","lookup"
"G0230","","0","","truly, really, surely","Mat.14.33",";","lookup"
"G0230","","0","","certainly, of a truth","Jhn.17.8; Act.12.11:",";","description"
"G0230","","0","","truly, actually","Jhn.4.18","","lookup"
"G0234","","0","","pollution, ritually defiled","","","lookup"
"G0234","","1","","defilement","Act.15.20","*","lookup"
"G0235","","0","","but; however; instead; yet; but still more;","","ἀλλάγε","description"
"G0235","","0","","at all events;","","ἀλλἠ","lookup"
"G0235","","0","","unless, except.","Jhn.16.2; Rom.6.5; Php.3.8","Ἀλλά also serves to introduce a sentence with keenness and emphasis, ; 7:7;","lookup"
"G0253","","0","","free from anxiety; in the comparative, less anxiety","","","description"
"G0253","","1","","free from grief","","or","lookup"
"G0253","","1","","sorrow","Php.2.28","*","lookup"
"G0264","","0","","to sin, do wrong; usually to do any act contrary to the will and law of God","","","description"
"G0264","","1","","to miss a mark; to be in error","1Co.15.34; Tit.3.11","primarily","description"
"G0264","","1","","to sin","Jhn.5.14",";","lookup"
"G0264","","1","","to be guilty of wrong, do wrong","Mat.18.15","","description"
"G0265","","0","","sin, wrongdoing; usually any act contrary to the will and law of God","","","description"
"G0265","","1","","an error; sin, offence, wrongdoing","Mrk.3.28; 4:12; Rom.3.25; 1Co.6.18",";","description"
"G0266","","0","","sin, wrongdoing; usually any act contrary to the will and law of God","","","description"
"G0266","","1","","error; offence, sin, wrongdoing","Mat.1.21",";","description"
"G0266","","1","","a principle","","or","lookup"
"G0266","","1","","cause of sin","Rom.7.7","","lookup"
"G0266","","1","","proneness to sin, sinful propensity","Rom.7.17, 20",";","description"
"G0266","","1","","guilt","","or","lookup"
"G0266","","1","","imputation of sin","Jhn.9.41; Heb.9.26",";","lookup"
"G0266","","1","","a guilty subject, sin-offering, expiatory victim","2Co.5.21","","description"
"G0268","","0","","(a.) sinful, as an absolute moral failure; (n.) sinner, one who violates God’s will or law; in some contexts, one who does not keep orthodox traditions and behaviors","","","description"
"G0268","","1","","one who deviates from the path of virtue, a sinner","Mrk.2.17",";","description"
"G0268","","1","","depraved","Mrk.8.38",";","lookup"
"G0268","","1","","sinful, detestable","Rom.7.13","","lookup"
"G0273","","0","","blameless, irreprehensible, without defect, faultless","Luk.1.6; Php.2.15; 1Th.3.13; Heb.8.7","; 3:6; *","description"
"G0275","","0","","free from concern, free from care","","","description"
"G0275","","1","","free from care","","or","lookup"
"G0275","","1","","solicitude","Mat.28.14; 1Co.7.32","; *","lookup"
"G0278","","0","","not to be repented of;","","by implication","description"
"G0278","","0","","irrevocable, enduring, without regret","Rom.11.29; 2Co.7.10","*","description"
"G0283","","0","","unstained, unsoiled;","","primarily metaphorically","lookup"
"G0283","","0","","undefiled, chaste","Heb.7.26","13:4;","lookup"
"G0283","","0","","pure, sincere","Jas.1.27","","lookup"
"G0283","","0","","undefiled, unimpaired","1Pe.1.4","*","lookup"
"G0298","","0","","blameless, unblemished","2Pe.3.14","*","lookup"
"G0299","","0","","unblemished, blameless","","","lookup"
"G0318","","0","","necessity","Mat.18.7",";","lookup"
"G0318","","0","","constraint, compulsion","2Co.9.7","","lookup"
"G0318","","0","","obligation of duty","","moral or spiritual","lookup"
"G0318","","0","","necessity","Rom.13.5","","lookup"
"G0318","","0","","distress, trial, affliction, hardship","Luk.21.23; 1Co.7.26; 2Co.6.4; 1Th.3.7","; 12:10;","description"
"G0327","","0","","to track; to seek diligently, look for, inquire after, search for","Luk.2.44, 45; Act.11.25","; *","description"
"G0330","","0","","to grow","","or","lookup"
"G0330","","0","","bloom again","",";","lookup"
"G0330","","0","","to renew","Php.4.10","*","lookup"
"G0331","","0","","curse, oath; one cursed","","","description"
"G0331","","1","","a devoted thing","","ordinarily in a bad sense","lookup"
"G0331","","1","","a person","","or","lookup"
"G0331","","1","","thing accursed","Rom.9.3; 1Co.12.3; Gal.1.8","16:22; , 9;","lookup"
"G0331","","1","","a curse, execration, anathema, oath","Act.23.14","*","description"
"G0332","","0","","to bind with an oath","","","description"
"G0332","","1","","to declare","","any one","lookup"
"G0332","","1","","to be","","ἀνάθεμα ;","lookup"
"G0332","","1","","to curse, bind by a curse","Mrk.14.71; Act.23.12, 14, 21","; * bind with an oath","description"
"G0334","","0","","a gift, or offering consecrated to God, *","Luk.21.5","","description"
"G0338","","0","","guiltless, innocent","Mat.12.5, 7","*","lookup"
"G0340","","0","","to bring back, restore","","","description"
"G0340","","1","","to renovate, renew","Heb.6.6","*","lookup"
"G0341","","0","","to invigorate, renew","2Co.4.16; Col.3.10","*","lookup"
"G0342","","0","","renovation, renewal","Rom.12.2; Tit.3.5","*","lookup"
"G0350","","0","","to sift; to examine closely","Act.17.11","","description"
"G0350","","0","","to scrutinize, scan","1Co.2.14, 15; 9.3",";","lookup"
"G0350","","0","","to try","Luk.23.14","judicially, ;","lookup"
"G0350","","0","","to judge, give judgment upon","1Co.4.3","4;","description"
"G0350","","0","","to put questions, be inquisitive","1Co.10.25, 27; Act.11.12","; v.l","description"
"G0361","","0","","without sin, guiltless","Jhn.8.7","*","lookup"
"G0362","","0","","to await, wait for, expect","1Th.1.10","*","description"
"G0363","","0","","to remind, cause to remember","1Co.4.17","","description"
"G0363","","0","","to exhort","2Ti.1.6","","lookup"
"G0363","","0","","to call to mind, recollect, remember","Mrk.11.21; 14:72; 2Co.7.15; Heb.10.32","; *","description"
"G0365","","0","","to be made new, renewed","","","description"
"G0365","","1","","to renew, make new;","","also spelled ἀνανεόομαι , passive","description"
"G0365","","1","","to be renovated","Eph.4.23","by inward reformation, *","lookup"
"G0389","","0","","to sigh deeply","","","lookup"
"G0389","","1","","to sigh, groan","Mrk.8.12","*","lookup"
"G0407","","0","","to act courageously","","","lookup"
"G0407","","1","","to render brave","","or","lookup"
"G0407","","1","","manly;","","middle","lookup"
"G0407","","1","","to show","","or","lookup"
"G0407","","1","","behave one's self like a man","1Co.16.13","*","description"
"G0415","","0","","ruthless, merciless","","","lookup"
"G0415","","1","","unmerciful, uncompassionate, cruel","Rom.1.31","*","lookup"
"G0416","","0","","to agitate with the wind;","","passive","description"
"G0416","","0","","to be agitated","","or","lookup"
"G0416","","0","","driven, moved by the wind","Jas.1.6","*","description"
"G0420","","0","","enduring","","or","lookup"
"G0420","","0","","patient under evils and injuries, not resentful","2Ti.2.24","*","description"
"G0425","","0","","the relaxing","","primarily of a state of constraint;","lookup"
"G0425","","0","","relaxation","Act.24.23","of rigor of confinement, metaphorically","lookup"
"G0425","","0","","ease, rest, peace, relief, tranquility","2Co.2.13; 2Th.1.7","7:5; 8:13; *","description"
"G0430","","0","","to endure patiently, put up with","1Co.4.12; 2Co.11.20; 2Th.1.4","always in the middle in the NT,","description"
"G0430","","0","","to bear with","Mat.17.7","","lookup"
"G0430","","0","","to suffer, admit, permit","Act.18.14; 2Co.11.4; 2Ti.4.3; Heb.13.22","","description"
"G0433","","0","","to come up to, to pertain to;","","ἀνήκει , impersonal","description"
"G0433","","0","","it is fit, proper, becoming, one’s duty","Col.3.18; Eph.5.4","Phlm. 8*","description"
"G0437","","0","","to give thanks, praise","","","description"
"G0437","","1","","to come to an agreement;","","primarily hence","description"
"G0437","","1","","to confess openly what is due; to confess, give thanks, render praise","Luk.2.38","*","description"
"G0445","","0","","to be proconsul","","","lookup"
"G0445","","1","","to be proconsul","Act.18.12","","lookup"
"G0448","","0","","merciless","","","lookup"
"G0449","","0","","unwashed","","literally: ; figuratively:","lookup"
"G0449","","0","","ceremonially unclean","Mat.15.20; Mrk.7.2","; *","lookup"
"G0453","","0","","foolish, senseless","","","lookup"
"G0453","","1","","inconsiderate, unintelligent, unwise;","Luk.24.25; Rom.1.14; Gal.3.1; Tit.3.3","; , 3;","lookup"
"G0453","","1","","brutish, senseless","1Ti.6.9","","lookup"
"G0454","","0","","folly, senselessness; fury","","","lookup"
"G0454","","1","","want of understanding; folly, rashness, madness, senselessness; fury","Luk.6.11; 2Ti.3.9","; *","description"
"G0458","","0","","wickedness, lawlessness, lawless deed","","","description"
"G0458","","1","","lawlessness; violation of law","1Jn.3.4","","description"
"G0458","","1","","iniquity, sin, wickedness","Mat.7.23","","lookup"
"G0472","","0","","to be devoted, hold firmly to; pay attention to","","","description"
"G0472","","1","","to hold firmly, cling","","or","description"
"G0472","","1","","adhere to; to be devoted to","Luk.16.13; Tit.1.9","any one, ;","description"
"G0472","","1","","to exercise a zealous care for pay attention to","1Th.5.14; Mrk.6.24","any one, *","description"
"G0473","","0","","in exchange for (often as a sign of benefaction), in place of (often as a sign of contrast), instead of (often as a sign of an exchange of a relationship), one after another (often as a sign of purpose or result). Note that this preposition used in absolute does not mean to be ""against"" or ""in opposition to"" something","","","description"
"G0473","","1","","over against;","","hence","lookup"
"G0473","","1","","in correspondence to, answering to","Jhn.1.16",";","description"
"G0473","","1","","in place of","Mat.2.22",";","lookup"
"G0473","","1","","in retribution","","or","lookup"
"G0473","","1","","return for","Mat.5.38",";","lookup"
"G0473","","1","","in consideration of","Heb.12.2, 16",";","lookup"
"G0473","","1","","on account of","Mat.17.27","; ἀνθ᾽ ὧν","lookup"
"G0473","","1","","because","Luk.1.20","","lookup"
"G0480","","0","","to be an opponent, in conflict","","","description"
"G0480","","1","","occupy an opposite position;","","primarily metaphorically","description"
"G0480","","1","","to oppose, be adverse to, be in conflict","Gal.5.17; 1Ti.1.10","","description"
"G0480","","1","","opponent, hostile","Luk.13.7","","lookup"
"G0483","","0","","- to dispute, refuse, to say in opposition, contradict","","","description"
"G0485","","0","","argument, opposition, rebellion","","","lookup"
"G0485","","1","","contradiction, question","Heb.6.16","7:7;","lookup"
"G0485","","1","","opposition, rebellion","","Jude 11;","lookup"
"G0485","","1","","hostility","Heb.12.3","*","lookup"
"G0505","","0","","sincere, genuine, without hypocrisy; of good character, lacking pretense and prideful show","","","description"
"G0505","","1","","unfeigned, real, sincere, without hypocrisy","Rom.12.9","","description"
"G0506","","0","","rebellious, disobedient; not made subject to, independent","","","description"
"G0506","","1","","not subjected, not made subordinate","Heb.2.8","","description"
"G0506","","1","","insubordinate, refractory, disorderly, rebellious, contumacious, lawless","1Ti.1.9; Tit.1.6, 10","","description"
"G0509","","0","","from above; from the beginning; again, anew","","","description"
"G0509","","1","","from above, from a higher place","Jhn.3.31","; of time","description"
"G0509","","1","","from the first","","or","lookup"
"G0509","","1","","beginning","Act.26.5","","lookup"
"G0509","","1","","from the source","Luk.1.33",";","lookup"
"G0509","","1","","again, anew","Jhn.3.3, 7; Gal.4.9","; with a preposition","lookup"
"G0509","","1","","the top","","or","lookup"
"G0509","","1","","upper part","Mat.27.51","","lookup"
"G0514","","0","","worthy, deserving, in keeping with, corresponding to","","","description"
"G0514","","1","","of equal value; worthy, estimable","Mat.10.11, 13","primarily ;","description"
"G0514","","1","","worthy of, deserving","Mat.10.10","either good or evil, ;","lookup"
"G0514","","1","","correspondent to","Mat.3.8; Luk.3.8; Act.26.20","; ;","lookup"
"G0514","","1","","comparable, countervailing","Rom.8.18","","lookup"
"G0514","","1","","suitable, due","Luk.23.41","","lookup"
"G0515","","0","","to consider worthy, consider wise or fitting","","","description"
"G0515","","1","","to judge","","or","lookup"
"G0515","","1","","esteem worthy","","or","lookup"
"G0515","","1","","deserving; to deem fitting or wise, to require","Act.15.38","28:22","description"
"G0524","","0","","to lose all sensitivity, become callous","","","description"
"G0524","","1","","to desist from grief;","","primarily hence","description"
"G0524","","1","","to become insensible","","or","lookup"
"G0524","","1","","callous","Eph.4.19","*","lookup"
"G0530","","0","","once, once more, once for all; the Greek idiom ""once and yet twice"" means to do something repeatedly, ""again and again"" ( )","Php.4.16","","description"
"G0530","","1","","once","2Co.11.25","","lookup"
"G0530","","1","","once for all","Heb.6.4; 1Pe.3.18, 20","9:26, 28; 10:2; ; Jude 3; εἰδὼς ἅπαξ","lookup"
"G0530","","1","","knowing once for ever, unfailingly, constantly","","Jude 5","description"
"G0539","","0","","deception, deceitfulness","","","lookup"
"G0539","","1","","deceit, deception, delusion","","","lookup"
"G0540","","0","","without a father, fatherless;","","primarily hence","description"
"G0540","","0","","independent of paternal descent","Heb.7.3","*","description"
"G0543","","0","","an uncompliant disposition; obstinacy, disobedience, unbelief","Rom.11.30, 32; Eph.2.2; Heb.4.6, 11; Col.3.6","; 5:6; ; *","description"
"G0544","","0","","to disobey, be disobedient","","","description"
"G0544","","1","","to be uncompliant; to refuse belief, disbelieve","Jhn.3.36",";","description"
"G0544","","1","","to refuse belief and obedience","Rom.10.21; 1Pe.3.20","","description"
"G0544","","1","","to refuse conformity","Rom.2.8","","lookup"
"G0545","","0","","who will not be persuaded, uncompliant; disobedient","Luk.1.17; Act.26.19; Rom.1.30; 2Ti.3.2; Tit.1.16","; 3:3","description"
"G0548","","0","","to be absent, away, *","1Co.5.3;; 2Co.10.1, 11; 13:2, 10;; Phi.1.27;; Col.2.5","","description"
"G0560","","0","","to expect nothing in return","","","description"
"G0560","","1","","to lay aside hope, despond, despair;","","also","description"
"G0560","","1","","to hope for","","something","lookup"
"G0560","","1","","in return","Luk.6.35","*","lookup"
"G0566","","0","","to receive (in full); to be distant; ( middle ) to abstain, avoid","","","description"
"G0566","","1","","to have in full","Mat.6.2, 5, 16; Luk.6.24; Php.4.18","trans. what is due or is sought, ; ;","description"
"G0566","","1","","to have altogether","","Phlm. 15; hence","lookup"
"G0566","","1","","it is enough","Mrk.14.41","; intransitive","lookup"
"G0566","","1","","to be distant","Luk.7.6",";","lookup"
"G0566","","1","","to be estranged","Mat.15.8; Mrk.7.6","; , middle","lookup"
"G0566","","1","","to abstain from","Act.14.20","","lookup"
"G0567","","0","","refrain, receive/be far, keep away from","","","description"
"G0568","","0","","to be distant, keep distant from, far from, separated from","","","description"
"G0569","","0","","to disbelieve, be faithless, unfaithful. In some contexts unbelief has no implication of faithlessness or hardheartedness ( ); in other contexts unbelief is a moral failure, not acting like a true follower ( )","Luk.24.11; 2Ti.2.13","","description"
"G0569","","1","","to refuse belief, be incredulous, disbelieve","Mrk.16.11, 16; Luk.24.11, 41; Act.28.24","; ;","description"
"G0569","","1","","to prove false, violate one's faith, be unfaithful, faithless","Rom.3.3; 2Ti.2.13","","description"
"G0570","","0","","unbelief, lack of faith (often with the implication of stubbornly refusing to believe or act in accord with God’s will or law)","","","description"
"G0570","","1","","unbelief, want of trust and confidence; a state of unbelief, lack of faith","1Ti.1.13","","description"
"G0570","","1","","violation of faith, faithlessness","Rom.3.3; Heb.3.12, 19","","description"
"G0571","","0","","unbelieving, lacking in trust, doubting; as a noun: an unbeliever or outsider, one who does not believe the Gospel","","","description"
"G0571","","1","","unbelieving, doubting, without confidence","Mat.17.17","in any one, ;","description"
"G0571","","1","","violating one's faith, unfaithful, false, treacherous","Luk.12.46",";","description"
