id,strong,related_strong,related_form,related_transliteration,related_gloss,deleted
48991,G0040G,G0041,ἁγιότης,hagiotēs,holiness,0
48992,G0040G,G0042,ἁγιωσύνη,hagiōsunē,holiness,0
48993,G0040H,G0037,ἁγιάζω,hagiazō,to sanctify,0
48994,G0040H,G0039G,ἅγιον,hagion,Holy Place,0
48995,G0040H,G0039H,ἅγιον,hagion,Most Holy Place,0
48996,G0040H,G0040G,ἅγιος,hagios,holy,0
48997,G0040H,G0040H,ἅγιος,hagios,holy: saint,0
48998,G0040H,G0041,ἁγιότης,hagiotēs,holiness,0
48999,G0040H,G0042,ἁγιωσύνη,hagiōsunē,holiness,0
49000,G0041,G0039G,ἅγιον,hagion,Holy Place,0
49001,G0041,G0039H,ἅγιον,hagion,Most Holy Place,0
49002,G0041,G0040G,ἅγιος,hagios,holy,0
49003,G0041,G0040H,ἅγιος,hagios,holy: saint,0
49004,G0042,G0040G,ἅγιος,hagios,holy,0
49005,G0042,G0040H,ἅγιος,hagios,holy: saint,0
49006,G0047,G0048,ἁγνίζω,hagnizō,to purify,0
49007,G0047,G0049,ἁγνισμός,hagnismos,purification,0
49008,G0047,G0053,ἁγνός,hagnos,pure,0
49009,G0047,G0054,ἁγνότης,hagnotēs,purity,0
49010,G0047,G0055,ἁγνῶς,hagnōs,purely,0
49011,G0048,G0047,ἁγνεία,hagneia,purity,0
49012,G0048,G0049,ἁγνισμός,hagnismos,purification,0
49013,G0048,G0053,ἁγνός,hagnos,pure,0
49014,G0048,G0054,ἁγνότης,hagnotēs,purity,0
49015,G0048,G0055,ἁγνῶς,hagnōs,purely,0
49016,G0050,G0051,ἀγνόημα,agnoēma,error,0
49017,G0050,G0052,ἄγνοια,agnoia,ignorance,0
49018,G0050,G0056,ἀγνωσία,agnōsia,ignorance,0
49019,G0050,G0057,ἄγνωστος,agnōstos,unknown,0
49020,G0050,G0314,ἀναγινώσκω,anaginōskō,to read,0
49021,G0050,G0319,ἀναγνωρίζω,anagnōrizō,to recognize,0
49022,G0050,G1097,γινώσκω,ginōskō,to know,0
49023,G0050,G1106,γνώμη,gnōmē,resolution,0
49024,G0050,G1107,γνωρίζω,gnōrizō,to make known,0
49025,G0050,G1108,γνῶσις,gnōsis,knowledge,0
49026,G0050,G1109,γνώστης,gnōstēs,expert in,0
49027,G0050,G1110,"γνωστός, γνώριμος",gnōstos gnōrimos,acquainted with,0
49028,G0050,G1231,διαγινώσκω,diaginōskō,to decide,0
49029,G0050,G1232,διαγνωρίζω,diagnōrizō,to report,0
49030,G0050,G1492H,εἴδω,eidō,to perceive: see,0
49031,G0050,G1492I,εἴδω,eidō,to perceive: know,0
49032,G0050,G1921,ἐπιγινώσκω,epiginōskō,to come to know,0
49033,G0050,G1922,ἐπίγνωσις,epignōsis,knowledge,0
49034,G0050,G2589,καρδιογνώστης,kardiognōstēs,heart-knower,0
49035,G0050,G3539,νοέω,noeō,to understand,0
49036,G0050,G4267,προγινώσκω,proginōskō,to know/choose,0
49037,G0050,G4268,πρόγνωσις,prognōsis,foreknowledge,0
49038,G0050,G4275,προεῖδον,proeidon,to foresee,0
49039,G0050,G4774,συγγνώμη,sungnōmē,concession,0
49040,G0050,G4894,συνείδω,suneidō,be aware,0
49041,G0051,G0050,ἀγνοέω,agnoeō,be ignorant,0
49042,G0053,G0040G,ἅγιος,hagios,holy,0
49043,G0053,G0040H,ἅγιος,hagios,holy: saint,0
49044,G0053,G0047,ἁγνεία,hagneia,purity,0
49045,G0053,G0048,ἁγνίζω,hagnizō,to purify,0
49046,G0053,G0049,ἁγνισμός,hagnismos,purification,0
49047,G0053,G0054,ἁγνότης,hagnotēs,purity,0
49048,G0053,G0055,ἁγνῶς,hagnōs,purely,0
49049,G0054,G0047,ἁγνεία,hagneia,purity,0
49050,G0054,G0048,ἁγνίζω,hagnizō,to purify,0
49051,G0054,G0049,ἁγνισμός,hagnismos,purification,0
49052,G0054,G0053,ἁγνός,hagnos,pure,0
49053,G0054,G0055,ἁγνῶς,hagnōs,purely,0
49054,G0055,G0047,ἁγνεία,hagneia,purity,0
49055,G0055,G0048,ἁγνίζω,hagnizō,to purify,0
49056,G0055,G0049,ἁγνισμός,hagnismos,purification,0
49057,G0055,G0053,ἁγνός,hagnos,pure,0
49058,G0055,G0054,ἁγνότης,hagnotēs,purity,0
49059,G0056,G0050,ἀγνοέω,agnoeō,be ignorant,0
49060,G0056,G0052,ἄγνοια,agnoia,ignorance,0
