id,strong,related_strong,related_form,related_transliteration,related_gloss,deleted
50783,G1575,G2800,κλάσις,klasis,breaking,0
50784,G1575,G2801,κλάσμα,klasma,fragment,0
50785,G1575,G2806,κλάω,klaō,to break,0
50786,G1584,G1537,ἐκ,ek,out from,0
50787,G1584,G2989,λάμπω,lampō,to shine,0
50788,G1590,G0413,ἀνέκλειπτος,anekleiptos,inexhaustible,0
50789,G1590,G1537,ἐκ,ek,out from,0
50790,G1590,G1587,ἐκλείπω,ekleipō,to fail,0
50791,G1590,G3089,λύω,luō,to loose,0
50792,G1597,G1537,ἐκ,ek,out from,0
50793,G1597,G3819,πάλαι,palai,of old,0
50794,G1605,G1537,ἐκ,ek,out from,0
50795,G1605,G4141,πλήσσω,plēssō,to strike,0
50796,G1608,G1537,ἐκ,ek,out from,0
50797,G1608,G4202,πορνεία,porneia,sexual sin,0
50798,G1608,G4203,πορνεύω,porneuō,to sin sexually,0
50799,G1608,G4204,πόρνη,pornē,prostitute,0
50800,G1608,G4205,πόρνος,pornos,sexual sinner,0
50801,G1609,G1537,ἐκ,ek,out from,0
50802,G1609,G1716,ἐμπτύω,emptuō,to spit on/at,0
50803,G1609,G4427,πτύσμα,ptusma,saliva,0
50804,G1609,G4429,πτύω,ptuō,to spit,0
50805,G1611,G1839,ἐξίστημι,existēmi,to amaze,0
50806,G1612,G1537,ἐκ,ek,out from,0
50807,G1612,G4762,στρέφω,strefō,to turn,0
50808,G1618,G1614,ἐκτείνω,ekteinō,to stretch out,0
50809,G1618,G1616,ἐκτένεια,ekteneia,earnestness,0
50810,G1618,G1617,ἐκτενέστερον,ektenesteron,earnestly,0
50811,G1618,G1619,ἐκτενῶς,ektenōs,fervently,0
50812,G1619,G1616,ἐκτένεια,ekteneia,earnestness,0
50813,G1619,G1617,ἐκτενέστερον,ektenesteron,earnestly,0
50814,G1619,G1618,ἐκτενής,ektenēs,fervent,0
50815,G1627,G1537,ἐκ,ek,out from,0
50816,G1627,G5342,φέρω,ferō,to bear/lead,0
50817,G1630,G1537,ἐκ,ek,out from,0
50818,G1630,G1620,ἐκτίθημι,ektithēmi,to explain/expose,0
50819,G1630,G5401,φόβος,fobos,fear,0
50820,G1653,G1653,ἐλεέω,eleeō,to have mercy,0
50821,G1653,G1655,ἐλεήμων,eleēmōn,merciful,0
50822,G1653,G1656,ἔλεος,eleos,mercy,0
50823,G1655,G0415,ἀνελεήμων,aneleēmōn,merciless,0
50824,G1655,G1653,ἐλεέω,eleeō,to have mercy,0
50825,G1656,G1652,ἐλεεινός,eleeinos,pitiful,0
50826,G1656,G1653,ἐλεέω,eleeō,to have mercy,0
50827,G1656,G1654,ἐλεημοσύνη,eleēmosunē,charity,0
50828,G1679,G0560,ἀπελπίζω,apelpizō,to despair,0
50829,G1679,G1680,ἐλπίς,elpis,hope,0
50830,G1680,G1679,ἐλπίζω,elpizō,to hope/expect,0
50831,G1690,,,,,0
50832,G1693,G1722,ἐν,en,in/on/among,0
50833,G1693,G3105,μαίνομαι,mainomai,to rave,0
50834,G1702,G1701,ἐμπαιγμός,empaigmos,jeering,0
50835,G1702,G1703,ἐμπαίκτης,empaiktēs,a mocker,0
50836,G1702,G1722,ἐν,en,in/on/among,0
50837,G1702,G3815,παίζω,paizō,to play,0
50838,G1719,G0870,ἀφόβως,afobōs,fearlessly,0
50839,G1719,G1629,ἐκφοβέω,ekfobeō,to terrify,0
50840,G1719,G1722,ἐν,en,in/on/among,0
50841,G1719,G4422,πτοέω,ptoeō,to frighten,0
50842,G1719,G4423,πτόησις,ptoēsis,fear,0
50843,G1719,G4426,πτύρομαι,pturomai,to frighten,0
50844,G1719,G5398,φοβερός,foberos,fearful,0
50845,G1719,G5399,φοβέω,fobeō,to fear,0
50846,G1719,G5400,φόβητρον,fobētron,fearful thing,0
50847,G1719,G5401,φόβος,fobos,fear,0
50848,G1735,G0418,ἀνένδεκτος,anendektos,impossible,0
50849,G1735,G1209,δέχομαι,dechomai,to receive,0
50850,G1735,G1722,ἐν,en,in/on/among,0
50851,G1736,G1218,δῆμος,dēmos,people,0
50852,G1736,G1722,ἐν,en,in/on/among,0
50853,G1740,G1391,δόξα,doxa,glory,0
50854,G1740,G1392,δοξάζω,doxazō,to glorify,0
50855,G1740,G1741,ἔνδοξος,endoxos,honored,0
50856,G1740,G2754,κενοδοξία,kenodoxia,empty conceit,0
50857,G1740,G4888,συνδοξάζω,sundoxazō,to glory with,0
50858,G1743,G0101,ἀδυνατέω,adunateō,be impossible,0
50859,G1743,G0102,ἀδύνατος,adunatos,unable,0
50860,G1743,G1410,δύναμαι,dunamai,be able,0
50861,G1743,G1411,δύναμις,dunamis,power,0
50862,G1743,G1412,δυναμόω,dunamoō,to empower,0
50863,G1743,G1413,δυνάστης,dunastēs,ruler,0
50864,G1743,G1414,δυνατέω,dunateō,be able,0
50865,G1743,G1415,δυνατός,dunatos,able,0
50866,G1743,G1722,ἐν,en,in/on/among,0
50867,G1743,G2616,καταδυναστεύω,katadunasteuō,to oppress,0
50868,G1751,,,,,0
50869,G1752,,,,,0
50870,G1753,G1754,ἐνεργέω,energeō,be active,0
50871,G1753,G1755,ἐνέργημα,energēma,working,0
50872,G1753,G1756,"ἐνεργής, ἐναργής",energēs enargēs,effective,0
50873,G1754,G1753,ἐνέργεια,energeia,active energy,0
50874,G1754,G1755,ἐνέργημα,energēma,working,0
50875,G1754,G1756,"ἐνεργής, ἐναργής",energēs enargēs,effective,0
50876,G1756,G1722,ἐν,en,in/on/among,0
50877,G1756,G1753,ἐνέργεια,energeia,active energy,0
50878,G1756,G1754,ἐνεργέω,energeō,be active,0
50879,G1756,G1755,ἐνέργημα,energēma,working,0
50880,G1756,G2041,ἔργον,ergon,work,0
50881,G1757,G1722,ἐν,en,in/on/among,0
50882,G1757,G2127,εὐλογέω,eulogeō,to praise/bless,0
50883,G1760,G1722,ἐν,en,in/on/among,0
50884,G1760,G1761,ἐνθύμησις,enthumēsis,reflection,0
50885,G1760,G2372,θυμός,thumos,wrath,0
50886,G1761,G1760,ἐνθυμέομαι,enthumeomai,to reflect on,0
50887,G1764,G1722,ἐν,en,in/on/among,0
50888,G1764,G2476,ἵστημι,histēmi,to stand,0
50889,G1765,G1722,ἐν,en,in/on/among,0
50890,G1765,G2480,ἰσχύω,ischuō,be strong,0
50891,G1771,G0143,αἰσθάνομαι,aisthanomai,to perceive,0
50892,G1771,G1271,διάνοια,dianoia,mind,0
50893,G1771,G1272,διανοίγω,dianoigō,to open up,0
50894,G1771,G1722,ἐν,en,in/on/among,0
50895,G1771,G1950,ἐπιλανθάνω,epilanthanō,to forget,0
50896,G1771,G1963,ἐπίνοια,epinoia,thought,0
50897,G1771,G3105,μαίνομαι,mainomai,to rave,0
50898,G1771,G3539,νοέω,noeō,to understand,0
50899,G1771,G3543,νομίζω,nomizō,to think,0
50900,G1771,G3563,νοῦς,nous,mind,0
50901,G1771,G4307,πρόνοια,pronoia,foresight,0
50902,G1771,G5283,ὑπόνοια,huponoia,suspicion,0
50903,G1775,G1520,εἷς,heis,one,0
50904,G1783,G1793,ἐντυγχάνω,entunchanō,to call on,0
50905,G1788,G1722,ἐν,en,in/on/among,0
50906,G1788,G1791,ἐντροπή,entropē,shame,0
50907,G1788,G5157,τροπή,tropē,turning,0
50908,G1789,G1722,ἐν,en,in/on/among,0
50909,G1789,G5142,τρέφω,trefō,to feed,0
50910,G1790,G1722,ἐν,en,in/on/among,0
50911,G1790,G5156,τρόμος,tromos,trembling,0
50912,G1791,G1788,ἐντρέπω,entrepō,to cause shame,0
50913,G1793,G1722,ἐν,en,in/on/among,0
50914,G1793,G1783,ἔντευξις,enteuxis,intercession,0
50915,G1793,G5177,τυγχάνω,tunchanō,to obtain/happen,0
50916,G1793,G5241,ὑπερεντυγχάνω,huperentunchanō,to intercede,0
50917,G1801,G1722,ἐν,en,in/on/among,0
50918,G1801,G3775,οὖς,ous,ear,0
50919,G1805,G0059,ἀγοράζω,agorazō,to buy,0
50920,G1805,G1537,ἐκ,ek,out from,0
50921,G1809,G0154,αἰτέω,aiteō,to ask,0
50922,G1809,G1537,ἐκ,ek,out from,0
50923,G1818,G0538,ἀπατάω,apataō,to trick,0
50924,G1818,G1537,ἐκ,ek,out from,0
50925,G1820,G0639,ἀπορέω,aporeō,be perplexed,0
50926,G1820,G1537,ἐκ,ek,out from,0
50927,G1832,G1510,εἰμί,eimi,to be,0
50928,G1832,G1537,ἐκ,ek,out from,0
50929,G1832,G1849,ἐξουσία,exousia,authority,0
50930,G1839,G1537,ἐκ,ek,out from,0
50931,G1839,G1611,ἔκστασις,ekstasis,amazement,0
50932,G1839,G2476,ἵστημι,histēmi,to stand,0
50933,G1840,G1537,ἐκ,ek,out from,0
50934,G1840,G2480,ἰσχύω,ischuō,be strong,0
50935,G1846,G1537,ἐκ,ek,out from,0
50936,G1846,G3736,ὀρύσσω,orussō,to dig,0
50937,G1847,G1537,ἐκ,ek,out from,0
50938,G1847,G1848,ἐξουθενέω,exoutheneō,to reject,0
50939,G1847,G3762,οὐδείς,oudeis,none,0
50940,G1848,G1847,ἐξουδενόω,exoudenoō,be rejected,0
50941,G1849,G1832,"ἔξεστι, ἐξόν",exesti exon,be permitted,0
50942,G1849,G1850,ἐξουσιάζω,exousiazō,to have authority,0
50943,G1849,G2715,κατεξουσιάζω,katexousiazō,to rule,0
50944,G1850,G1849,ἐξουσία,exousia,authority,0
50945,G1850,G2715,κατεξουσιάζω,katexousiazō,to rule,0
50946,G1864,G0073,ἀγών,agōn,fight,0
50947,G1864,G0074,ἀγωνία,agōnia,a struggle,0
50948,G1864,G0075,ἀγωνίζομαι,agōnizomai,to struggle,0
50949,G1864,G0464,ἀνταγωνίζομαι,antagōnizomai,to struggle,0
50950,G1864,G1909,ἐπί,epi,upon/to/against,0
50951,G1864,G2610,καταγωνίζομαι,katagōnizomai,to conquer,0
50952,G1864,G4865,συναγωνίζομαι,sunagōnizomai,to struggle,0
50953,G1867,G0134,αἰνέω,aineō,to praise,0
50954,G1867,G1866,Ἐπαίνετος,epainetos,Epaenetus,0
50955,G1867,G1868,ἔπαινος,epainos,praise,0
50956,G1867,G1909,ἐπί,epi,upon/to/against,0
50957,G1868,G0136,αἶνος,ainos,praise,0
50958,G1868,G1866,Ἐπαίνετος,epainetos,Epaenetus,0
50959,G1868,G1867,ἐπαινέω,epaineō,to praise,0
50960,G1868,G1909,ἐπί,epi,upon/to/against,0
50961,G1870,G0148,αἰσχρολογία,aischrologia,obscenity,0
50962,G1870,G0150,αἰσχρός,aischros,shameful,0
50963,G1870,G0151,αἰσχρότης,aischrotēs,obscenity,0
50964,G1870,G0152,αἰσχύνη,aischunē,shame,0
50965,G1870,G0153,αἰσχύνω,aischunō,be ashamed,0
50966,G1870,G0422,ἀνεπαίσχυντος,anepaischuntos,unashamed,0
50967,G1870,G1909,ἐπί,epi,upon/to/against,0
50968,G1870,G2617,καταισχύνω,kataischunō,to dishonor,0
50969,G1872,G0190,ἀκολουθέω,akoloutheō,to follow,0
50970,G1872,G1909,ἐπί,epi,upon/to/against,0
50971,G1873,G0191,ἀκούω,akouō,to hear,0
50972,G1873,G1251,διακούω,diakouō,to give a hearing,0
50973,G1873,G1522,εἰσακούω,eisakouō,to listen to,0
50974,G1873,G1874,ἐπακροάομαι,epakroaomai,to listen ro,0
50975,G1873,G1909,ἐπί,epi,upon/to/against,0
50976,G1873,G3878,παρακούω,parakouō,to ignore,0
50977,G1873,G5219,ὑπακούω,hupakouō,to obey,0
50978,G1874,G0191,ἀκούω,akouō,to hear,0
50979,G1874,G0202,ἀκροατής,akroatēs,hearer,0
50980,G1874,G1251,διακούω,diakouō,to give a hearing,0
50981,G1874,G1522,εἰσακούω,eisakouō,to listen to,0
50982,G1874,G1873,ἐπακούω,epakouō,to listen to,0
50983,G1874,G1909,ἐπί,epi,upon/to/against,0
50984,G1874,G3878,παρακούω,parakouō,to ignore,0
50985,G1874,G5219,ὑπακούω,hupakouō,to obey,0
50986,G1879,G0373,ἀναπαύω,anapauō,to give rest,0
50987,G1879,G1909,ἐπί,epi,upon/to/against,0
50988,G1881,G0450,ἀνίστημι,anistēmi,to arise,0
50989,G1881,G1909,ἐπί,epi,upon/to/against,0
50990,G1887,G0839,αὔριον,aurion,tomorrow,0
50991,G1887,G1909,ἐπί,epi,upon/to/against,0
50992,G1887,G2250,ἡμέρα,hēmera,day,0
50993,G1888,G1909,ἐπί,epi,upon/to/against,0
50994,G1902,G1742,ἔνδυμα,enduma,clothing,0
50995,G1902,G1744,ἐνδύνω,endunō,to sneak,0
50996,G1902,G1745,ἔνδυσις,endusis,wearing,0
50997,G1902,G1746,ἐνδύω,enduō,to put on,0
50998,G1902,G1903,ἐπενδύτης,ependutēs,coat,0
50999,G1902,G1909,ἐπί,epi,upon/to/against,0
51000,G1902,G2066,ἐσθής,esthēs,clothing,0
51001,G1908,,,,,0
51002,G1921,G0050,ἀγνοέω,agnoeō,be ignorant,0
51003,G1921,G0052,ἄγνοια,agnoia,ignorance,0
51004,G1921,G0056,ἀγνωσία,agnōsia,ignorance,0
51005,G1921,G0057,ἄγνωστος,agnōstos,unknown,0
51006,G1921,G0314,ἀναγινώσκω,anaginōskō,to read,0
51007,G1921,G0319,ἀναγνωρίζω,anagnōrizō,to recognize,0
51008,G1921,G1097,γινώσκω,ginōskō,to know,0
51009,G1921,G1106,γνώμη,gnōmē,resolution,0
51010,G1921,G1107,γνωρίζω,gnōrizō,to make known,0
51011,G1921,G1108,γνῶσις,gnōsis,knowledge,0
51012,G1921,G1109,γνώστης,gnōstēs,expert in,0
51013,G1921,G1110,"γνωστός, γνώριμος",gnōstos gnōrimos,acquainted with,0
51014,G1921,G1231,διαγινώσκω,diaginōskō,to decide,0
51015,G1921,G1232,διαγνωρίζω,diagnōrizō,to report,0
51016,G1921,G1492H,εἴδω,eidō,to perceive: see,0
51017,G1921,G1492I,εἴδω,eidō,to perceive: know,0
51018,G1921,G1909,ἐπί,epi,upon/to/against,0
51019,G1921,G1922,ἐπίγνωσις,epignōsis,knowledge,0
51020,G1921,G2589,καρδιογνώστης,kardiognōstēs,heart-knower,0
51021,G1921,G4267,προγινώσκω,proginōskō,to know/choose,0
51022,G1921,G4268,πρόγνωσις,prognōsis,foreknowledge,0
51023,G1921,G4275,προεῖδον,proeidon,to foresee,0
51024,G1921,G4774,συγγνώμη,sungnōmē,concession,0
51025,G1921,G4894,συνείδω,suneidō,be aware,0
51026,G1922,G0050,ἀγνοέω,agnoeō,be ignorant,0
51027,G1922,G0052,ἄγνοια,agnoia,ignorance,0
51028,G1922,G0056,ἀγνωσία,agnōsia,ignorance,0
51029,G1922,G0057,ἄγνωστος,agnōstos,unknown,0
51030,G1922,G0314,ἀναγινώσκω,anaginōskō,to read,0
51031,G1922,G0319,ἀναγνωρίζω,anagnōrizō,to recognize,0
51032,G1922,G1097,γινώσκω,ginōskō,to know,0
51033,G1922,G1106,γνώμη,gnōmē,resolution,0
51034,G1922,G1107,γνωρίζω,gnōrizō,to make known,0
51035,G1922,G1108,γνῶσις,gnōsis,knowledge,0
51036,G1922,G1109,γνώστης,gnōstēs,expert in,0
51037,G1922,G1110,"γνωστός, γνώριμος",gnōstos gnōrimos,acquainted with,0
51038,G1922,G1231,διαγινώσκω,diaginōskō,to decide,0
51039,G1922,G1232,διαγνωρίζω,diagnōrizō,to report,0
51040,G1922,G1492H,εἴδω,eidō,to perceive: see,0
51041,G1922,G1492I,εἴδω,eidō,to perceive: know,0
51042,G1922,G1921,ἐπιγινώσκω,epiginōskō,to come to know,0
51043,G1922,G2589,καρδιογνώστης,kardiognōstēs,heart-knower,0
51044,G1922,G4267,προγινώσκω,proginōskō,to know/choose,0
51045,G1922,G4268,πρόγνωσις,prognōsis,foreknowledge,0
51046,G1922,G4275,προεῖδον,proeidon,to foresee,0
51047,G1922,G4774,συγγνώμη,sungnōmē,concession,0
51048,G1922,G4894,συνείδω,suneidō,be aware,0
51049,G1929,G0325,ἀναδίδωμι,anadidōmi,to deliver,0
51050,G1929,G0467,ἀνταποδίδωμι,antapodidōmi,to repay,0
51051,G1929,G0591,ἀποδίδωμι,apodidōmi,to pay,0
51052,G1929,G1239,διαδίδωμι,diadidōmi,to distribute,0
51053,G1929,G1325,δίδωμι,didōmi,to give,0
51054,G1929,G1431,δωρεά,dōrea,free gift,0
51055,G1929,G1432,δωρεάν,dōrean,freely,0
51056,G1929,G1433,δωρέω,dōreō,to give,0
51057,G1929,G1434,δώρημα,dōrēma,free gift,0
51058,G1929,G1435,δῶρον,dōron,gift,0
51059,G1929,G1554,ἐκδίδωμι,ekdidōmi,to lease,0
51060,G1929,G1909,ἐπί,epi,upon/to/against,0
51061,G1929,G3330,μεταδίδωμι,metadidōmi,to share,0
51062,G1929,G3860,παραδίδωμι,paradidōmi,to deliver,0
51063,G1929,G4272,προδίδωμι,prodidōmi,to give in advance,0
51064,G1929,G5204,ὕδωρ,hudōr,water,0
51065,G1932,G1933,ἐπιεικής,epieikēs,gentle,0
51066,G1933,G1503,εἴκω,eikō,to resemble,0
51067,G1933,G1909,ἐπί,epi,upon/to/against,0
51068,G1933,G1932,ἐπιείκεια,epieikeia,gentleness,0
51069,G1934,G1909,ἐπί,epi,upon/to/against,0
51070,G1934,G2212,ζητέω,zēteō,to seek,0
51071,G1935,G1909,ἐπί,epi,upon/to/against,0
51072,G1935,G2288,θάνατος,thanatos,death,0
51073,G1937,G0120,ἀθυμέω,athumeō,be discouraged,0
51074,G1937,G1909,ἐπί,epi,upon/to/against,0
51075,G1937,G1938,ἐπιθυμητής,epithumētēs,one who desires,0
51076,G1937,G1939,ἐπιθυμία,epithumia,desire,0
51077,G1937,G2114,εὐθυμέω,euthumeō,be cheerful,0
51078,G1937,G2115,εὔθυμος,euthumos,encouraging,0
51079,G1937,G2372,θυμός,thumos,wrath,0
51080,G1937,G4288,προθυμία,prothumia,eagerness,0
51081,G1937,G4289,πρόθυμος,prothumos,eager,0
51082,G1937,G4290,προθύμως,prothumōs,eagerly,0
51083,G1938,G0120,ἀθυμέω,athumeō,be discouraged,0
51084,G1938,G1937,ἐπιθυμέω,epithumeō,to long for,0
51085,G1938,G1939,ἐπιθυμία,epithumia,desire,0
51086,G1938,G2114,εὐθυμέω,euthumeō,be cheerful,0
51087,G1938,G2115,εὔθυμος,euthumos,encouraging,0
51088,G1938,G4288,προθυμία,prothumia,eagerness,0
51089,G1938,G4289,πρόθυμος,prothumos,eager,0
51090,G1938,G4290,προθύμως,prothumōs,eagerly,0
51091,G1939,G0120,ἀθυμέω,athumeō,be discouraged,0
51092,G1939,G1937,ἐπιθυμέω,epithumeō,to long for,0
51093,G1939,G1938,ἐπιθυμητής,epithumētēs,one who desires,0
51094,G1939,G2114,εὐθυμέω,euthumeō,be cheerful,0
51095,G1939,G2115,εὔθυμος,euthumos,encouraging,0
51096,G1939,G4288,προθυμία,prothumia,eagerness,0
51097,G1939,G4289,πρόθυμος,prothumos,eager,0
51098,G1939,G4290,προθύμως,prothumōs,eagerly,0
51099,G1941,G1909,ἐπί,epi,upon/to/against,0
51100,G1941,G2564G,καλέω,kaleō,to call: call,0
51101,G1941,G2564H,καλέω,kaleō,to call: name,0
51102,G1944,G1909,ἐπί,epi,upon/to/against,0
51103,G1944,G2672,καταράομαι,kataraomai,to curse,0
51104,G1951,G0483,ἀντιλέγω,antilegō,to dispute,0
51105,G1951,G0557,ἀπελεγμός,apelegmos,discredit,0
51106,G1951,G1246,διακατελέγχομαι,diakatelenchomai,to refute,0
51107,G1951,G1256,διαλέγω,dialegō,to dispute,0
51108,G1951,G1649,ἔλεγξις,elegxis,rebuke,0
51109,G1951,G1650,ἔλεγχος,elenchos,rebuke,0
51110,G1951,G1651,ἐλέγχω,elenchō,to rebuke,0
51111,G1951,G1827,ἐξελέγχω,exelenchō,to convict,0
51112,G1951,G1909,ἐπί,epi,upon/to/against,0
51113,G1951,G2639,καταλέγω,katalegō,to enrol,0
51114,G1951,G3004G,λέγω,legō,to say: says,0
51115,G1951,G3004H,λέγω,legō,to say: name,0
51116,G1951,G4302,προλέγω,prolegō,to foretell,0
51117,G1952,G1909,ἐπί,epi,upon/to/against,0
51118,G1952,G3007,λείπω,leipō,to lack,0
51119,G1963,G0143,αἰσθάνομαι,aisthanomai,to perceive,0
51120,G1963,G1271,διάνοια,dianoia,mind,0
51121,G1963,G1272,διανοίγω,dianoigō,to open up,0
51122,G1963,G1771,ἔννοια,ennoia,thought/purpose,0
51123,G1963,G1909,ἐπί,epi,upon/to/against,0
51124,G1963,G1950,ἐπιλανθάνω,epilanthanō,to forget,0
51125,G1963,G3105,μαίνομαι,mainomai,to rave,0
51126,G1963,G3539,νοέω,noeō,to understand,0
51127,G1963,G3543,νομίζω,nomizō,to think,0
51128,G1963,G3563,νοῦς,nous,mind,0
51129,G1963,G4307,πρόνοια,pronoia,foresight,0
51130,G1963,G5283,ὑπόνοια,huponoia,suspicion,0
51131,G1971,G1972,ἐπιπόθησις,epipothēsis,longing,0
51132,G1971,G1973,ἐπιπόθητος,epipothētos,longed for,0
51133,G1971,G1974,ἐπιποθία,epipothia,longing,0
51134,G1972,G1971,ἐπιποθέω,epipotheō,to long for,0
51135,G1973,G1971,ἐπιποθέω,epipotheō,to long for,0
51136,G1974,G1971,ἐπιποθέω,epipotheō,to long for,0
51137,G1987,G1990,ἐπιστήμων,epistēmōn,knowing,0
51138,G1987,G2186,ἐφίστημι,efistēmi,to approach,0
51139,G1990,G1987,ἐπίσταμαι,epistamai,to know/understand,0
51140,G1999,G1909,ἐπί,epi,upon/to/against,0
51141,G1999,G4921,"συνίστημι, συνιστάω",sunistēmi sunistaō,to commend,0
51142,G2003,G2004,ἐπιτάσσω,epitassō,to command,0
51143,G2005,G1909,ἐπί,epi,upon/to/against,0
51144,G2005,G5055,τελέω,teleō,to finish,0
51145,G20125,,,,,0
51146,G2017,G2014,ἐπιφαίνω,epifainō,to appear,0
51147,G2017,G2020,ἐπιφώσκω,epifōskō,to dawn,0
51148,G2019,G1909,ἐπί,epi,upon/to/against,0
51149,G2019,G5455,φωνέω,fōneō,to call,0
51150,G2021,G1909,ἐπί,epi,upon/to/against,0
51151,G2021,G5495,χείρ,cheir,hand,0
51152,G2025,G1909,ἐπί,epi,upon/to/against,0
51153,G2025,G5548,χρίω,chriō,to anoint,0
51154,G20258,,,,,0
51155,G2028,G1909,ἐπί,epi,upon/to/against,0
51156,G2028,G3687,ὀνομάζω,onomazō,to name,0
51157,G2036,G2036,εἶπον,eipon,to say: said,0
51158,G2036,G2046,ἐρῶ,erō,to say: did said,0
51159,G2036,G4277,προέπω,proepō,to predict,0
51160,G2036,G4483,ἐρέω,ereō,to say: will say,0
51161,G2042,G2052,ἐριθεία,eritheia,rivalry,0
51162,G2042,G2054,ἔρις,eris,quarrel,0
51163,G2046,G2036,εἶπον,eipon,to say: said,0
51164,G2046,G2044,ἐρεύγομαι,ereugomai,to utter/proclaim,0
51165,G2046,G2046,ἐρῶ,erō,to say: did said,0
51166,G2046,G2065,ἐρωτάω,erōtaō,to ask,0
51167,G2046,G4280,προερέω,proereō,to predict,0
51168,G2046,G4483,ἐρέω,ereō,to say: will say,0
51169,G2052,G2042,ἐρεθίζω,erethizō,to provoke/irritate,0
51170,G2054,G2042,ἐρεθίζω,erethizō,to provoke/irritate,0
51171,G2054,G2051,ἐρίζω,erizō,to quarrel,0
51172,G2054,G3054,λογομαχέω,logomacheō,to quarrel,0
51173,G2054,G3055,λογομαχία,logomachia,quarrel,0
51174,G2065,G1331,διερωτάω,dierōtaō,to ascertain,0
51175,G2065,G1905,ἐπερωτάω,eperōtaō,to question,0
51176,G2071,G1498,εἴην,eiēn,may be,0
51177,G2071,G1510,εἰμί,eimi,to be,0
51178,G2071,G1511,εἶναι,einai,to exist,0
51179,G2071,G1526,εἰσί,eisi,they are,0
51180,G2071,G2071,ἔσομαι,esomai,will be,0
51181,G2071,G2075,ἐστέ,este,you are,0
51182,G2071,G2076,ἐστί,esti,he is,0
51183,G2071,G2077,ἔστω,estō,you be!,0
51184,G2071,G2258,ἦν,ēn,were,0
51185,G2071,G5600,ὦ,ō,may be,0
51186,G2071,G5607,ὤν,ōn,being,0
51187,G2077,G1498,εἴην,eiēn,may be,0
51188,G2077,G1510,εἰμί,eimi,to be,0
51189,G2077,G1511,εἶναι,einai,to exist,0
51190,G2077,G1526,εἰσί,eisi,they are,0
51191,G2077,G2071,ἔσομαι,esomai,will be,0
51192,G2077,G2075,ἐστέ,este,you are,0
51193,G2077,G2076,ἐστί,esti,he is,0
51194,G2077,G2077,ἔστω,estō,you be!,0
51195,G2077,G2258,ἦν,ēn,were,0
51196,G2077,G5600,ὦ,ō,may be,0
51197,G2077,G5607,ὤν,ōn,being,0
51198,G20833,,,,,0
51199,G2097,G0032G,ἄγγελος,angelos,angel,0
51200,G2097,G0032H,ἄγγελος,angelos,angel: messenger,0
51201,G2097,G2095,εὖ,eu,well/well done!,0
51202,G2097,G2098,εὐαγγέλιον,euangelion,gospel,0
51203,G2097,G2099,εὐαγγελιστής,euangelistēs,evangelist,0
51204,G2097,G4283,προευαγγελίζομαι,proeuangelizomai,to speak good news,0
51205,G2100,G2101,εὐάρεστος,euarestos,well-pleasing,0
51206,G2104,G0035,ἀγενεαλόγητος,agenealogētos,without genealogy,0
51207,G2104,G0313,ἀναγεννάω,anagennaō,to rebirth,0
51208,G2104,G1077,"γενέσια, γενέθλιος",genesia genethlios,birthday,0
51209,G2104,G1079,γενετή,genetē,birth,0
51210,G2104,G1080,γεννάω,gennaō,to beget,0
51211,G2104,G1081G,γέννημα,gennēma,offspring,0
51212,G2104,G1081H,γέννημα,gennēma,offspring: fruit,0
51213,G2104,G1083,γέννησις,gennēsis,birth,0
51214,G2104,G1084,γεννητός,gennētos,born,0
51215,G2104,G1096,γίνομαι,ginomai,to be,0
51216,G2104,G2095,εὖ,eu,well/well done!,0
51217,G2104,G4773,συγγενής,sungenēs,kindred,0
51218,G2106,G1380,δοκέω,dokeō,to think,0
51219,G2106,G2095,εὖ,eu,well/well done!,0
51220,G2106,G2107,εὐδοκία,eudokia,goodwill,0
51221,G2106,G4909,συνευδοκέω,suneudokeō,to agree to,0
51222,G2107,G1380,δοκέω,dokeō,to think,0
51223,G2107,G2095,εὖ,eu,well/well done!,0
51224,G2107,G2106,εὐδοκέω,eudokeō,to delight,0
51225,G2108,G2110,εὐεργέτης,euergetēs,benefactor,0
51226,G2109,G2110,εὐεργέτης,euergetēs,benefactor,0
51227,G2114,G0120,ἀθυμέω,athumeō,be discouraged,0
51228,G2114,G1937,ἐπιθυμέω,epithumeō,to long for,0
51229,G2114,G1938,ἐπιθυμητής,epithumētēs,one who desires,0
51230,G2114,G1939,ἐπιθυμία,epithumia,desire,0
51231,G2114,G2115,εὔθυμος,euthumos,encouraging,0
51232,G2114,G4288,προθυμία,prothumia,eagerness,0
51233,G2114,G4289,πρόθυμος,prothumos,eager,0
51234,G2114,G4290,προθύμως,prothumōs,eagerly,0
51235,G2117,,,,,0
51236,G2118,G2117,εὐθύς,euthus,Straight,0
51237,G2124,G2125,εὐλαβέομαι,eulabeomai,to revere,0
51238,G2124,G2126,εὐλαβής,eulabēs,devout,0
51239,G2124,G2129,εὐλογία,eulogia,praise,0
51240,G2125,G2124,εὐλάβεια,eulabeia,reverence,0
51241,G2125,G2126,εὐλαβής,eulabēs,devout,0
51242,G2125,G2129,εὐλογία,eulogia,praise,0
51243,G2126,G2095,εὖ,eu,well/well done!,0
51244,G2126,G2124,εὐλάβεια,eulabeia,reverence,0
51245,G2126,G2125,εὐλαβέομαι,eulabeomai,to revere,0
51246,G2126,G2129,εὐλογία,eulogia,praise,0
