id,strong,mounce_parsed,row_type,deleted
406236,G5366,"money-loving, avaricious, greedy",lookup,0
406237,G0766,"debauchery, sensuality, lewdness",lookup,0
406238,G0810,"debauchery, dissipation, wildness",lookup,0
406239,G0811,"wildly, in debauchery, in dissipation",description,0
406240,G0539,"deception, deceitfulness",lookup,0
406241,G1386,"deceitful, dishonest, tricky",lookup,0
406242,G1387,"to practice deceit, deceive",description,0
406243,G1388,deceit,lookup,0
406244,G3834,"cunning, craftiness",lookup,0
406245,G4106,"error, delusion, deception",lookup,0
406246,G4108,"deceiving, leading astray; (n.) deceiver, imposter; figuratively extensions of the base meaning ""to wander off a path,"" not found in the NT",description,0
406247,G6957,deceit,lookup,0
406248,G0234,"pollution, ritually defiled",lookup,0
406249,G0449,unwashed,lookup,0
406250,G2839G,: unsanctified,lookup,0
406251,G2839G,"common; (ceremonially) unclean, impure, unholy",description,0
406252,G2840,"to make (ceremonially) unclean, impure; to defile profane",description,0
406253,G3392,"to pollute, stain, defile; (passive) to be defiled, corrupted, become ceremonially unclean; this refers to both ceremonial and moral uncleanness",description,0
406254,G3435,"to defile, soil, stain, make impure",description,0
406255,G3436,"contamination, defilement",lookup,0
406256,G4510,"to defile, pollute",lookup,0
406257,G4695,"to corrupt; (passive) to be stained, defiled stain",description,0
406258,G7121,to thoroughly defile,lookup,0
406259,G7170,to defile,lookup,0
406260,G8327,defilement,lookup,0
406261,G0020,"delight, great joy",lookup,0
406262,G2234,"gladly, with delight; in the superlative, most gladly, with utter delight",description,0
406263,G4913,to delight in agreement,description,0
406264,G5463,to rejoice,lookup,0
406265,G5479,"joy, rejoicing, happiness, gladness",description,0
406266,G7936,to delight,lookup,0
406267,G0154,"to ask, ask for (of other humans or God), demand",description,0
406268,G0701,"pleasing, desirable, right",lookup,0
406269,G1013,"plan, will, choice",lookup,0
406270,G1014,"to wish, will, desire; to choose, determine, plan",description,0
406271,G1809,(middle) to ask for,description,0
406272,G1934,"to look for, run after, seek earnestly",description,0
406273,G1938,"one who desires, sets heart on (evil)desirer",description,0
406274,G1971,"to long for, crave, desire",description,0
406275,G1972,longing (for),lookup,0
406276,G1974,"longing, desire",lookup,0
406277,G2065,"to ask; beg, urge; pray",description,0
406278,G2107,"goodwill, good purpose, favor, pleasure, desire",description,0
406279,G21415,desirable,lookup,0
406280,G2212,"to look for, seek out; to try to obtain, desire to possess, strive for",description,0
406281,G2307,"will, decision, desire",lookup,0
406282,G2309,"to will, decide, want to; wish, desire",description,0
406283,G2442,"to desire, long for",description,0
406284,G2691,to be filled with desires that conflict with dedication to someonefeel desirous,description,0
406285,G3715,"lust, desire",lookup,0
406286,G7410,desire,lookup,0
406287,G7411,desirable,lookup,0
406288,G0560,to expect nothing in return,description,0
406289,G1820,(middle) to despair; (passive) to be in despair,description,0
406290,G0472,"to be devoted, hold firmly to; pay attention to",description,0
406291,G1872,"to follow after, accompany; be devoted to",description,0
406292,G2138,"submissive, obedient, compliant",lookup,0
406293,G2145,"devoted, devotion, service devoted to God",description,0
406294,G4043,"to walk (around); to live, conduct one’s life",description,0
406295,G4291,"(active/middle) to manage, direct, lead; (middle) to devote oneself, busy oneself to be devoted",description,0
406296,G4337,"to watch out, be on guard, beware; to pay attention, devote, apply oneself",description,0
406297,G4342,"to join, adhere attend to; to be ready; to give attention, be faithful; to spend much time together",description,0
406298,G4574,object of worship; some translate as a place of worship: sanctuary,description,0
406299,G4980,"to devote oneself to; to be unoccupied, stand empty",description,0
406300,G5021,"(active/middle) to appoint, determine, arrange; devote; (passive) to be established, appointed, assigned",description,0
406301,G5387,"devoted, loving dearly",lookup,0
406302,G1391,"This word has a wide range of meanings in the NT, corresponding closely the H3519: glory, splendor, brilliance, from the base meaning of the awesome light that radiates from God’s presence and is associated with his acts of power; honor, praise, speaking of words of excellence and assigning highest status to God",description,0
406303,G4586,"worthy of respect, noble",description,0
406304,G4587,"holiness, seriousness, respect dignity",description,0
406305,G8117,dignity,lookup,0
406306,G0144,insight,lookup,0
406307,G0145,"sense, faculty",lookup,0
406308,G0350,"to examine, judge (in both a general and a legal sense)",description,0
406309,G1252,"to make a distinction, judge a dispute; (middle/passive) to doubt, hesitate, waver",description,0
406310,G1253,"distinguishing, differentiation; passing judgment discernment",description,0
406311,G1260,"to think, wonder about; to talk, discuss, argue",description,0
406312,G1381,"testing, trying, examination",lookup,0
406313,G2924,able to discern or judge discerning,description,0
406314,G4907,"understanding, insight; intelligence, the faculty of comprehension, often referring to wisdom and insight in spiritual matters",description,0
406315,G4908,"intelligent, learned, with good sense",description,0
406316,G0506,"rebellious, disobedient; not made subject to, independent",description,0
406317,G0543,disobedience,lookup,0
406318,G0544,"to disobey, be disobedient",description,0
406319,G0545,disobedient,lookup,0
406320,G3876,"disobedience, unwillingness to hear",description,0
406321,G0085,"to be troubled, distressed",description,0
406322,G0318,necessity,lookup,0
406323,G2346,"(act.) to press upon, crowd up to; cause trouble; (passive) to be narrow; to be pressed, troubled, persecuted",description,0
406324,G2669,"(passive) to be oppressed, distressed oppress",description,0
406325,G3076,"(act.) to cause sorrow, grief; (passive) to be sorrowful, sad, distressed grieve",description,0
406326,G4660,"to bother, annoy; (passive) to be harassed; (middle) to trouble oneself",description,0
406327,G4729,"(passive) to be crushed; to withhold, be restricted press",description,0
