registry_word,strongNumber,language,stepTransliteration,stepGloss,cluster_code,cluster_name
being,G5607,Greek,ōn,being,,
being,G6023,Greek,enkakeō,be discouraged,,
being,G6028,Greek,ekthaumazō,be amazed,,
being,G6081,Greek,sumpiptō,be downcast,,
being,G6083,Greek,sunoida,be conscious of,M26,Righteousness
being,G6108,Greek,agathunō,be better,,
being,G6124,Greek,agriainō,be wild,,
being,G6131,Greek,anchisteuō,to be kin,,
being,G6141,Greek,adoxeō,be despised,,
being,G6185,Greek,akēdiaō,be discouraged,,
being,G6215,Greek,alaomai,be a runaway,,
being,G6297,Greek,anantleō,be fatigued,,
being,G6300,Greek,anapetaō,be effronted,,
being,G6306,Greek,anapostreptos,not be turned away,,
being,G6441,Greek,apokidaroō,be without a turban,,
being,G6452,Greek,apokōfoomai,be mute,,
being,G6461,Greek,apoxenoō,be estranged,,
being,G6542,Greek,arrōsteō,be ill,,
being,G6589,Greek,ateknoō,be barren,,
being,G6596,Greek,atucheō,be unfortunate,,
being,G6629,Greek,afroneō,be unwise,,
being,G6656,Greek,baruthumeō,be weighed down,,
being,G6772,Greek,gumnoō,be naked,,
being,G6786,Greek,deidō,be in awe,,
being,G6802,Greek,despozō,be master,,
being,G6804,Greek,deutereuō,be second,,
being,G6893,Greek,diatrepō,be overawed,,
being,G6948,Greek,dichēleō,be cloven,,
being,G6975,Greek,dunasteuō,be in power,,
being,G7025,Greek,enkoteō,be angry,,
being,G7124,Greek,hekousiazomai,be willing,,
being,G7140,Greek,ekrēgnumi,be torn from,,
being,G7223,Greek,endiaballō,to be adversary,,
being,G7235,Greek,eneufrainomai,be pleased with,,
being,G7255,Greek,enoikeioō,be related,,
being,G7301,Greek,exarkeō,be enough,,
being,G7303,Greek,exartaō,be attached to,,
being,G7376,Greek,epeimi,be used,,
being,G7405,Greek,epieikeuomai,be lenient,,
being,G7428,Greek,epilēpteuomai,be possessed,,
being,G7435,Greek,epixenoomai,be welcomed as a guest,,
being,G7518,Greek,eschatizō,be late,,
being,G7533,Greek,eudokimeō,be approved,,
