id,book,anchor_verse_id,start_chapter,start_verse,end_chapter,end_verse,ref,verse_count,rule,source,needs_review,created_at,deleted
18212,Rom,4362,3,8,3,8,Rom 3:8,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18213,Rom,23623,3,9,3,9,Rom 3:9,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18214,Rom,22906,3,11,3,11,Rom 3:11,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18215,Rom,16143,3,12,3,12,Rom 3:12,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18216,Rom,17232,3,13,3,13,Rom 3:13,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18217,Rom,3308,3,14,3,14,Rom 3:14,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18218,Rom,28902,3,16,3,16,Rom 3:16,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18219,Rom,25904,3,17,3,17,Rom 3:17,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18220,Rom,2836,3,18,3,18,Rom 3:18,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18221,Rom,4363,3,19,3,19,Rom 3:19,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18222,Rom,23624,3,20,3,20,Rom 3:20,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18223,Rom,6963,3,21,3,22,Rom 3:21-22,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18224,Rom,19237,3,23,3,23,Rom 3:23,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18225,Rom,1773,3,24,3,24,Rom 3:24,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18226,Rom,22670,3,25,3,28,Rom 3:25-28,4,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18227,Rom,22673,3,30,3,31,Rom 3:30-31,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18228,Rom,27862,4,1,4,1,Rom 4:1,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18229,Rom,3434,4,2,4,2,Rom 4:2,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18230,Rom,4364,4,3,4,3,Rom 4:3,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18231,Rom,8029,4,4,4,4,Rom 4:4,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18232,Rom,22640,4,5,4,6,Rom 4:5-6,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18233,Rom,23271,4,7,4,8,Rom 4:7-8,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18234,Rom,4366,4,9,4,9,Rom 4:9,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18235,Rom,22641,4,11,4,14,Rom 4:11-14,4,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
